CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,752,5,5,785,81,20,55,30,116,418,21,20,0,0,21,4,7,0,1578,0,50,1628,3082
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,753,5,5,1004,82,25,86,30,160,552,22,10,3,1,22,5,3,2,2007,1,69,2077,3680
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,754,4,4,496,59,6,37,16,84,262,23,12,1,0,18,1,0,2,1017,0,32,1049,1554
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,755,5,5,834,81,13,89,24,170,488,29,13,3,0,18,3,3,1,1769,1,51,1821,3246
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,756,4,4,817,84,17,88,23,124,408,26,7,0,0,16,4,1,1,1616,0,40,1656,2867
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,757,2,2,256,34,6,22,8,56,127,14,3,0,0,8,1,2,2,539,1,10,550,777
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,758,2,2,371,32,7,35,16,83,256,23,4,0,0,2,1,2,2,834,1,11,846,1377
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,759,4,4,886,71,13,65,21,159,400,34,5,1,0,12,3,1,0,1671,2,34,1707,2849
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,760,8,8,1602,152,32,109,53,280,785,43,28,1,1,29,4,3,3,3125,0,88,3213,5498
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,761,2,2,341,26,8,19,10,65,235,5,2,0,0,4,0,2,3,720,0,16,736,1140
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,762,2,2,328,27,8,26,9,77,196,16,9,0,0,12,2,4,2,716,0,22,738,1187
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,763,2,2,347,34,1,11,8,52,93,12,0,1,0,2,4,0,0,565,1,11,577,845
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,764,2,2,347,28,5,24,12,49,196,14,0,1,0,3,1,1,1,682,1,11,694,1042
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,765,3,3,683,69,12,42,23,126,325,28,3,2,0,19,3,2,1,1338,1,41,1380,2197
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,766,5,5,710,77,19,84,27,175,402,16,20,0,0,6,7,4,2,1549,0,66,1615,3465
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,767,3,3,524,69,11,46,22,116,310,19,6,2,0,10,0,1,1,1137,6,45,1188,2198
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,768,3,3,420,39,10,50,31,82,313,7,2,1,0,7,2,4,1,969,0,26,995,1783
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,769,2,2,420,30,13,26,10,47,180,12,0,0,0,6,0,2,1,747,1,7,755,1142
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,770,2,2,487,35,6,16,13,100,195,23,7,1,0,6,1,2,0,892,0,18,910,1383
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,771,2,2,320,31,10,30,7,62,214,6,4,0,0,9,2,2,1,698,1,28,727,1272
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,772,5,5,789,87,18,61,32,136,382,18,8,2,0,7,0,4,2,1546,0,60,1606,3013
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,773,2,2,415,34,8,31,39,132,97,9,0,1,0,9,0,0,0,775,1,33,809,1239
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,774,7,7,1283,163,14,103,46,199,761,35,7,3,0,26,5,9,0,2654,0,97,2751,5148
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,775,9,9,1694,190,33,120,58,344,975,51,17,2,1,31,8,2,4,3530,2,87,3619,6606
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,776,2,2,244,27,3,19,8,27,162,6,4,1,0,9,3,4,0,517,1,29,547,999
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,777,2,2,290,23,4,24,19,29,126,5,3,0,0,2,0,2,0,527,0,22,549,1142
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,778,3,3,429,54,15,43,26,62,231,12,4,0,0,9,1,3,1,890,0,37,927,1959
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,779,2,2,222,24,3,24,16,20,76,5,1,1,0,2,0,0,4,398,0,21,419,787
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,780,2,2,359,43,12,15,17,29,124,3,6,0,4,3,4,3,1,623,0,42,665,1326
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,781,3,3,529,121,8,27,23,70,84,8,9,0,0,2,1,2,0,884,0,23,907,1707
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,782,2,2,287,48,10,28,16,21,106,11,4,2,2,3,0,2,2,542,1,20,563,1079
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,783,2,2,215,22,9,19,10,30,83,0,0,0,0,2,1,1,0,392,0,20,412,828
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,784,2,2,375,37,8,21,10,37,68,7,2,0,0,6,0,4,2,577,1,23,601,1304
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,785,2,2,277,41,1,28,14,40,182,3,1,0,0,2,0,1,0,590,0,16,606,1376
