ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,ABASOLO,50,121,121,10393,8288,299,2252,1057,2268,15604,194,103,7,13,0,0,0,0,40478,2,1682,42162,71493,
11,GUANAJUATO,2,ACAMBARO,90,181,183,19337,3075,558,1441,1250,2511,18420,0,0,0,0,681,145,185,86,47689,8,1806,49503,99549,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,105,254,259,21286,19124,0,2629,2221,4497,23575,0,0,0,0,1656,160,130,46,75324,38,3032,78394,144253,
11,GUANAJUATO,4,APASEO EL ALTO,44,94,95,9274,1028,201,1498,431,3180,9718,0,0,0,0,325,52,119,43,25869,18,1274,27161,51751,
11,GUANAJUATO,5,APASEO EL GRANDE,45,127,129,12307,1214,356,5304,680,2007,14712,0,0,0,0,541,92,254,67,37534,29,1430,38993,75745,
11,GUANAJUATO,6,ATARJEA,5,11,11,1661,29,9,44,1006,46,571,0,0,0,0,0,0,0,0,3366,0,193,3559,4535,
11,GUANAJUATO,7,CELAYA,253,668,672,72971,11325,1948,9884,4332,19566,100423,953,260,37,78,4432,685,995,377,228266,109,5199,233574,405800,
11,GUANAJUATO,8,MANUEL DOBLADO,41,69,69,8333,5207,93,667,295,477,3254,0,0,0,0,104,23,41,26,18520,1,716,19237,33899,
11,GUANAJUATO,9,COMONFORT,43,111,113,12112,968,294,1587,1210,1834,12679,0,0,0,0,425,188,83,54,31434,49,1095,32578,64628,
11,GUANAJUATO,10,CORONEO,10,19,19,3432,158,45,365,91,230,1403,0,0,0,0,38,10,16,9,5797,1,276,6074,9889,
11,GUANAJUATO,11,CORTAZAR,55,134,135,12028,1040,472,3078,1603,12703,15392,232,60,12,11,471,87,136,48,47373,12,1270,48655,79948,
11,GUANAJUATO,12,CUERAMARO,21,44,44,3567,1726,99,292,2279,451,4591,58,23,5,2,0,0,0,0,13093,2,609,13704,25233,
11,GUANAJUATO,13,DOCTOR MORA,12,33,33,4421,169,62,312,664,509,6423,0,0,0,0,0,0,0,0,12560,0,503,13063,20442,
11,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,71,206,208,34051,3817,704,2753,1326,4703,15951,846,404,57,17,512,97,151,66,65455,47,2353,67855,124993,
11,GUANAJUATO,15,GUANAJUATO,102,257,259,43078,5050,1172,4168,2184,4855,28922,0,0,0,0,0,0,0,0,89429,66,3782,93277,153390,
11,GUANAJUATO,16,HUANIMARO,13,31,31,3686,178,1092,2196,111,351,2964,59,11,17,3,0,0,0,0,10668,0,338,11006,17734,
11,GUANAJUATO,17,IRAPUATO,262,752,758,102552,9791,1961,7383,4596,19026,91161,0,0,0,0,2193,357,544,124,239688,162,8673,248523,463972,
11,GUANAJUATO,18,JARAL DEL PROGRESO,26,52,52,5487,535,153,750,467,2537,8484,39,14,6,1,0,0,0,0,18473,2,586,19061,30881,
11,GUANAJUATO,19,JERECUARO,56,84,84,4642,4865,830,1271,362,775,8033,0,0,0,0,157,41,114,44,21134,2,1272,22408,42256,
11,GUANAJUATO,20,LEON,777,2085,2098,395554,29550,4540,29081,11276,53266,205978,0,0,0,0,1925,274,651,158,732253,480,28601,761334,1272183,
11,GUANAJUATO,21,MOROLEON,35,81,82,6241,788,261,2490,662,7712,6160,137,22,7,3,0,0,0,0,24483,15,1147,25645,47615,
11,GUANAJUATO,22,OCAMPO,18,38,38,1894,3888,60,1122,240,246,3176,47,66,1,3,48,12,25,5,10833,2,282,11117,19567,
11,GUANAJUATO,23,PENJAMO,113,235,236,23320,4516,412,2824,1107,2719,24739,0,0,0,0,980,170,371,90,61248,4,2217,63469,133402,
11,GUANAJUATO,24,PUEBLO NUEVO,8,21,21,3898,293,72,242,104,964,1949,49,30,5,0,0,0,0,0,7606,22,240,7868,11618,
11,GUANAJUATO,25,PURISIMA DEL RINCON,25,97,99,21118,1703,115,2178,261,2072,5676,0,0,0,0,256,53,109,41,33582,3,1045,34630,62492,
11,GUANAJUATO,26,ROMITA,50,95,96,10895,6412,148,1319,269,1044,8964,0,0,0,0,0,0,0,0,29051,1,1070,30122,50586,
11,GUANAJUATO,27,SALAMANCA,158,384,387,41955,3445,1162,4094,2860,9126,53557,1290,320,49,41,2296,394,533,187,121309,69,2610,123988,227017,
11,GUANAJUATO,28,SALVATIERRA,84,159,161,10414,1264,255,1828,808,2672,25083,195,74,15,18,756,111,232,64,43789,21,1160,44970,86884,
11,GUANAJUATO,29,SAN DIEGO DE LA UNION,28,55,55,2823,6197,98,1881,324,759,5752,0,0,0,0,0,0,0,0,17834,2,806,18642,30537,
11,GUANAJUATO,30,SAN FELIPE,71,156,158,17097,2278,499,9826,2552,4437,5695,366,164,21,24,361,80,250,140,43790,21,1637,45448,89275,
11,GUANAJUATO,31,SAN FRANCISCO DEL RINCON,62,167,169,18080,18601,213,3245,577,2047,12734,0,0,0,0,0,0,0,0,55497,8,2234,57739,101717,
11,GUANAJUATO,32,SAN JOSE ITURBIDE,39,114,115,10408,2328,0,1645,2339,4970,13912,0,0,0,0,1351,88,71,32,37144,12,1429,38585,68729,
11,GUANAJUATO,33,SAN LUIS DE LA PAZ,57,161,163,18871,11074,769,2275,1505,3254,12608,0,0,0,0,0,0,0,0,50356,15,3012,53383,98825,
11,GUANAJUATO,34,SANTA CATARINA,5,10,10,1527,845,6,95,47,51,703,0,0,0,0,0,0,0,0,3274,0,123,3397,4982,
11,GUANAJUATO,35,SANTA CRUZ DE JUVENTINO ROSAS,36,108,109,10674,3484,5414,2088,1035,2371,12826,0,0,0,0,326,66,78,28,38390,130,1580,40100,65855,
11,GUANAJUATO,36,SANTIAGO MARAVATIO,10,13,13,1614,304,14,85,41,192,1935,22,10,1,2,16,7,11,3,4257,0,269,4526,6901,
11,GUANAJUATO,37,SILAO DE LA VICTORIA,78,247,249,28095,2885,737,3695,1414,8666,30200,0,0,0,0,0,0,0,0,75692,92,3665,79449,153530,
11,GUANAJUATO,38,TARANDACUAO,12,20,20,2560,1216,23,290,101,183,1627,0,0,0,0,56,10,13,7,6086,0,210,6296,11369,
11,GUANAJUATO,39,TARIMORO,34,62,62,3838,3142,109,500,429,558,8563,0,0,0,0,182,40,76,15,17452,3,749,18204,32362,
11,GUANAJUATO,40,TIERRA BLANCA,11,27,27,3783,197,20,2776,180,199,3620,0,0,0,0,0,0,0,0,10775,0,428,11203,15023,
11,GUANAJUATO,41,URIANGATO,26,86,87,5312,3374,453,6914,649,3264,8365,183,88,1,2,0,0,0,0,28605,9,1298,29912,54304,
11,GUANAJUATO,42,VALLE DE SANTIAGO,77,216,219,17929,1061,585,3239,1465,3757,28521,350,75,38,11,0,0,0,0,57031,9,2902,59942,122822,
11,GUANAJUATO,43,VICTORIA,15,30,30,3370,455,83,243,354,219,5430,0,0,0,0,0,0,0,0,10154,1,521,10676,16528,
11,GUANAJUATO,44,VILLAGRAN,29,85,86,4685,6137,136,805,668,2505,13705,385,75,4,19,500,54,91,20,29789,6,617,30412,50956,
11,GUANAJUATO,45,XICHU,14,23,23,1479,111,1728,132,146,170,1825,0,0,0,0,0,0,0,0,5591,1,348,5940,9013,
11,GUANAJUATO,46,YURIRIA,57,121,122,8973,1439,383,7010,1978,2975,7531,136,58,31,6,0,0,0,0,30520,44,1692,32256,66821,
