CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,1,0,VeMRE01,1,2070,133,32,54,42,191,2180,243,22,5,4,533,58,18,2,5587,4,35,5626,7475,ACTA CASILLA,,,
2,11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,2,0,VeMRE02,1,345,28,14,17,36,14,563,22,2,1,0,51,21,9,1,1124,0,0,1124,871,ACTA CASILLA,,,
2,11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,1,0,VMRE01,1,99,7,3,3,8,5,252,13,1,0,1,82,6,4,0,484,0,7,491,745,ACTA CASILLA,,,
2,11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,2,0,VMRE02,1,84,8,7,3,4,13,263,18,1,0,0,81,4,4,1,491,0,6,497,742,ACTA CASILLA,,,
2,11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,3,0,VMRE03,1,82,9,4,3,8,8,251,18,2,1,0,85,8,2,0,481,1,2,484,742,ACTA CASILLA,,,
2,11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,4,0,VMRE04,1,81,9,3,0,8,10,283,9,1,0,0,76,7,1,0,488,0,8,496,742,ACTA CASILLA,,,
2,11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,5,0,VMRE05,1,91,8,2,9,10,7,258,13,0,0,0,83,8,2,0,491,2,6,499,747,ACTA CASILLA,,,
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0,A,1,0,VA01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,ACTA CASILLA,,,
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,752,B,1,0,B,0,165,11,4,7,21,94,17,7,0,0,0,4,1,1,0,332,0,6,338,617,ACTA CASILLA,,,
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,752,C,1,0,C01,0,167,11,4,8,6,17,95,0,0,0,0,2,0,1,0,311,0,7,318,617,ACTA CASILLA,,,
