ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,0,7,2852,202,65,89,116,248,4050,336,29,7,5,991,112,40,4,9146,7,64,9217,12064,
11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,160,400,402,57631,9236,1019,11493,3206,6051,27268,1525,660,155,83,1042,273,378,182,120202,44,3826,124072,233835,
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,147,350,351,42664,16348,2432,6027,3599,4884,37160,763,443,98,36,758,221,298,165,115896,16,3554,119466,199885,
11,GUANAJUATO,3,LEON,85,318,319,79993,3632,622,2543,1176,6341,27529,2250,492,77,24,1446,250,312,102,126789,72,1793,128654,202733,
11,GUANAJUATO,4,LEON,100,299,300,52641,3152,464,2544,1197,5419,29824,1267,447,57,41,1515,258,429,100,99355,47,1689,101091,188135,
11,GUANAJUATO,5,LEON,94,302,302,54931,2745,561,2614,1183,6241,31248,1349,474,62,62,1475,298,486,111,103840,78,1789,105707,194464,
11,GUANAJUATO,6,LEON,149,370,371,64551,4462,721,3489,1550,6186,37549,1674,696,95,71,1998,316,611,203,124172,44,2268,126484,219013,
11,GUANAJUATO,7,LEON,239,452,453,92345,4825,788,3868,1645,7850,41404,2439,807,103,60,2494,405,718,172,159923,100,1927,161950,251456,
11,GUANAJUATO,8,GUANAJUATO,140,376,377,59306,4803,1170,2924,2253,7831,44264,2018,502,139,61,1558,401,383,116,127729,85,2497,130311,227540,
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,144,368,369,40336,14971,1130,3504,3606,7105,39649,870,437,74,33,1104,290,244,117,113470,40,3650,117160,212982,
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,152,390,391,59211,13003,658,3662,1362,5615,36890,1691,635,84,10,1492,227,427,115,125082,27,2398,127507,231683,
11,GUANAJUATO,11,IRAPUATO,123,381,382,60010,3754,740,2427,1854,9276,42412,1711,441,55,56,1768,297,360,146,125307,33,2183,127523,234863,
11,GUANAJUATO,12,IRAPUATO,139,371,372,45370,3467,799,2646,1794,10037,50071,1273,393,63,54,2175,393,538,155,119228,42,2242,121512,229109,
11,GUANAJUATO,13,CORTAZAR,178,391,393,37336,6576,800,3942,2277,11543,58835,942,269,51,18,1882,285,448,159,125363,36,2653,128052,224689,
11,GUANAJUATO,14,SALAMANCA,158,384,385,45263,3082,841,3224,2375,6712,57051,1405,333,59,21,2454,395,545,197,123957,56,2270,126283,227017,
11,GUANAJUATO,15,CELAYA,165,367,368,48111,5169,801,3220,1608,8475,52189,1517,431,52,47,2459,369,591,134,125173,45,2153,127371,211899,
11,GUANAJUATO,16,CELAYA,88,301,302,33176,3730,652,2995,1486,7271,51762,1050,298,70,94,2014,332,440,131,105501,57,1829,107387,193901,
11,GUANAJUATO,17,APASEO EL GRANDE,124,346,348,42007,3063,5597,6468,2310,4699,41386,833,316,136,47,1209,234,358,145,108808,158,2958,111924,206228,
11,GUANAJUATO,18,PENJAMO,179,401,402,53584,9897,652,4055,1547,4366,35536,894,451,57,26,1374,247,493,192,113371,9,2995,116375,229793,
11,GUANAJUATO,19,VALLE DE SANTIAGO,142,363,364,42301,9086,1551,4280,2758,4113,42664,827,300,67,28,1086,291,356,166,109874,4,2552,112430,210030,
11,GUANAJUATO,20,YURIRIA,171,410,412,45583,5495,1027,14312,1860,9542,42118,1199,345,59,29,1272,244,796,165,124046,29,2994,127069,238491,
11,GUANAJUATO,21,LEON,110,344,345,73145,3394,635,3061,1478,7818,37129,2354,492,104,14,2028,306,440,121,132519,37,1854,134410,216382,
11,GUANAJUATO,22,ACAMBARO,246,460,461,47541,10675,1148,4178,2492,6056,49441,1127,491,62,71,1497,369,478,206,125832,65,3776,129673,247176,
