ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,0,7,2987,329,180,438,503,248,4461,9146,7,64,9217,12064,
11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,160,400,402,58548,10116,1645,12120,3780,6051,27942,120202,44,3826,124072,233835,
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,147,350,351,43190,16841,2753,6512,4043,4884,37673,115896,16,3554,119466,199885,
11,GUANAJUATO,3,LEON,85,318,319,81028,4640,1422,3232,1834,6341,28292,126789,72,1793,128654,202733,
11,GUANAJUATO,4,LEON,100,299,300,53317,3818,934,3313,1881,5419,30673,99355,47,1689,101091,188135,
11,GUANAJUATO,5,LEON,94,302,302,55649,3463,1072,3405,1878,6241,32132,103840,78,1789,105707,194464,
11,GUANAJUATO,6,LEON,149,370,371,65505,5404,1361,4562,2475,6186,38679,124172,44,2268,126484,219013,
11,GUANAJUATO,7,LEON,239,452,453,93614,6071,1682,5144,2764,7850,42798,159923,100,1927,161950,251456,
11,GUANAJUATO,8,GUANAJUATO,140,376,377,60300,5758,1941,3692,3030,7831,45177,127729,85,2497,130311,227540,
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,144,368,369,40882,15496,1473,4052,4178,7105,40284,113470,40,3650,117160,212982,
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,152,390,391,60135,13889,1268,4430,2029,5615,37716,125082,27,2398,127507,231683,
11,GUANAJUATO,11,IRAPUATO,123,381,382,60830,4572,1365,3269,2664,9276,43331,125307,33,2183,127523,234863,
11,GUANAJUATO,12,IRAPUATO,139,371,372,46024,4114,1281,3718,2792,10037,51262,119228,42,2242,121512,229109,
11,GUANAJUATO,13,CORTAZAR,178,391,393,37811,7033,1148,4873,3125,11543,59830,125363,36,2653,128052,224689,
11,GUANAJUATO,14,SALAMANCA,158,384,385,45929,3727,1348,4413,3488,6712,58340,123957,56,2270,126283,227017,
11,GUANAJUATO,15,CELAYA,165,367,368,48859,5914,1355,4402,2678,8475,53490,125173,45,2153,127371,211899,
11,GUANAJUATO,16,CELAYA,88,301,302,33710,4276,1084,3952,2388,7271,52820,105501,57,1829,107387,193901,
11,GUANAJUATO,17,APASEO EL GRANDE,124,346,348,42511,3521,5967,7123,2902,4699,42085,108808,158,2958,111924,206228,
11,GUANAJUATO,18,PENJAMO,179,401,402,54137,10433,991,4855,2224,4366,36365,113371,9,2995,116375,229793,
11,GUANAJUATO,19,VALLE DE SANTIAGO,142,363,364,42761,9526,1873,4903,3348,4113,43350,109874,4,2552,112430,210030,
11,GUANAJUATO,20,YURIRIA,171,410,412,46186,6082,1469,15217,2488,9542,43062,124046,29,2994,127069,238491,
11,GUANAJUATO,21,LEON,110,344,345,74228,4432,1478,4018,2367,7818,38178,132519,37,1854,134410,216382,
11,GUANAJUATO,22,ACAMBARO,246,460,461,48194,11332,1589,5019,3278,6056,50364,125832,65,3776,129673,247176,
