ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,0,7,2852,202,65,89,116,248,4050,336,29,7,5,991,112,40,4,9146,7,64,9217,12064,
11,GUANAJUATO,1,ABASOLO,50,121,121,15637,6931,216,971,566,1150,14246,307,160,22,12,263,84,91,42,40698,0,888,41586,71493,
11,GUANAJUATO,2,ACAMBARO,90,181,182,20038,1284,489,1181,1141,2265,20147,467,106,31,26,754,174,201,84,48388,18,1294,49700,99549,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,105,254,255,27891,13373,856,2107,1548,3812,24433,640,347,57,32,671,175,158,67,76167,34,2483,78684,144253,
11,GUANAJUATO,4,APASEO EL ALTO,44,94,94,10337,773,167,1149,372,2512,10002,238,94,14,5,317,67,99,39,26185,12,827,27024,51751,
11,GUANAJUATO,5,APASEO EL GRANDE,45,127,128,13818,1224,227,4054,591,1469,14899,320,191,34,12,568,90,186,55,37738,58,953,38749,75745,
11,GUANAJUATO,6,ATARJEA,5,11,11,1788,18,10,22,967,39,561,5,0,2,0,7,24,5,2,3450,0,100,3550,4535,
11,GUANAJUATO,7,CELAYA,253,668,670,81287,8899,1453,6215,3094,15746,103951,2567,729,122,141,4473,701,1031,265,230674,102,3982,234758,405800,
11,GUANAJUATO,8,MANUEL DOBLADO,41,69,69,8444,4833,84,525,292,453,3636,86,83,13,9,114,30,37,31,18670,2,592,19264,33899,
11,GUANAJUATO,9,COMONFORT,43,111,112,12931,775,289,1100,802,1403,12913,294,72,12,7,258,88,93,46,31083,12,777,31872,64628,
11,GUANAJUATO,10,CORONEO,10,19,19,3763,100,35,235,93,162,1355,38,16,5,1,36,11,17,11,5878,1,171,6050,9889,
11,GUANAJUATO,11,CORTAZAR,55,134,135,15741,862,449,2052,1065,8027,18099,353,85,14,7,554,113,139,48,47608,6,1095,48709,79948,
11,GUANAJUATO,12,CUERAMARO,21,44,44,4651,1394,102,202,1407,353,4883,89,26,3,3,103,74,29,33,13352,1,338,13691,25233,
11,GUANAJUATO,13,DOCTOR MORA,12,33,33,4873,110,45,176,525,443,6340,58,22,6,0,82,30,31,18,12759,3,297,13059,20442,
11,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,71,206,207,37002,3320,615,2007,1145,3117,15924,1038,434,56,46,507,141,147,63,65562,27,2065,67654,124993,
11,GUANAJUATO,15,GUANAJUATO,102,257,258,43773,3691,905,1902,1704,5234,29651,1438,367,94,47,1090,280,231,62,90469,64,1740,92273,153390,
11,GUANAJUATO,16,HUANIMARO,13,31,31,4616,93,807,1699,93,316,3062,58,15,6,2,53,16,30,10,10876,0,182,11058,17734,
11,GUANAJUATO,17,IRAPUATO,262,752,754,105380,7221,1539,5073,3648,19313,92483,2984,834,118,110,3943,690,898,301,244535,75,4425,249035,463972,
11,GUANAJUATO,18,JARAL DEL PROGRESO,26,52,52,6643,432,117,470,339,1432,8824,63,29,9,2,145,38,74,13,18630,3,365,18998,30881,
11,GUANAJUATO,19,JERECUARO,56,84,84,5921,4707,339,1023,371,601,7877,200,156,3,22,158,39,90,40,21547,16,836,22399,42256,
11,GUANAJUATO,20,LEON,777,2085,2090,417606,22210,3791,18119,8229,39855,204683,11333,3408,498,272,10956,1833,2996,809,746598,378,11320,758296,1272183,
11,GUANAJUATO,21,MOROLEON,35,81,81,9830,719,243,1756,345,4029,7047,289,41,21,10,242,44,94,22,24732,4,744,25480,47615,
11,GUANAJUATO,22,OCAMPO,18,38,38,2379,3768,54,874,199,210,3146,54,71,1,3,40,19,27,7,10852,1,262,11115,19567,
11,GUANAJUATO,23,PENJAMO,113,235,235,25089,3234,434,1702,949,2216,25102,413,191,29,13,968,177,346,109,60972,6,1682,62660,133402,
11,GUANAJUATO,24,PUEBLO NUEVO,8,21,21,4511,203,58,133,89,728,1802,61,30,3,1,28,5,7,5,7664,0,145,7809,11618,
11,GUANAJUATO,25,PURISIMA DEL RINCON,25,97,98,20051,1830,134,1828,306,1697,6798,395,177,15,4,292,40,110,52,33729,1,721,34451,62492,
11,GUANAJUATO,26,ROMITA,50,95,95,12526,5449,151,925,273,782,8825,131,76,8,4,177,35,75,19,29456,1,654,30111,50586,
11,GUANAJUATO,27,SALAMANCA,158,384,385,45263,3082,841,3224,2375,6712,57051,1405,333,59,21,2454,395,545,197,123957,56,2270,126283,227017,
11,GUANAJUATO,28,SALVATIERRA,84,159,160,11911,809,228,1287,731,1782,25165,242,78,20,4,775,111,220,77,43440,23,1013,44476,86884,
11,GUANAJUATO,29,SAN DIEGO DE LA UNION,28,55,55,3441,6163,90,1558,298,757,5478,78,57,3,6,75,13,35,20,18072,1,489,18562,30537,
11,GUANAJUATO,30,SAN FELIPE,71,156,157,18250,2148,350,8612,1862,2724,8198,433,155,98,34,495,113,204,112,43788,16,1499,45303,89275,
11,GUANAJUATO,31,SAN FRANCISCO DEL RINCON,62,167,168,29278,6593,252,1692,545,1844,13594,990,440,36,3,629,97,174,56,56223,16,918,57157,101717,
11,GUANAJUATO,32,SAN JOSE ITURBIDE,39,114,114,12445,1598,274,1397,2058,3293,15216,230,90,17,1,433,115,86,50,37303,6,1167,38476,68729,
11,GUANAJUATO,33,SAN LUIS DE LA PAZ,57,161,162,20825,8744,594,1927,1131,3069,13057,498,307,51,20,411,110,137,81,50962,11,1935,52908,98825,
11,GUANAJUATO,34,SANTA CATARINA,5,10,10,1650,683,6,43,40,58,793,11,8,2,1,6,3,2,4,3310,0,88,3398,4982,
