CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,0,7,2852,202,65,89,116,248,4050,336,29,7,5,991,112,40,4,9146,7,64,9217,12064
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,752,5,5,837,65,13,41,44,154,353,23,8,1,0,21,4,6,0,1570,0,38,1608,3082
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,753,5,5,1001,66,24,54,31,95,578,42,9,3,4,16,10,3,2,1938,1,56,1995,3680
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,754,4,4,691,72,11,24,14,63,372,24,10,1,8,18,3,2,1,1314,0,26,1340,1554
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,755,5,5,913,70,15,138,26,111,530,25,10,1,0,15,4,5,2,1865,0,46,1911,3246
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,756,4,4,901,74,16,44,24,79,317,29,10,1,0,21,4,3,0,1523,0,33,1556,2867
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,757,2,2,295,28,5,14,5,31,131,14,4,0,0,8,3,1,2,541,0,10,551,777
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,758,2,2,421,26,6,21,14,40,264,28,3,1,0,3,4,3,0,834,0,10,844,1377
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,759,4,4,988,46,10,35,15,95,426,43,10,1,0,14,2,2,1,1688,1,13,1702,2849
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,760,8,8,1812,85,24,77,45,147,693,47,30,5,1,26,18,4,2,3016,0,74,3090,5498
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,761,2,2,380,20,2,19,10,32,243,9,0,0,0,8,1,1,0,725,0,12,737,1140
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,762,2,2,383,17,2,16,11,29,209,17,10,1,0,13,1,0,0,709,0,23,732,1187
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,763,2,2,392,25,1,5,4,24,100,12,4,0,0,1,3,0,0,571,1,6,578,845
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,764,2,2,386,12,3,10,19,23,201,16,1,0,0,4,1,3,2,681,1,12,694,1042
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,765,3,3,797,58,15,18,20,84,341,28,4,3,0,11,9,2,0,1390,1,35,1426,2197
