ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,C_PAN_PRI_PRD,C_MORENA_NAH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ACATLAN,12,30,31,,,,993,4351,,2218,2784,,,,,,250,,,,,,,,,,,,,,,,10596,5,490,11091,17871,
13,HIDALGO,2,ACAXOCHITLAN,21,57,57,,,,,1162,746,3236,11297,,,,,,,,,,,,,,,,,,,,,,16441,28,881,17350,33593,
13,HIDALGO,3,ACTOPAN,34,83,85,,,,1139,6625,7108,5488,8908,,,,,,,,,,,,,,,,,,,,,,29268,22,1146,30436,49022,
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE,12,19,19,213,523,2302,439,,,,2194,,,,,,,,,,,,,,,,,,,,,,5671,3,231,5905,8048,
13,HIDALGO,5,AJACUBA,11,25,25,,260,24,317,3494,2141,,3537,,,,,,,,,,,,,,,,,,,,,,9773,1,349,10123,14659,
13,HIDALGO,6,ALFAJAYUCAN,22,35,35,224,758,,3463,2082,,,3573,,,,,,,,,,,,,,,,,,,,,,10100,3,426,10529,15869,
13,HIDALGO,7,ALMOLOYA,13,20,21,,1666,,596,,,,2164,,,,,,,,,,,,,,,,,,405,217,,,5048,1142,320,6510,9869,
13,HIDALGO,8,APAN,25,64,65,4293,2507,679,3927,2720,863,,6730,,,,,,,,,,,,,,,,,,,,,,21719,22,886,22627,36678,
13,HIDALGO,9,ATITALAQUIA,10,34,34,1179,1731,1445,2403,1819,2071,,4692,,,,,,,,,,,,,,,,,,,,,,15340,6,635,15981,23170,
13,HIDALGO,10,ATLAPEXCO,16,30,31,,,,4516,1324,435,217,4358,,,,,,,,,,,,,,,,,,,,,,10850,0,711,11561,15605,
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,49,50,,,,7701,539,527,443,5223,,,,,,,,,,,,,,,,,,,,,,14433,8,603,15044,24770,
13,HIDALGO,12,ATOTONILCO DE TULA,25,70,70,,,,2901,3641,4821,766,5665,,,,,,,,,,,,,,,,2213,5615,,,,,25622,6,1149,26777,41982,
13,HIDALGO,13,CALNALI,15,24,24,,,,5459,161,92,60,4235,,,,,,,,,,,,,,,,,,,,,,10007,3,331,10341,12981,
13,HIDALGO,14,CARDONAL,17,29,29,,,,1447,1692,4231,258,2084,,,,,,,,,,,,,,,,,,,,,,9712,3,523,10238,15164,
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46252,
13,HIDALGO,16,CHAPANTONGO,10,17,17,,,,1083,3577,276,1018,1741,,,,,,,,,,,,,,,,,,,,,,7695,2,304,8001,10523,
13,HIDALGO,17,CHAPULHUACAN,25,35,35,539,3771,1239,385,,143,,3967,,,,,,,,,,,,,,,,,,,,,,10044,61,506,10611,17250,
13,HIDALGO,18,CHILCUAUTLA,15,27,28,,,,1610,1147,2577,790,3338,,,,,,,,,,,,,,,,,,,,,,9462,5,488,9955,14619,
13,HIDALGO,19,EL ARENAL,11,26,26,,3774,35,1246,1064,258,,3593,,,,,,,,,,,,,,,,,,,,,,9970,1,384,10355,15198,
13,HIDALGO,20,ELOXOCHITLAN,7,9,9,,,,1167,,,5,1145,,,,,,,,,,,,,,,,,,,,,,2317,0,20,2337,2862,
13,HIDALGO,21,EMILIANO ZAPATA,8,20,20,353,224,,1461,1885,1099,,2731,,,,,,,,,,,,,,,,,,,,,,7753,5,316,8074,12125,
13,HIDALGO,22,EPAZOYUCAN,11,23,23,1927,617,506,245,808,411,,3432,,,,,,,,,,,,,,,,,,,,,,7946,1,406,8353,13294,
13,HIDALGO,23,FRANCISCO I. MADERO,17,48,48,,,,2905,2885,808,1224,6753,,,,4293,,,,,,,,,,,,,,,,,,18868,5,799,19672,29325,
13,HIDALGO,24,HUASCA DE OCAMPO,19,30,30,,,,3452,192,277,834,4154,,,,,,,,,,,,,,,,,,,,,,8909,3,404,9316,15194,
13,HIDALGO,25,HUAUTLA,26,35,35,,409,,6997,303,306,,3125,,,,,,,,,,,,,,,,,,,,,,11140,5,447,11592,16136,
13,HIDALGO,26,HUAZALINGO,10,19,19,84,250,1801,2877,,,,2054,,,,,,,,,,,,,,,,,,,,,,7066,0,339,7405,9716,
13,HIDALGO,27,HUEHUETLA,16,33,33,,292,477,809,326,5913,,4493,,,,,,,,,,,,,,,,,,,,,,12310,0,516,12826,17686,
13,HIDALGO,28,HUEJUTLA DE REYES,55,168,169,954,3473,,1760,20705,3653,,24659,,,,,,,,,,,,,,,,,,,,,,55204,14,3360,58578,96923,
13,HIDALGO,29,HUICHAPAN,37,69,70,,,,2093,3652,881,6581,7931,,,,,,,,,,,,,,,,,,,,,897,22035,0,889,22924,37199,
13,HIDALGO,30,IXMIQUILPAN,65,138,140,,,,13386,3647,1502,5760,19535,,,,,,,,,,,,,,,,,,,,,,43830,50,2124,46004,76229,
13,HIDALGO,31,JACALA DE LEDEZMA,19,24,25,,,,1362,,,2378,2424,,,,,,,,,,,,,,,,,,,,,,6164,2,357,6523,9934,
13,HIDALGO,32,JALTOCAN,12,17,19,1893,216,,181,157,782,,2018,,,,,,,,,,,,,,,,,,,,,,5247,0,300,5547,8014,
13,HIDALGO,33,JUAREZ HIDALGO,4,5,5,,,,,113,,990,927,,,,,,,,,,,,,,,,,,,,,,2030,2,59,2091,2666,
13,HIDALGO,34,LA MISION,11,17,17,21,87,2715,1890,,,,625,,,,,,,,,,,,,,,,,,,,,,5338,0,274,5612,8150,
13,HIDALGO,35,LOLOTLA,8,18,19,,,,668,175,,2320,1905,,,,,,,,,,,,,,,,,,,,,,5068,0,274,5342,7168,
13,HIDALGO,36,METEPEC,9,20,20,,,,747,,1990,2018,1723,,,,,,,,,,,,,,,,,,,,,,6478,6,275,6759,9959,
13,HIDALGO,37,METZTITLAN,26,39,39,,4102,815,1405,,,,4831,,,,,,,,,,,,,,,,,,,,,,11153,2,518,11673,17335,
13,HIDALGO,38,MINERAL DEL CHICO,11,17,17,,,,424,,227,2368,2014,,,,,,,,,,,,,,,,,,,,,,5033,2,231,5266,7626,
13,HIDALGO,39,MINERAL DEL MONTE,12,22,23,,,,920,2031,343,981,3013,,,,,,,328,,,,,,,,,,,,,,,7616,5,333,7954,11745,
13,HIDALGO,40,MINERAL DE LA REFORMA,94,252,252,14170,7963,812,4350,3697,15010,,42397,,,,,,,,,,,,,,,,,,,,,,88399,138,3969,92506,149695,
13,HIDALGO,41,MIXQUIAHUALA DE JUAREZ,22,60,61,616,1035,122,6264,720,4673,,3242,,,,,5960,,,,,,,,,,,,,,,,,22632,10,941,23583,35507,
13,HIDALGO,42,MOLANGO DE ESCAMILLA,15,19,20,,127,168,471,771,1550,,2841,,,,,,,,,,,,,,,,,,,,,,5928,2,293,6223,8460,
13,HIDALGO,43,NICOLAS FLORES,19,20,20,1900,65,,,,,,1839,,,,,,,,,,,,,,,,,,,,,,3804,3,95,3902,5430,
13,HIDALGO,44,NOPALA DE VILLAGRAN,10,21,21,,,,1175,1819,1329,1495,2129,,,,,,,,,,,,,,,,,,,,,,7947,5,362,8314,12175,
13,HIDALGO,45,OMITLAN DE JUAREZ,10,14,14,,,,490,454,84,1309,2643,,,,,,,,,,,,,,,,,,,,,,4980,5,209,5194,7749,
13,HIDALGO,46,PACULA,10,11,11,1173,20,,218,,,,1439,,,,,,,,,,,,,,,,,,,,,,2850,0,87,2937,4259,
13,HIDALGO,47,PACHUCA DE SOTO,141,410,413,,,,10058,5920,15978,40327,81051,,,,,,,,,,,,,,,,,,,,,,153334,299,6754,160387,248574,
13,HIDALGO,48,PISAFLORES,20,28,28,,3446,21,390,3673,60,,519,,,,,,,,,,,,,,,,,,,,,,8109,7,465,8581,13712,
13,HIDALGO,49,PROGRESO DE OBREGON,12,31,31,,,,6097,1212,505,2066,2672,,,,,,,,,,,,,,,,,,,,,,12552,9,459,13020,19237,
13,HIDALGO,50,SAN AGUSTIN METZQUITITLAN,13,18,19,,,,1622,825,,160,2784,,,,,,,,,,,,,,,,,,,,,,5391,6,185,5582,7913,
13,HIDALGO,51,SAN AGUSTIN TLAXIACA,18,46,47,,,,1133,2409,6616,1280,6173,,,,,,,,,,,,,,,,,,,,,,17611,96,751,18458,27388,
13,HIDALGO,52,SAN BARTOLO TUTOTEPEC,17,30,30,,,,,535,,3204,5221,,,,,,,,,,,,,,,,,,,,,,8960,11,610,9581,13626,
13,HIDALGO,53,SAN FELIPE ORIZATLAN,24,55,56,1535,1837,,8763,1838,263,,4812,,,,,,,,,,,,,,,,,,,,,,19048,3,1023,20074,29468,
13,HIDALGO,54,SAN SALVADOR,24,49,49,2271,988,,4193,1397,431,,8465,,,,,,,,,,,,,,,,,,,,,,17745,39,757,18541,28057,
13,HIDALGO,55,SANTIAGO DE ANAYA,19,29,29,,,,2313,296,1979,460,3061,,,,,,,,,,,,,,,,,,,,,,8109,566,496,9171,14066,
13,HIDALGO,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,11,44,44,,5296,344,328,1353,498,,5659,,,,,,,,2931,,,,,,,,,,,,,,16409,14,728,17151,28847,
13,HIDALGO,57,SINGUILUCAN,11,24,24,2781,527,,2040,146,,,2976,,,,,,,,,797,,,,,,,,,,,,,9267,1,590,9858,13768,
13,HIDALGO,58,TASQUILLO,19,30,30,,,,587,1851,,720,2120,1410,1815,,,,,,,,,,,,,,,,,,,,8503,0,416,8919,15330,
13,HIDALGO,59,TECOZAUTLA,25,51,51,,,,4201,3287,,4008,5332,,,,,,,,,,,,,,,,,,,,,,16828,1,683,17512,29419,
13,HIDALGO,60,TENANGO DE DORIA,14,26,27,,,,410,791,3118,457,3461,,,,,,,,,,,,,,,,,,,,,,8237,8,447,8692,13093,
13,HIDALGO,61,TEPEAPULCO,38,81,82,,,,1800,3646,1711,5424,8510,,,,,,,,,,,,,,,,,,,,7163,,28254,18,1198,29470,46963,
13,HIDALGO,62,TEPEHUACAN DE GUERRERO,33,47,48,,,,1877,,252,5507,6605,,,,,,,,,,,,,,,,,,,,,,14241,12,721,14974,21386,
13,HIDALGO,63,TEPEJI DEL RIO DE OCAMPO,33,111,112,,,,8453,8149,1830,6654,16423,,,,,,,,,,,,,,,,,,,,,,41509,29,1609,43147,69049,
13,HIDALGO,64,TEPETITLAN,8,16,16,1728,110,,2309,,241,,1721,,,,,,,,,,,,,,,,,,,,,,6109,3,225,6337,8469,
13,HIDALGO,65,TETEPANGO,7,16,16,,,,2100,3149,,78,1613,,,,,,,,,,,,,,,,,,,,,,6940,1,169,7110,9564,
13,HIDALGO,66,TEZONTEPEC DE ALDAMA,24,68,69,,,,4784,327,785,7647,7482,,,7020,,,,,,,,,,,,,,,,,,,28045,1,1071,29117,40537,
13,HIDALGO,67,TIANGUISTENGO,16,24,24,,,,3416,158,82,72,4871,,,,,,,,,,,,,,,,,,,,,,8599,3,369,8971,11534,
13,HIDALGO,68,TIZAYUCA,54,194,195,,,,9613,2319,5893,19734,28735,,,,,,,,,,,,,,,,,,,,,,66294,51,2753,69098,122820,
13,HIDALGO,69,TLAHUELILPAN,9,25,26,,,,3024,2189,458,676,2836,,,,,,,,,,,,504,,,,,,,,,,9687,4,392,10083,14384,
13,HIDALGO,70,TLAHUILTEPA,17,21,21,,,,1937,,,612,2398,,,,,,,,,,,,,,,,,,,,,,4947,6,157,5110,7393,
13,HIDALGO,71,TLANALAPA,8,16,16,,,,684,1177,318,1426,1622,,,,,,,,,,1102,,,,,,,,,,,,6329,7,216,6552,9059,
