CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,C_PAN_PRI_PRD,C_MORENA_NAH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,3,3,29,104,0,624,196,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,27,1344,1881
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,93,2,2,11,18,0,197,80,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,15,541,770
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,94,1,1,11,21,0,58,72,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,16,275,402
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,95,2,2,19,46,0,179,111,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,1,28,648,997
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,96,1,1,11,32,0,69,94,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,20,363,512
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,97,2,2,11,20,0,152,198,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,1,28,578,823
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,98,1,1,3,27,0,65,21,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,11,239,339
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,99,2,2,11,31,0,95,291,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,64,808,1499
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,100,2,2,7,57,0,159,51,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,34,533,907
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,101,2,2,10,74,0,209,67,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,14,676,1062
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,102,1,1,1,47,0,48,49,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,4,158,216
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,103,3,3,15,57,0,394,141,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,34,937,1367
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,104,2,2,14,32,0,219,95,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,25,527,825
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,105,1,1,6,10,0,102,29,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,9,356,524
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,106,2,2,14,36,0,241,110,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,25,592,886
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,107,1,1,11,35,0,121,84,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,10,374,565
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,108,1,1,3,8,0,82,83,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,7,249,354
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,109,1,1,8,15,0,64,61,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,8,208,339
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,110,1,1,7,17,0,82,20,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,6,194,254
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,111,2,2,20,42,0,207,174,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,26,629,929
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,112,1,1,2,5,0,60,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,6,112,134
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,113,1,1,0,24,0,36,33,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,9,188,284
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,291,3,3,51,475,120,82,0,8,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,11,44,1268,2094
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,292,3,3,43,343,92,96,0,10,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,8,33,1068,1736
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,293,1,1,18,60,29,6,0,3,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,5,10,212,422
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,294,1,1,100,39,30,9,0,5,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,18,321,613
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,295,1,1,16,73,12,9,0,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,9,182,333
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,296,2,2,73,163,54,12,0,7,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,41,517,788
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,297,1,1,17,85,42,27,0,6,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,32,385,588
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,298,2,2,13,141,82,10,0,4,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,2,13,425,758
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,299,1,1,0,55,17,2,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,6,125,195
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,300,1,1,8,70,16,6,0,7,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,12,204,378
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,301,1,1,8,85,57,5,0,5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,15,270,407
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,302,1,1,23,161,65,12,0,3,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,2,11,395,599
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,303,1,1,10,57,2,0,0,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1,6,128,215
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,304,1,1,28,108,26,7,0,3,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,5,16,285,531
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,305,1,1,39,82,25,12,0,7,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,3,28,381,707
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,306,1,1,4,60,28,4,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,5,142,222
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,307,1,1,9,205,4,11,0,5,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,25,402,665
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,308,1,1,7,128,42,4,0,6,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,18,372,585
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,309,2,2,11,401,173,10,0,15,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,9,41,980,1413
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,310,1,1,11,181,67,12,0,13,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,2,28,507,745
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,311,1,1,13,173,73,10,0,7,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,25,455,688
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,312,3,3,12,198,107,13,0,12,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,1,27,670,1074
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,313,1,1,7,63,8,4,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,11,143,236
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,314,1,1,10,106,13,11,0,1,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,11,229,359
4,13,HIDALGO,1,ZIMAPAN,17,CHAPULHUACAN,315,2,2,8,259,55,11,0,2,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,11,21,545,899
4,13,HIDALGO,1,ZIMAPAN,31,JACALA DE LEDEZMA,0,0,1,0,0,0,3,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,21,23
4,13,HIDALGO,1,ZIMAPAN,31,JACALA DE LEDEZMA,608,3,3,0,0,0,251,0,0,610,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,55,1407,2038
4,13,HIDALGO,1,ZIMAPAN,31,JACALA DE LEDEZMA,609,3,3,0,0,0,219,0,0,463,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,0,39,1026,1459
4,13,HIDALGO,1,ZIMAPAN,31,JACALA DE LEDEZMA,610,1,1,0,0,0,31,0,0,75,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,14,263,402
4,13,HIDALGO,1,ZIMAPAN,31,JACALA DE LEDEZMA,611,1,1,0,0,0,69,0,0,96,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,11,293,438
