ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ZIMAPAN,198,274,276,4868,7911,2434,7621,10017,2528,23266,12527,71172,88,5484,76744,122706,
13,HIDALGO,2,ZACUALTIPAN DE ANGELES,187,295,299,5100,8288,2550,21670,4017,4739,27882,15013,89259,95,4592,93946,139131,
13,HIDALGO,3,TLANCHINOL,129,243,246,4795,7793,2397,22641,3971,3050,25404,13679,83730,61,6619,90410,121802,
13,HIDALGO,4,HUEJUTLA DE REYES,91,240,244,2611,4243,1305,11329,17963,4825,23733,12778,78787,57,5692,84536,134405,
13,HIDALGO,5,IXMIQUILPAN,140,272,275,3418,5554,1708,16591,6911,7330,30398,16368,88278,117,5583,93978,148135,
13,HIDALGO,6,HUICHAPAN,114,242,244,7361,11963,3680,10461,10619,7288,23505,12656,87533,39,4752,92324,138322,
13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,79,214,215,2766,4496,1383,24128,9108,7533,22981,12374,84769,83,4079,88931,131462,
13,HIDALGO,8,ACTOPAN,90,223,226,5011,8143,2505,6060,8971,11605,25536,13750,81581,73,4052,85706,130695,
13,HIDALGO,9,METEPEC,120,245,247,4316,7015,2158,7395,7208,10668,25028,13476,77264,73,4769,82106,129070,
13,HIDALGO,10,ZEMPOALA,87,232,233,5906,9599,2953,7857,7291,9168,28554,15375,86703,124,4553,91380,139344,
13,HIDALGO,11,TULANCINGO DE BRAVO,63,219,221,4802,7804,2400,10503,4124,6063,24756,13329,73781,92,4028,77901,138452,
13,HIDALGO,12,PACHUCA DE SOTO,68,217,218,7161,11637,3580,4754,4648,10483,25232,13586,81081,77,3563,84721,131440,
13,HIDALGO,13,PACHUCA DE SOTO,103,238,240,7184,11673,3591,8346,4588,9816,27551,14834,87583,73,4324,91980,140833,
13,HIDALGO,14,TULA DE ALLENDE,73,215,218,4336,7047,2168,15765,7686,6827,25193,13564,82586,89,3718,86393,129764,
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,58,181,182,2548,4141,1274,7491,11310,5337,23137,12458,67696,33,3202,70931,111031,
13,HIDALGO,16,TIZAYUCA,54,194,195,4908,7976,2454,10481,3007,7569,19924,10728,67047,24,3063,70134,122820,
13,HIDALGO,17,VILLAS DEL ALAMO,64,207,207,5490,8923,2745,6823,4088,10344,23271,12530,74214,87,3170,77471,125996,
13,HIDALGO,18,TEPEAPULCO,108,259,262,5073,8245,2536,6461,8660,6801,25060,13493,76329,116,4064,80509,151887,
