ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,C_PAN_PRI_PRD,PT,PVEM,MC,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ACATLAN,12,30,31,2020,936,2765,532,4234,10487,6,576,11069,17871,
13,HIDALGO,2,ACAXOCHITLAN,21,57,57,2630,906,1158,1021,10564,16279,28,1051,17358,33593,
13,HIDALGO,3,ACTOPAN,34,83,85,5224,1724,4059,4789,13092,28888,27,1509,30424,49022,
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE,12,19,19,1623,565,376,398,2573,5535,1,370,5906,8048,
13,HIDALGO,5,AJACUBA,11,25,25,783,918,1824,1121,5009,9655,6,467,10128,14659,
13,HIDALGO,6,ALFAJAYUCAN,22,35,35,884,1666,2058,400,4973,9981,19,531,10531,15869,
13,HIDALGO,7,ALMOLOYA,13,20,21,1555,410,288,324,3500,6077,49,402,6528,9869,
13,HIDALGO,8,APAN,25,64,65,4288,2202,2171,1701,11307,21669,19,1083,22771,36678,
13,HIDALGO,9,ATITALAQUIA,10,34,34,2231,1766,1474,1511,7703,14685,17,726,15428,23170,
13,HIDALGO,10,ATLAPEXCO,16,30,31,252,3996,891,382,5225,10746,3,845,11594,15605,
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,49,50,954,6504,657,642,5665,14422,8,655,15085,24770,
13,HIDALGO,12,ATOTONILCO DE TULA,25,70,70,2709,2707,3654,3432,13839,26341,17,1436,27794,41982,
13,HIDALGO,13,CALNALI,15,24,24,367,4447,337,170,4502,9823,6,414,10243,12981,
13,HIDALGO,14,CARDONAL,17,29,29,592,1427,960,1509,5086,9574,13,655,10242,15164,
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,74,74,2108,792,2047,874,6226,12047,5,658,12710,46252,
13,HIDALGO,16,CHAPANTONGO,10,17,17,1178,894,2384,543,2608,7607,2,391,8000,10523,
13,HIDALGO,17,CHAPULHUACAN,25,35,35,2506,608,670,412,5268,9464,11,1084,10559,17250,
13,HIDALGO,18,CHILCUAUTLA,15,27,28,962,1219,989,1620,4522,9312,13,628,9953,14619,
13,HIDALGO,19,EL ARENAL,11,26,26,2113,932,983,789,5001,9818,16,522,10356,15198,
13,HIDALGO,20,ELOXOCHITLAN,7,9,9,70,1029,21,25,1142,2287,1,47,2335,2862,
13,HIDALGO,21,EMILIANO ZAPATA,8,20,20,1067,822,1001,832,3960,7682,4,377,8063,12125,
13,HIDALGO,22,EPAZOYUCAN,11,23,23,1733,468,718,788,4318,8025,32,556,8613,13294,
13,HIDALGO,23,FRANCISCO I. MADERO,17,48,48,1804,3882,1548,1260,10125,18619,25,973,19617,29325,
13,HIDALGO,24,HUASCA DE OCAMPO,19,30,30,1074,2445,378,424,4496,8817,2,519,9338,15194,
13,HIDALGO,25,HUAUTLA,26,35,35,419,5847,433,337,4008,11044,3,542,11589,16136,
13,HIDALGO,26,HUAZALINGO,10,19,19,937,2365,280,209,2898,6689,2,769,7460,9716,
13,HIDALGO,27,HUEHUETLA,16,33,33,1245,988,464,4638,4981,12316,9,586,12911,17686,
13,HIDALGO,28,HUEJUTLA DE REYES,55,168,169,5108,3348,15045,3589,27555,54645,41,3971,58657,96923,
13,HIDALGO,29,HUICHAPAN,37,69,70,5991,1717,2919,1649,9605,21881,13,1205,23099,37199,
13,HIDALGO,30,IXMIQUILPAN,65,138,140,6189,9438,3295,1942,22495,43359,50,2668,46077,76229,
13,HIDALGO,31,JACALA DE LEDEZMA,19,24,25,1768,775,212,126,3230,6111,0,444,6555,9934,
13,HIDALGO,32,JALTOCAN,12,17,19,908,505,735,581,2636,5365,7,421,5793,8014,
13,HIDALGO,33,JUAREZ HIDALGO,4,5,5,720,48,23,120,1081,1992,3,95,2090,2666,
