CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,B,1,0,B,0,0,0,0,95,68,17,0,0,79,173,432,0,16,448,627,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,C,1,0,C01,0,0,0,0,80,80,20,0,0,78,175,433,1,25,459,627,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,C,2,0,C02,0,0,0,0,84,79,25,0,0,44,194,426,0,11,437,627,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,93,B,1,0,B,0,0,0,0,52,37,13,0,0,18,141,261,0,5,266,385,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,93,C,1,0,C01,0,0,0,0,44,53,16,0,0,18,128,259,0,16,275,385,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,94,B,1,0,B,0,0,0,0,33,75,7,0,0,23,120,258,0,17,275,402,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,95,B,1,0,B,0,0,0,0,41,82,6,0,0,25,150,304,0,16,320,499,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,95,C,1,0,C01,0,0,0,0,36,98,7,0,0,7,162,310,1,17,328,498,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,96,B,1,0,B,0,0,0,0,34,77,11,0,0,30,186,338,0,25,363,512,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,97,B,1,0,B,0,0,0,0,45,98,18,0,0,22,143,326,0,28,354,507,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,97,E,1,0,E01,0,0,0,0,49,26,3,0,0,9,131,218,0,7,225,316,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,98,B,1,0,B,0,0,0,0,31,42,5,0,0,27,127,232,0,7,239,339,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,99,B,1,0,B,0,0,0,0,24,97,15,0,0,16,227,379,0,40,419,750,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,99,C,1,0,C01,0,0,0,0,21,100,15,0,0,21,201,358,2,30,390,749,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,100,B,1,0,B,0,0,0,0,55,38,1,0,0,12,148,254,0,16,270,454,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,100,C,1,0,C01,0,0,0,0,55,23,4,0,0,18,141,241,0,22,263,453,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,101,B,1,0,B,0,0,0,0,47,45,18,0,0,34,183,327,0,18,345,531,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,101,C,1,0,C01,0,0,0,0,32,36,7,0,0,43,204,322,0,10,332,531,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,102,B,1,0,B,0,0,0,0,37,47,4,0,0,33,30,151,0,7,158,216,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,103,B,1,0,B,0,0,0,0,55,54,20,0,0,23,130,282,1,17,300,446,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,103,C,1,0,C01,0,0,0,0,57,47,19,0,0,23,150,296,0,13,309,445,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,103,E,1,0,E01,0,0,0,0,37,38,11,0,0,16,210,312,0,16,328,476,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,104,B,1,0,B,0,0,0,0,84,36,7,0,0,19,104,250,0,14,264,413,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,104,C,1,0,C01,0,0,0,0,55,42,17,0,0,16,120,250,13,0,263,412,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,105,B,1,0,B,0,0,0,0,66,28,15,0,0,14,222,345,0,11,356,524,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,106,B,1,0,B,0,0,0,0,59,54,8,0,0,25,136,282,0,11,293,443,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,106,C,1,0,C01,0,0,0,0,56,47,10,0,0,36,130,279,0,20,299,443,Acta levantada en consejo,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,107,B,1,0,B,0,0,0,0,48,102,18,0,0,24,161,353,0,21,374,565,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,108,B,1,0,B,0,0,0,0,40,67,5,0,0,24,102,238,1,10,249,354,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,109,B,1,0,B,0,0,0,0,37,62,7,0,0,12,84,202,0,6,208,339,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,110,B,1,0,B,0,0,0,0,32,45,11,0,0,15,81,184,0,10,194,254,Acta casilla,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,111,B,1,0,B,0,0,0,0,47,106,13,0,0,23,105,294,0,19,313,465,Acta levantada en consejo,,,
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,111,C,1,0,C01,0,0,0,0,46,87,16,0,0,33,125,307,0,8,315,464,Acta casilla,,,
