ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ZIMAPAN,198,274,277,4877,7960,2444,7642,10025,2535,23358,12533,71374,88,5495,76957,122706,
13,HIDALGO,2,ZACUALTIPAN DE ANGELES,187,295,300,5107,8300,2554,21692,4025,4751,27921,15034,89384,96,4603,94083,139131,
13,HIDALGO,3,TLANCHINOL,129,243,248,4841,7810,2397,22695,3981,3076,25552,13688,84040,61,6639,90740,121802,
13,HIDALGO,4,HUEJUTLA DE REYES,91,240,246,2641,4291,1307,11376,18017,4855,23978,12799,79264,58,5722,85044,134405,
13,HIDALGO,5,IXMIQUILPAN,140,272,276,3449,5586,1708,16609,6932,7359,30581,16377,88601,119,5615,94335,148135,
13,HIDALGO,6,HUICHAPAN,114,242,245,7364,11966,3683,10462,10631,7293,23518,12664,87581,40,4753,92374,138322,
13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,79,214,216,2795,4537,1384,24159,9112,7566,23104,12377,85034,83,4088,89205,131462,
13,HIDALGO,8,ACTOPAN,90,223,227,5032,8173,2506,6081,8987,11638,25645,13754,81816,73,4064,85953,130695,
13,HIDALGO,9,METEPEC,120,245,248,4328,7045,2159,7406,7220,10687,25104,13483,77432,73,4786,82291,129070,
13,HIDALGO,10,ZEMPOALA,87,232,234,5921,9620,2954,7865,7297,9190,28618,15378,86843,124,4560,91527,139344,
13,HIDALGO,11,TULANCINGO DE BRAVO,63,219,222,4816,7824,2401,10509,4131,6072,24840,13331,73924,92,4065,78081,138452,
13,HIDALGO,12,PACHUCA DE SOTO,68,217,220,7204,11709,3582,4792,4666,10536,25430,13590,81509,77,3582,85168,131440,
13,HIDALGO,13,PACHUCA DE SOTO,103,238,242,7236,11738,3594,8393,4609,9876,27826,14841,88113,75,4354,92542,140833,
13,HIDALGO,14,TULA DE ALLENDE,73,215,220,4341,7051,2168,15766,7687,6828,25198,13564,82603,89,3718,86410,129764,
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,58,181,183,2561,4156,1275,7502,11321,5353,23241,12458,67867,33,3208,71108,111031,
13,HIDALGO,16,TIZAYUCA,54,194,196,4911,7984,2455,10486,3008,7572,19955,10728,67099,24,3068,70191,122820,
13,HIDALGO,17,VILLAS DEL ALAMO,64,207,208,5523,8951,2748,6839,4098,10365,23357,12535,74416,87,3185,77688,125996,
13,HIDALGO,18,TEPEAPULCO,108,259,263,5100,8278,2537,6473,8671,6821,25167,13499,76546,116,4077,80739,151887,
