ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ACATLAN,12,30,31,0,0,0,936,2765,532,0,0,2020,4234,10487,6,576,11069,17871,
13,HIDALGO,2,ACAXOCHITLAN,21,57,57,0,0,0,906,1158,1021,0,0,2630,10564,16279,28,1051,17358,33593,
13,HIDALGO,3,ACTOPAN,34,83,86,21,30,1,1745,4075,4822,109,4,5224,13092,29123,27,1521,30671,49022,
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE,12,19,19,0,0,0,565,376,398,0,0,1623,2573,5535,1,370,5906,8048,
13,HIDALGO,5,AJACUBA,11,25,25,0,0,0,918,1824,1121,0,0,783,5009,9655,6,467,10128,14659,
13,HIDALGO,6,ALFAJAYUCAN,22,35,35,0,0,0,1666,2058,400,0,0,884,4973,9981,19,531,10531,15869,
13,HIDALGO,7,ALMOLOYA,13,20,21,0,0,0,410,288,324,0,0,1555,3500,6077,49,402,6528,9869,
13,HIDALGO,8,APAN,25,64,65,0,0,0,2202,2171,1701,0,0,4288,11307,21669,19,1083,22771,36678,
13,HIDALGO,9,ATITALAQUIA,10,34,34,0,0,0,1766,1474,1511,0,0,2231,7703,14685,17,726,15428,23170,
13,HIDALGO,10,ATLAPEXCO,16,30,32,1,4,0,4019,894,387,42,2,252,5225,10826,3,851,11680,15605,
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,49,50,0,0,0,6504,657,642,0,0,954,5665,14422,8,655,15085,24770,
13,HIDALGO,12,ATOTONILCO DE TULA,25,70,70,0,0,0,2707,3654,3432,0,0,2709,13839,26341,17,1436,27794,41982,
13,HIDALGO,13,CALNALI,15,24,24,0,0,0,4447,337,170,0,0,367,4502,9823,6,414,10243,12981,
13,HIDALGO,14,CARDONAL,17,29,29,0,0,0,1427,960,1509,0,0,592,5086,9574,13,655,10242,15164,
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,74,74,0,0,0,792,2047,874,0,0,2108,6226,12047,5,658,12710,46252,
13,HIDALGO,16,CHAPANTONGO,10,17,17,0,0,0,894,2384,543,0,0,1178,2608,7607,2,391,8000,10523,
13,HIDALGO,17,CHAPULHUACAN,25,35,35,0,0,0,608,670,412,0,0,2506,5268,9464,11,1084,10559,17250,
13,HIDALGO,18,CHILCUAUTLA,15,27,28,0,0,0,1219,989,1620,0,0,962,4522,9312,13,628,9953,14619,
13,HIDALGO,19,EL ARENAL,11,26,26,0,0,0,932,983,789,0,0,2113,5001,9818,16,522,10356,15198,
13,HIDALGO,20,ELOXOCHITLAN,7,9,9,0,0,0,1029,21,25,0,0,70,1142,2287,1,47,2335,2862,
13,HIDALGO,21,EMILIANO ZAPATA,8,20,20,0,0,0,822,1001,832,0,0,1067,3960,7682,4,377,8063,12125,
13,HIDALGO,22,EPAZOYUCAN,11,23,23,0,0,0,468,718,788,0,0,1733,4318,8025,32,556,8613,13294,
13,HIDALGO,23,FRANCISCO I. MADERO,17,48,48,0,0,0,3882,1548,1260,0,0,1804,10125,18619,25,973,19617,29325,
13,HIDALGO,24,HUASCA DE OCAMPO,19,30,30,0,0,0,2445,378,424,0,0,1074,4496,8817,2,519,9338,15194,
13,HIDALGO,25,HUAUTLA,26,35,35,0,0,0,5847,433,337,0,0,419,4008,11044,3,542,11589,16136,
13,HIDALGO,26,HUAZALINGO,10,19,19,0,0,0,2365,280,209,0,0,937,2898,6689,2,769,7460,9716,
13,HIDALGO,27,HUEHUETLA,16,33,33,0,0,0,988,464,4638,0,0,1245,4981,12316,9,586,12911,17686,
13,HIDALGO,28,HUEJUTLA DE REYES,55,168,170,25,37,2,3372,15098,3616,209,19,5108,27555,55041,42,3995,59078,96923,
13,HIDALGO,29,HUICHAPAN,37,69,71,3,3,3,1718,2931,1654,13,8,5991,9605,21929,14,1206,23149,37199,
13,HIDALGO,30,IXMIQUILPAN,65,138,141,31,32,0,9456,3316,1971,183,9,6189,22495,43682,52,2700,46434,76229,
13,HIDALGO,31,JACALA DE LEDEZMA,19,24,26,9,49,10,796,220,133,92,6,1768,3230,6313,0,455,6768,9934,
13,HIDALGO,32,JALTOCAN,12,17,19,0,0,0,505,735,581,0,0,908,2636,5365,7,421,5793,8014,
13,HIDALGO,33,JUAREZ HIDALGO,4,5,5,0,0,0,48,23,120,0,0,720,1081,1992,3,95,2090,2666,
13,HIDALGO,34,LA MISION,11,17,17,0,0,0,1529,223,109,0,0,1928,1303,5092,5,518,5615,8150,
13,HIDALGO,35,LOLOTLA,8,18,19,0,0,0,583,205,185,0,0,1645,2438,5056,1,300,5357,7168,
13,HIDALGO,36,METEPEC,9,20,21,12,30,1,502,707,1178,76,7,1423,2655,6591,12,384,6987,9959,
13,HIDALGO,37,METZTITLAN,26,39,39,0,0,0,1309,487,301,0,0,2782,6209,11088,11,834,11933,17335,
13,HIDALGO,38,MINERAL DEL CHICO,11,17,17,0,0,0,351,272,372,0,0,1737,2215,4947,5,296,5248,7626,
13,HIDALGO,39,MINERAL DEL MONTE,12,22,23,0,0,0,670,1219,554,0,0,1053,4073,7569,2,392,7963,11745,
13,HIDALGO,40,MINERAL DE LA REFORMA,94,252,253,33,28,3,7826,4982,12603,86,5,21446,43069,90081,107,3831,94019,149695,
