CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,3,3,0,0,0,259,227,62,0,0,201,542,1291,1,52,1344,1881
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,93,2,2,0,0,0,96,90,29,0,0,36,269,520,0,21,541,770
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,94,1,1,0,0,0,33,75,7,0,0,23,120,258,0,17,275,402
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,95,2,2,0,0,0,77,180,13,0,0,32,312,614,1,33,648,997
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,96,1,1,0,0,0,34,77,11,0,0,30,186,338,0,25,363,512
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,97,2,2,0,0,0,94,124,21,0,0,31,274,544,0,35,579,823
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,98,1,1,0,0,0,31,42,5,0,0,27,127,232,0,7,239,339
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,99,2,2,0,0,0,45,197,30,0,0,37,428,737,2,70,809,1499
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,100,2,2,0,0,0,110,61,5,0,0,30,289,495,0,38,533,907
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,101,2,2,0,0,0,79,81,25,0,0,77,387,649,0,28,677,1062
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,102,1,1,0,0,0,37,47,4,0,0,33,30,151,0,7,158,216
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,103,3,3,0,0,0,149,139,50,0,0,62,490,890,1,46,937,1367
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,104,2,2,0,0,0,139,78,24,0,0,35,224,500,13,14,527,825
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,105,1,1,0,0,0,66,28,15,0,0,14,222,345,0,11,356,524
4,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,106,2,2,0,0,0,115,101,18,0,0,61,266,561,0,31,592,886
