CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,PRES_MUN,PVEM,1,Pasiano Francisco Barranco Islas,1,,,PVEM
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,SIND,PVEM,2,Laura Zeferino Lira,2,,,PVEM
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,REG,PVEM,3,Jose Pimentel Rodriguez,1,,,PVEM
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,REG,PVEM,4,Eliseo Perez Lopez,1,,,PVEM
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,REG,PVEM,5,Rubith Hernandez Martinez,2,,,PVEM
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,REG,PVEM,6,Angela Garcia Villegas,2,,,PVEM
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,REG,PVEM,7,Maria Morales Martinez,2,Candidaturas de discapacidad,,PVEM
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,REG_RP,C_MORENA_NAH,8,Arturo Ortiz Olvera,1,,,NAH
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,REG_RP,C_MORENA_NAH,9,Anayut Romero Villegas,2,,,NAH
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,REG_RP,C_PAN_PRI_PRD,10,Jose Antonio Camacho Ortiz,1,,,PRI
4,13,HIDALGO,9,METEPEC,1,ACATLAN,,,REG_RP,PT,11,Jorge Mayorga Olvera,1,,,PT
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,PRES_MUN,C_MORENA_NAH,1,Ricardo Perea Gomez,1,Candidaturas indigenas,,MORENA
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,SIND,C_MORENA_NAH,2,Irasema Martinez Vargas,2,Candidaturas indigenas,,MORENA
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG,C_MORENA_NAH,3,Samantha Nava Arroyo,2,Candidaturas indigenas,,MORENA
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG,C_MORENA_NAH,4,Evelyn Valeria Tepetitla Gonzalez,2,Candidaturas de personas jovenes,,MORENA
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG,C_MORENA_NAH,5,Manuel Ruben Garcia Ortiz,1,Candidaturas de discapacidad,,MORENA
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG,C_MORENA_NAH,6,Yazmin Berenice Rosales Vargas ,2,,,NAH
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG,C_MORENA_NAH,7,Pablo Portillo Fernandez ,1,,,MORENA
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG,C_MORENA_NAH,8,Teresa Galindo Hernandez,2,Candidaturas indigenas,,NAH
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG,C_MORENA_NAH,9,Lucas Hernandez Hernandez ,1,Candidaturas indigenas,,MORENA
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG_RP,C_PAN_PRI_PRD,10,Alfonso Gayosso Ramirez,1,,,PRI
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG_RP,C_PAN_PRI_PRD,11,Jaqueline Oliver Hernandez,2,,,PRI
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG_RP,C_PAN_PRI_PRD,12,Pedro Tecomalman Vargas,1,,,PAN
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG_RP,PVEM,13,Gema Moctezuma Arroyo,2,Candidaturas indigenas,,PVEM
4,13,HIDALGO,9,METEPEC,2,ACAXOCHITLAN,,,REG_RP,MC,14,Jose Timoteo Islas Santa Cruz,1,Candidaturas indigenas,,MC
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,PRES_MUN,C_MORENA_NAH,1,Imelda Cuellar Cano,2,,,MORENA
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,SIND,C_MORENA_NAH,2,Juan Carlos Soto Gonzalez ,1,,,MORENA
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,SIND_RP,MC,3,Imelda Calva Cancino,2,,,MC
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG,C_MORENA_NAH,4,Blanca Sanchez Calderon ,2,,,NAH
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG,C_MORENA_NAH,5,Carlos Abel Guzman Hernandez,1,Candidaturas de personas jovenes,,MORENA
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG,C_MORENA_NAH,6,Trinidad Hernandez Pasifuentes ,2,,,MORENA
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG,C_MORENA_NAH,7,Lennin Hernandez Valle ,1,,,NAH
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG,C_MORENA_NAH,8,Bertha Ramirez Hernandez,2,Candidaturas de discapacidad,,MORENA
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG,C_MORENA_NAH,9,Carlos Garnica Lugo ,1,,,MORENA
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG,C_MORENA_NAH,10,Floricel Perez Zamora ,2,Candidaturas de la diversidad sexual,,MORENA
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG,C_MORENA_NAH,11,Eliseo Cruz Cortes,1,Candidaturas de discapacidad,,MORENA
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG,C_MORENA_NAH,12,Adriana Vazquez Zamora,2,,,NAH
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG_RP,MC,13,Victor Manuel Nunez Torres,1,,,MC
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG_RP,MC,14,Marco Antonio Lopez Gaspar,1,,,MC
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG_RP,PVEM,15,Omar Leonardo Ramirez Gutierrez,1,,,PVEM
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG_RP,PVEM,16,Alejandra Canada Hernandez,2,,,PVEM
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG_RP,C_PAN_PRI_PRD,17,Reyes Vargas Paredes,1,,,PRI
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,,,REG_RP,C_PAN_PRI_PRD,18,Patricia Alamilla Chavarria,2,,,PRI
4,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,,,PRES_MUN,PRD,1,Hector Alejandro Flores Hernandez,1,,,PRD
