CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,73,SAN CRISTOBAL DE LA BARRANCA,2050,C,1,0,C01,0,220,7,0,4,75,77,7,0,0,,,3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,401,0,11,412,682,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,73,SAN CRISTOBAL DE LA BARRANCA,2051,B,1,0,B,0,111,3,0,0,49,30,6,0,0,,,4,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,211,0,7,218,360,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,37,ETZATLAN,0,A,4,0,VA04,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2,3,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,C,2,0,C02,0,9,8,1,10,,160,242,4,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,434,0,3,437,623,Grupo de recuento,Anulada,Declaracion de nulidad de votacion. Expediente: SG-JRC-289/2024 del TEPJF Sala Guadalajara,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,C,4,0,C04,0,6,9,0,5,,167,200,2,1,,,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,394,0,6,400,623,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,42,C,1,0,C01,0,13,6,2,15,,189,241,0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,467,0,4,471,673,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,42,C,3,0,C03,0,12,4,4,6,,188,201,1,1,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,418,0,13,431,672,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,44,B,1,0,B,0,5,0,1,7,,192,139,3,2,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,349,0,15,364,534,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,46,B,1,0,B,0,3,3,0,6,,289,79,2,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,382,0,6,388,509,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,48,C,1,0,C01,0,25,33,2,7,3,108,171,11,3,,,6,1,0,0,5,0,1,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,387,2,8,397,719,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,48,C,3,0,C03,0,24,33,2,13,9,120,151,7,4,,,8,2,0,0,0,1,0,5,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,384,0,6,390,718,Grupo de recuento,,,
