ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,31,31,1969,282,105,300,115,3866,1561,1070,53,,,72,31,9,0,28,6,2,42,4,2,1,5,6,8,2,27,3,4,0,6,5,1,11,0,3,0,17,30,2,2,9650,8,358,10016,18449,
14,JALISCO,2,ACATLAN DE JUAREZ,11,32,33,1012,173,40,2122,1973,3789,1926,47,54,,,40,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,11184,6,331,11521,18964,
14,JALISCO,3,AHUALULCO DE MERCADO,12,32,33,349,4425,61,84,138,5950,2018,106,25,,,214,38,2,3,21,13,3,41,2,3,2,15,4,4,0,12,0,0,2,14,3,3,18,0,2,2,5,9,2,1,13594,11,299,13904,19133,
14,JALISCO,4,AMACUECA,4,9,9,60,533,23,26,23,1644,527,17,10,,,39,3,2,1,3,1,0,11,0,0,1,3,1,2,0,6,0,0,0,0,0,1,4,0,0,0,1,2,0,0,2944,0,82,3026,4954,
14,JALISCO,5,AMATITAN,8,21,21,236,127,30,157,,3863,3857,38,23,,,23,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8357,1,163,8521,12992,
14,JALISCO,6,AMECA,44,97,98,1202,1700,234,566,476,11470,11457,652,196,,,173,38,10,6,150,23,27,244,4,5,2,42,11,11,7,124,3,6,4,20,8,7,56,3,2,3,20,40,23,10,29035,81,736,29852,53511,
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,15,16,433,188,19,53,1695,1018,1128,41,15,,,18,46,0,6,39,116,23,58,1,0,2,11,0,2,1,8,0,0,0,4,1,4,43,0,0,0,0,1,3,0,4977,3,104,5084,7962,
14,JALISCO,8,ARANDAS,30,104,104,5092,3309,192,828,490,11079,3263,9976,238,,,367,214,13,9,261,51,16,78,13,18,9,25,10,38,6,41,12,55,2,25,20,9,21,6,28,4,54,166,12,43,36093,23,1151,37267,64734,
14,JALISCO,9,EL ARENAL,5,24,24,3159,586,115,85,116,4515,1955,56,32,,,256,61,14,1,44,5,5,52,3,2,2,5,7,4,2,14,1,1,0,12,2,4,9,1,1,0,6,5,5,0,11143,0,225,11368,16861,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,10,10,662,193,15,61,78,1163,1812,14,14,,,32,8,3,0,17,6,0,15,4,0,1,4,1,2,2,5,2,0,0,1,1,1,11,0,0,0,3,2,2,0,4135,0,71,4206,5631,
