ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,31,31,,,,,,3866,,,,,,2468,3316,9650,8,358,10016,18449,
14,JALISCO,2,ACATLAN DE JUAREZ,11,32,33,,,,2122,1973,3789,1926,47,54,,,1273,,11184,6,331,11521,18964,
14,JALISCO,3,AHUALULCO DE MERCADO,12,32,33,,,,,,5950,,,,,,5092,2552,13594,11,299,13904,19133,
14,JALISCO,4,AMACUECA,4,9,9,,,,,,1644,,,,,,661,639,2944,0,82,3026,4954,
14,JALISCO,5,AMATITAN,8,21,21,,,,157,,3863,3857,38,23,,,419,,8357,1,163,8521,12992,
14,JALISCO,6,AMECA,44,97,98,,,,,,11470,,,,,,3363,14202,29035,81,736,29852,53511,
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,15,16,,,,,,1018,,,,,,710,3249,4977,3,104,5084,7962,
14,JALISCO,8,ARANDAS,30,104,104,,,,,,11079,,,,,,9196,15818,36093,23,1151,37267,64734,
14,JALISCO,9,EL ARENAL,5,24,24,,,,,,4515,,,,,,4192,2436,11143,0,225,11368,16861,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,10,10,,,,,,1163,,,,,,913,2059,4135,0,71,4206,5631,
14,JALISCO,11,ATENGO,6,11,11,,,,,,191,,,,,,1429,1859,3479,1,88,3568,4881,
14,JALISCO,12,ATENGUILLO,5,9,9,,,,52,,1374,1097,,7,,,46,,2576,2,59,2637,3921,
14,JALISCO,13,ATOTONILCO EL ALTO,30,87,87,,,,,,6095,,,,,,13667,7517,27279,9,665,27953,53031,
14,JALISCO,14,ATOYAC,6,15,16,,,,,,1680,,,,,,1975,1092,4747,3,139,4889,7709,
14,JALISCO,15,AUTLAN DE NAVARRO,30,89,90,,,,2723,172,7596,4401,1435,,,,12637,,28964,8,1184,30156,54842,
14,JALISCO,16,AYOTLAN,19,54,55,,,,,,3819,,,,,,1048,12182,17049,224,417,17690,32413,
14,JALISCO,17,AYUTLA,12,21,21,,,,,,1319,,,,,,3862,1436,6617,1,169,6787,11221,
14,JALISCO,18,LA BARCA,36,100,101,,,,,,8231,,,,,,11396,9447,29074,37,790,29901,60092,
14,JALISCO,19,BOLAÑOS,5,11,11,,,,,,1144,,,,,,1656,2039,4839,0,131,4970,6630,
14,JALISCO,20,CABO CORRIENTES,6,19,19,,,,,,1596,,,,,,156,3992,5744,0,148,5892,9570,
14,JALISCO,21,CASIMIRO CASTILLO,14,31,32,,,,,,899,,,,,,3587,2549,7035,4,905,7944,16752,
14,JALISCO,22,CIHUATLAN,17,48,48,,,,153,110,2323,3849,4993,44,,,3547,,15019,395,739,16153,28630,
14,JALISCO,23,ZAPOTLAN EL GRANDE,55,155,156,,,,,,19857,,,,,,10099,21732,51688,20,1199,52907,94278,
14,JALISCO,24,SAN GABRIEL,10,24,24,,,,,,3827,,,,,,3975,881,8683,1,302,8986,13708,
14,JALISCO,25,COCULA,17,42,43,,,,1903,603,5113,1979,2349,210,,,3027,,15184,0,434,15618,25514,
14,JALISCO,26,COLOTLAN,15,29,29,,,,,,3749,,,,,,3395,2084,9228,3,282,9513,16275,
14,JALISCO,27,CONCEPCION DE BUENOS AIRES,5,9,9,,,,,,1418,,,,,,834,1499,3751,0,97,3848,5609,
14,JALISCO,28,CUAUTITLAN DE GARCIA BARRAGAN,9,23,24,,,,,,4437,,,,,,3618,2054,10109,12,569,10690,14208,
14,JALISCO,29,CUAUTLA,4,5,5,,,,,,410,,,,,,567,629,1606,0,23,1629,2458,
14,JALISCO,30,CUQUIO,12,27,27,,,,,,3794,,,,,,4778,1531,10103,0,266,10369,15306,
14,JALISCO,31,CHAPALA,19,67,68,,,,699,,4891,8143,316,2154,,,10287,,26490,5,758,27253,42864,
14,JALISCO,32,CHIMALTITAN,3,5,5,,,,,,1030,,,,,,820,197,2047,0,48,2095,2725,
14,JALISCO,33,CHIQUILISTLAN,4,9,9,,,,,,1836,,,,,,746,658,3240,0,101,3341,5047,
