ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,31,31,2014,321,133,348,146,3866,1637,1116,69,,,9650,8,358,10016,18449,
14,JALISCO,2,ACATLAN DE JUAREZ,11,32,33,1031,188,54,2122,1973,3789,1926,47,54,,,11184,6,331,11521,18964,
14,JALISCO,3,AHUALULCO DE MERCADO,12,32,33,440,4518,134,123,188,5950,2074,129,38,,,13594,11,299,13904,19133,
14,JALISCO,4,AMACUECA,4,9,9,75,549,37,38,30,1644,543,18,10,,,2944,0,82,3026,4954,
14,JALISCO,5,AMATITAN,8,21,21,246,136,37,157,,3863,3857,38,23,,,8357,1,163,8521,12992,
14,JALISCO,6,AMECA,44,97,98,1284,1780,299,791,664,11470,11732,744,271,,,29035,81,736,29852,53511,
14,JALISCO,8,ARANDAS,30,104,104,5329,3543,324,1016,651,11079,3531,10253,367,,,36093,23,1151,37267,64734,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,10,10,679,208,26,78,98,1163,1841,22,20,,,4135,0,71,4206,5631,
14,JALISCO,11,ATENGO,6,11,11,628,780,21,113,39,191,293,1376,38,,,3479,1,88,3568,4881,
14,JALISCO,12,ATENGUILLO,5,9,9,22,21,3,52,,1374,1097,,7,,,2576,2,59,2637,3921,
14,JALISCO,13,ATOTONILCO EL ALTO,30,87,87,4013,9214,440,685,365,6095,5930,333,204,,,27279,9,665,27953,53031,
14,JALISCO,14,ATOYAC,6,15,16,338,1566,71,54,62,1680,582,375,19,,,4747,3,139,4889,7709,
14,JALISCO,15,AUTLAN DE NAVARRO,30,89,90,1488,10786,363,2723,172,7596,4401,1435,,,,28964,8,1184,30156,54842,
14,JALISCO,16,AYOTLAN,19,54,55,562,412,74,9478,336,3819,2061,221,86,,,17049,224,417,17690,32413,
