CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,0,0,1,0,3,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,4,4,51,568,7,18,16,754,238,11,1,,,34,8,0,0,4,3,0,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,0,34,1755,2381
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,25,2,2,27,282,7,3,13,300,68,5,3,,,20,3,0,0,2,0,0,3,0,0,1,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,746,0,15,761,996
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,2,2,25,178,2,0,7,282,112,3,0,,,5,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,620,0,15,635,856
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,3,3,23,413,6,7,12,608,216,11,3,,,23,3,0,1,1,2,2,5,0,0,0,3,0,1,0,1,0,0,0,0,1,1,3,0,0,0,0,1,0,0,1347,11,15,1373,1900
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,3,3,14,333,3,7,12,561,154,8,1,,,16,2,0,0,3,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1126,0,24,1150,1540
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,3,3,56,372,5,6,8,723,226,23,2,,,17,4,1,0,3,1,0,10,1,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1466,0,18,1484,2091
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,30,2,2,45,207,2,2,6,319,70,10,3,,,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,678,0,12,690,907
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,5,5,43,734,7,10,22,886,329,19,5,,,36,2,0,0,3,1,0,3,0,0,0,1,0,1,0,1,0,0,1,9,2,0,0,0,0,1,0,2,0,0,2118,0,34,2152,3037
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,32,1,1,2,73,1,4,4,73,47,0,0,,,5,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,215,0,12,227,288
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,33,2,2,18,314,3,9,15,372,215,6,5,,,10,3,0,0,3,1,0,7,0,0,0,1,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,0,2,1,993,0,31,1024,1473
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,34,3,3,30,654,11,10,14,499,200,4,1,,,36,5,0,2,0,2,0,3,0,3,1,1,1,0,0,2,0,0,0,0,0,1,3,0,0,0,1,2,0,0,1486,0,50,1536,2187
