CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,95,TEQUILA,3691,B,1,0,B,0,96,36,4,9,2,29,145,3,1,7,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,339,0,8,347,675,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,84,TALA,3747,C,1,0,C01,0,17,10,6,12,4,94,146,1,3,1,0,0,0,0,0,0,11,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,309,0,9,318,698,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,84,TALA,3748,B,1,0,B,0,11,19,3,21,5,134,155,4,6,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,366,0,14,380,731,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,84,TALA,3749,C,2,0,C02,0,16,10,1,12,7,71,132,2,6,0,2,0,0,5,0,1,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,277,0,9,286,649,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,84,TALA,3749,C,3,0,C03,0,13,24,2,4,3,49,134,1,6,2,1,0,0,2,1,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,251,0,10,261,649,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,84,TALA,3750,B,1,0,B,0,10,15,0,6,5,84,97,1,1,0,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,232,0,5,237,524,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,95,TEQUILA,3752,C,1,0,C01,0,109,27,8,4,4,29,153,4,1,2,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,348,0,14,362,664,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,19,BOLAÑOS,3875,C,1,0,C01,0,57,49,19,8,5,78,216,14,2,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,2,4,0,0,467,0,8,475,613,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,3877,B,1,0,B,0,111,3,0,2,7,10,95,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,4,235,286,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,3878,B,1,0,B,0,179,1,2,22,50,69,151,1,2,1,1,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,486,0,10,496,647,Grupo de recuento,,,
