ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,TEQUILA,254,580,581,27989,20712,1896,6345,4496,62995,64387,4061,1476,1898,648,50,25,485,124,125,1330,51,17,38,215,61,61,63,522,15,27,21,68,34,49,357,12,14,8,85,202,95,36,201093,95,6076,207264,333813,
14,JALISCO,2,LAGOS DE MORENO,211,547,548,52454,8662,1412,6011,2565,53730,35973,3592,1825,2272,921,83,20,295,91,60,916,28,19,22,169,36,61,37,425,17,31,10,38,36,32,205,8,10,5,63,163,51,34,172382,136,5926,178444,315947,
14,JALISCO,3,TEPATITLAN DE MORELOS,214,588,589,54615,19769,1128,8031,2724,55389,37142,3773,1285,2209,959,48,103,486,46,72,749,17,9,21,118,40,43,26,360,10,11,17,38,18,26,198,2,9,6,54,80,55,23,189709,128,5696,195533,354411,
14,JALISCO,4,ZAPOPAN,149,558,559,22495,14419,1338,5697,2489,78900,52501,3620,9105,1703,575,56,49,1227,341,482,1344,57,20,75,129,301,88,284,563,23,24,75,135,45,141,299,20,7,24,205,101,399,132,199488,168,4505,204161,357579,
14,JALISCO,5,PUERTO VALLARTA,169,547,548,9390,6752,966,43219,4375,51597,50618,4576,4494,640,181,10,14,709,69,81,955,25,22,26,233,43,70,62,868,34,57,31,37,18,41,346,19,8,14,58,97,59,50,180864,177,4684,185725,330750,
14,JALISCO,6,ZAPOPAN,143,490,491,21711,10221,999,4295,1863,74111,40691,2450,7262,1256,401,54,23,661,65,398,1030,26,6,50,98,94,35,227,421,17,10,34,87,13,148,246,9,2,12,159,55,400,73,169713,185,3448,173346,312664,
14,JALISCO,7,TONALA,87,416,417,10734,12458,903,5206,2550,38682,53762,4189,3628,1176,429,21,16,432,66,231,1536,45,5,34,137,49,159,86,617,22,13,121,43,13,82,286,13,3,10,72,71,81,41,138022,183,3377,141582,281206,
14,JALISCO,8,GUADALAJARA,371,711,712,44253,18864,1712,6151,3007,109195,55631,4571,6717,2576,748,67,30,961,106,349,1843,82,24,23,132,97,51,127,612,24,10,33,130,38,138,410,19,9,21,158,105,197,99,259320,1046,4919,265285,393980,
14,JALISCO,9,GUADALAJARA,230,599,600,19865,15203,1515,7741,3468,69966,68957,4157,5191,1429,540,36,47,862,100,410,2406,55,22,51,204,126,72,206,1062,23,16,46,114,38,110,455,72,9,71,154,116,200,59,205174,193,5104,210471,361431,
14,JALISCO,10,ZAPOPAN,163,561,562,44507,12915,1423,4380,1986,111568,37614,2431,8557,1867,602,55,26,707,103,490,1175,56,15,42,104,123,43,185,395,32,17,45,116,26,147,212,10,7,20,229,82,343,124,232779,314,3933,237026,362245,
14,JALISCO,11,GUADALAJARA,311,673,674,25996,18358,1820,8921,4204,74531,70548,7179,5459,1837,695,103,49,981,179,410,2306,81,23,50,189,134,69,185,935,35,23,47,151,52,113,414,22,18,14,170,139,177,98,226715,216,5678,232609,385744,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,123,485,486,23700,8916,1278,4703,2610,75615,44873,2272,4564,1290,358,44,26,494,81,283,1464,34,13,41,105,81,51,127,438,16,16,35,82,31,94,271,13,2,17,126,75,183,91,174513,249,3572,178334,312396,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,163,512,513,18785,11621,1255,6192,3577,60423,58845,3469,4943,1201,479,44,36,866,104,368,1997,67,20,46,160,60,57,142,691,38,12,38,78,37,119,386,17,7,21,88,87,145,69,176590,145,4203,180938,319624,
14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,90,388,389,5559,4321,777,4145,2191,40112,44459,1715,2395,424,165,25,29,731,109,234,1268,54,15,31,75,67,34,70,410,22,12,20,47,24,55,220,15,10,20,77,54,89,35,110115,107,2496,112718,255158,
14,JALISCO,15,LA BARCA,214,580,581,36933,29455,1284,12453,2097,51022,30488,9377,1255,2836,1302,73,41,288,92,83,942,33,32,24,169,35,62,45,530,33,67,23,40,32,20,138,7,32,9,58,229,68,54,181761,176,6004,187941,343355,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,132,501,502,17302,11695,1379,5614,2671,56230,62710,3018,3317,1143,406,38,17,566,81,315,1953,78,16,47,171,80,41,114,784,31,15,25,74,34,84,396,16,6,14,79,89,116,43,170808,209,4058,175075,328419,
14,JALISCO,17,JOCOTEPEC,165,504,505,18187,16242,1031,10763,6338,46507,55939,5374,8222,1496,339,48,27,556,131,303,1266,55,23,51,197,83,54,126,549,40,26,125,39,16,36,246,4,17,17,99,140,218,126,175056,377,4623,180056,312849,
14,JALISCO,18,AUTLAN DE NAVARRO,261,609,610,15432,29541,1659,7308,3432,61766,61009,10816,2034,1945,509,51,61,857,129,105,1190,38,48,35,239,328,85,43,527,22,58,19,40,51,44,254,16,23,16,91,330,72,49,200272,81,6393,206746,349088,
14,JALISCO,19,ZAPOTLAN EL GRANDE,278,630,631,24207,16154,1862,11286,6095,64401,58638,6542,2100,1776,553,68,42,882,269,142,1352,108,32,30,253,80,87,76,582,40,61,16,97,42,58,364,21,34,14,99,231,86,34,198814,287,5587,204688,351976,
14,JALISCO,20,TONALA,55,384,385,7544,12346,685,4105,2362,38596,51258,3336,2704,1019,310,19,31,642,72,229,1309,47,20,31,112,72,37,72,456,20,18,11,44,30,59,267,7,14,3,90,81,57,40,128155,178,3243,131576,256973,
