ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,MC,PAN_PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,TEQUILA,254,580,581,62995,53218,84880,201093,95,6076,207264,333813,
14,JALISCO,2,LAGOS DE MORENO,211,547,548,53730,65824,52828,172382,136,5926,178444,315947,
14,JALISCO,3,TEPATITLAN DE MORELOS,214,588,589,55389,78831,55489,189709,128,5696,195533,354411,
14,JALISCO,4,ZAPOPAN,149,558,559,78900,40635,79953,199488,168,4505,204161,357579,
14,JALISCO,5,PUERTO VALLARTA,169,547,548,51597,17953,111314,180864,177,4684,185725,330750,
14,JALISCO,6,ZAPOPAN,143,490,491,74111,34665,60937,169713,185,3448,173346,312664,
14,JALISCO,7,TONALA,87,416,417,38682,25737,73603,138022,183,3377,141582,281206,
14,JALISCO,8,GUADALAJARA,371,711,712,109195,68250,81875,259320,1046,4919,265285,393980,
14,JALISCO,9,GUADALAJARA,230,599,600,69966,38635,96573,205174,193,5104,210471,361431,
14,JALISCO,10,ZAPOPAN,163,561,562,111568,61395,59816,232779,314,3933,237026,362245,
14,JALISCO,11,GUADALAJARA,311,673,674,74531,48858,103326,226715,216,5678,232609,385744,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,123,485,486,75615,35612,63286,174513,249,3572,178334,312396,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,163,512,513,60423,33421,82746,176590,145,4203,180938,319624,
14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,90,388,389,40112,11300,58703,110115,107,2496,112718,255158,
14,JALISCO,15,LA BARCA,214,580,581,51022,71924,58815,181761,176,6004,187941,343355,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,132,501,502,56230,31980,82598,170808,209,4058,175075,328419,
14,JALISCO,17,JOCOTEPEC,165,504,505,46507,37370,91179,175056,377,4623,180056,312849,
14,JALISCO,18,AUTLAN DE NAVARRO,261,609,610,61766,49198,89308,200272,81,6393,206746,349088,
14,JALISCO,19,ZAPOTLAN EL GRANDE,278,630,631,64401,44662,89751,198814,287,5587,204688,351976,
14,JALISCO,20,TONALA,55,384,385,38596,21954,67605,128155,178,3243,131576,256973,
