ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,31,31,2161,335,91,308,118,3264,1621,579,54,396,26,7,1,269,3,0,28,1,1,1,5,3,3,1,19,5,1,1,2,2,2,4,0,1,1,5,11,2,1,9333,19,374,9726,18449,
14,JALISCO,2,ACATLAN DE JUAREZ,11,32,32,905,399,62,1177,1011,3321,3531,127,85,73,22,3,1,39,51,160,69,1,0,1,4,2,1,2,41,0,0,2,5,1,0,22,0,0,1,1,3,7,0,11130,22,298,11450,18963,
14,JALISCO,3,AHUALULCO DE MERCADO,12,32,32,653,2928,96,290,313,4885,3708,196,83,139,35,1,3,19,14,8,59,2,2,3,21,2,6,4,18,0,1,1,12,7,5,29,0,2,1,5,10,4,0,13565,1,366,13932,19129,
14,JALISCO,4,AMACUECA,4,9,9,77,393,24,67,33,1459,726,37,21,21,7,0,7,3,2,2,13,0,0,0,5,2,1,0,7,0,1,0,1,0,1,4,0,0,0,2,5,0,0,2921,0,85,3006,4954,
14,JALISCO,5,AMATITAN,8,21,21,592,448,58,306,224,3218,3680,119,36,41,7,0,1,3,2,4,26,0,0,0,4,1,0,1,11,0,0,0,3,0,0,9,0,0,0,1,5,3,0,8803,1,184,8988,12992,
14,JALISCO,6,AMECA,44,97,97,1520,1722,236,752,502,11188,11709,700,279,165,39,2,6,100,17,22,266,6,4,5,46,14,9,13,129,5,4,4,13,5,8,66,2,4,2,19,32,25,11,29651,19,838,30508,53507,
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,15,15,486,456,34,75,1055,1037,1363,36,25,32,8,0,0,26,2,4,55,0,0,0,11,1,1,2,12,0,0,0,2,3,6,49,1,1,1,0,4,1,1,4790,2,125,4917,7957,
14,JALISCO,8,ARANDAS,30,104,104,6948,3984,247,951,400,12690,3894,5826,220,309,240,17,6,68,31,10,88,8,18,5,28,11,28,2,50,12,32,2,12,18,3,26,3,18,1,28,141,8,33,36416,16,1363,37795,64734,
14,JALISCO,9,EL ARENAL,5,24,24,2646,737,87,215,178,3842,2789,79,73,184,53,8,1,23,3,6,62,1,1,4,7,4,2,0,22,2,1,1,4,1,3,16,0,0,1,5,3,5,0,11069,3,314,11386,16861,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,10,10,571,227,15,91,70,1275,1744,30,19,28,9,1,0,9,4,2,15,2,0,3,3,0,3,0,11,0,1,0,0,0,0,3,0,0,0,1,1,1,0,4139,0,78,4217,5631,
14,JALISCO,11,ATENGO,6,11,11,561,711,10,312,64,340,426,800,44,36,36,0,0,7,7,1,2,4,5,2,2,5,18,1,5,5,11,2,3,2,0,0,3,2,0,6,30,1,5,3469,1,101,3571,4881,
14,JALISCO,12,ATENGUILLO,5,9,9,100,126,3,71,16,1356,827,35,11,1,2,1,0,0,0,0,7,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2564,7,62,2633,3921,
14,JALISCO,13,ATOTONILCO EL ALTO,30,87,87,4335,8943,231,617,278,5115,5862,350,140,510,250,10,10,39,7,6,189,3,2,6,19,6,3,9,57,0,4,1,8,4,5,21,1,0,1,5,11,10,4,27072,8,772,27852,53031,
14,JALISCO,14,ATOYAC,6,15,15,357,1117,24,68,74,1840,698,251,12,101,41,4,1,6,11,1,14,2,3,2,8,0,3,0,9,1,1,1,1,1,0,3,0,3,0,3,15,2,4,4682,2,159,4843,7707,
14,JALISCO,15,AUTLAN DE NAVARRO,30,89,90,1616,6273,185,1984,447,8316,8544,1611,130,278,67,3,4,63,24,9,243,7,6,1,39,7,9,7,112,2,8,0,8,7,2,23,3,1,1,7,22,12,5,30086,26,929,31041,54848,
14,JALISCO,16,AYOTLAN,19,54,54,1494,1241,120,6094,283,3898,2967,236,81,108,37,5,2,57,13,9,144,9,2,3,52,4,8,4,206,5,7,8,1,1,1,15,0,1,0,2,7,2,0,17127,21,579,17727,32412,
14,JALISCO,17,AYUTLA,12,21,21,2110,497,34,154,71,1576,1643,83,25,167,57,5,0,6,0,1,26,1,0,0,3,3,0,0,16,2,1,0,0,0,0,4,2,0,0,3,3,3,0,6496,2,226,6724,11221,
14,JALISCO,18,LA BARCA,36,100,101,2632,5687,210,880,416,8574,8740,287,643,344,140,7,10,72,10,33,228,9,2,8,31,9,3,26,95,11,2,6,12,1,8,28,1,0,4,14,14,39,8,29244,15,888,30147,60100,
14,JALISCO,19,BOLAÑOS,5,11,11,478,477,385,94,43,1207,1598,272,21,62,43,5,2,28,5,1,10,4,0,0,4,6,5,4,14,4,3,0,4,6,2,6,0,0,0,12,45,0,3,4853,0,149,5002,6630,
14,JALISCO,20,CABO CORRIENTES,6,19,19,72,104,18,2666,68,1420,1123,51,16,5,6,0,0,19,7,6,52,0,1,2,29,1,2,2,60,2,7,1,0,1,0,9,0,0,1,1,1,0,2,5755,1,136,5892,9570,
14,JALISCO,21,CASIMIRO CASTILLO,14,31,31,353,1531,76,234,124,1085,3394,160,42,81,10,5,1,14,3,2,78,2,2,2,12,6,0,2,37,0,1,5,2,3,3,14,2,0,0,5,19,0,1,7311,2,257,7570,16751,
14,JALISCO,22,CIHUATLAN,17,48,48,776,1141,84,374,193,4512,6119,2672,91,185,37,1,3,14,16,17,125,8,4,0,14,279,11,2,39,2,10,0,0,13,1,31,3,5,1,11,60,7,2,16863,5,487,17355,28630,
14,JALISCO,23,ZAPOTLAN EL GRANDE,55,155,156,8450,4008,737,1513,2207,17327,16402,743,518,519,171,13,12,232,49,60,509,29,7,11,68,16,16,26,148,5,5,3,42,18,29,152,7,9,4,19,41,32,6,54163,25,1487,55675,94290,
14,JALISCO,24,SAN GABRIEL,10,24,24,392,2091,268,184,122,3512,1669,95,35,152,33,9,7,7,5,1,22,0,0,1,14,0,0,1,10,2,2,0,1,1,0,8,0,0,0,2,2,2,0,8650,0,312,8962,13708,
14,JALISCO,25,COCULA,17,42,42,859,2051,74,1328,496,4640,3534,1339,207,68,19,2,2,13,2,3,37,0,1,2,14,2,2,2,38,2,5,0,1,2,0,19,0,2,2,6,24,0,3,14801,3,359,15163,25513,
14,JALISCO,26,COLOTLAN,15,29,29,1710,909,62,170,83,3332,2014,384,52,88,55,1,1,17,7,1,49,2,1,0,9,5,10,3,15,0,3,1,1,1,3,7,2,1,0,5,12,2,0,9018,6,343,9367,16275,
14,JALISCO,27,CONCEPCION DE BUENOS AIRES,5,9,9,192,329,16,924,22,1536,443,76,17,67,12,0,1,12,3,3,19,1,1,3,4,3,1,0,27,1,0,2,0,0,0,2,0,0,0,1,0,1,0,3719,14,97,3830,5609,
14,JALISCO,28,CUAUTITLAN DE GARCIA BARRAGAN,9,23,23,1475,1254,47,164,98,3778,2677,183,68,148,73,2,4,7,6,5,41,0,1,1,17,1,4,1,14,2,1,3,0,2,2,3,1,1,1,3,13,5,9,10115,2,451,10568,14207,
14,JALISCO,29,CUAUTLA,4,5,5,400,74,6,299,8,421,230,41,11,24,9,1,2,2,2,1,7,1,1,0,0,1,18,3,12,2,5,0,1,0,0,0,1,0,0,0,2,0,0,1585,13,31,1629,2458,
14,JALISCO,30,CUQUIO,12,27,27,225,3455,55,187,178,3939,1451,65,40,187,20,0,89,10,1,2,13,0,0,0,3,1,2,1,8,1,0,0,1,2,1,6,0,0,1,3,3,4,0,9954,2,307,10263,15306,
14,JALISCO,31,CHAPALA,19,67,67,7311,1030,105,1015,245,5931,8958,566,1271,205,82,15,1,39,11,9,146,7,1,3,19,8,13,6,69,1,2,7,4,3,2,26,1,3,2,15,19,13,10,27174,11,678,27863,42863,
14,JALISCO,32,CHIMALTITAN,3,5,5,670,45,7,21,7,970,261,6,5,26,10,0,0,5,1,2,8,0,0,2,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0,3,1,1,0,2059,0,39,2098,2725,
14,JALISCO,33,CHIQUILISTLAN,4,9,9,162,301,190,45,30,1581,577,217,11,51,7,3,0,2,1,2,7,2,2,1,3,1,1,0,3,0,1,1,0,1,1,5,0,1,0,1,10,2,2,3225,0,104,3329,5047,
14,JALISCO,34,DEGOLLADO,16,38,38,840,2898,61,230,76,3806,1191,194,13,353,66,1,1,8,0,2,46,0,1,0,12,1,1,1,11,0,0,0,1,0,0,7,2,0,0,2,12,0,0,9837,1,349,10187,19686,
14,JALISCO,35,EJUTLA,2,4,4,91,70,46,34,28,619,260,65,0,14,2,1,1,1,2,1,13,0,0,0,3,1,1,0,2,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1260,0,43,1303,2225,
14,JALISCO,36,ENCARNACION DE DIAZ,31,70,70,6957,837,116,660,196,6295,5679,170,1202,282,99,7,1,10,1,7,74,1,3,3,8,1,2,6,44,3,2,2,2,3,3,22,0,1,1,3,5,13,6,22727,10,613,23350,39573,
14,JALISCO,37,ETZATLAN,11,27,27,2645,477,50,718,141,2505,3159,820,101,56,16,0,0,11,0,1,31,0,0,2,8,2,1,0,20,0,1,0,0,1,1,13,0,0,0,3,8,1,2,10794,7,213,11014,16145,
14,JALISCO,38,GOMEZ FARIAS,8,23,23,321,418,51,246,137,3191,2544,852,118,27,11,1,0,62,15,8,39,16,3,2,14,17,8,3,26,5,7,1,10,4,0,5,2,4,3,27,35,2,13,8248,3,236,8487,13678,
14,JALISCO,39,EL GRULLO,12,34,34,902,889,108,326,227,3862,2897,207,62,93,15,5,5,15,5,11,88,0,3,1,5,2,8,3,22,1,1,1,2,2,2,11,1,0,1,6,13,2,0,9804,6,324,10134,21611,
14,JALISCO,40,GUACHINANGO,8,11,11,49,46,16,268,261,804,462,528,146,3,2,0,1,4,0,0,2,1,0,0,1,1,1,2,11,0,3,1,0,0,1,3,0,2,0,1,12,1,4,2637,0,72,2709,3932,
14,JALISCO,41,GUADALAJARA,985,2190,2193,96713,57236,5539,25691,12446,275103,220599,17296,19362,6302,2222,222,146,3336,432,1359,7514,246,77,143,620,382,213,593,2944,108,57,150,429,144,402,1453,122,39,119,529,394,632,283,761597,1521,17610,780728,1268140,
14,JALISCO,42,HOSTOTIPAQUILLO,11,16,16,380,393,69,488,71,1671,1316,81,17,17,4,2,1,16,15,3,18,8,1,1,10,2,1,3,16,0,2,2,0,1,1,4,1,1,0,0,5,1,0,4622,1,124,4747,7006,
14,JALISCO,43,HUEJUCAR,5,11,11,474,941,16,40,41,987,483,50,5,103,38,1,0,1,1,5,18,0,1,2,3,1,0,0,6,0,0,0,0,1,0,2,0,1,0,0,0,2,0,3223,1,112,3336,5914,
14,JALISCO,44,HUEJUQUILLA EL ALTO,7,17,17,345,943,24,127,79,1261,1544,106,10,46,29,0,0,6,4,1,39,0,0,0,4,0,2,1,28,0,3,0,1,1,0,5,0,0,0,0,14,4,2,4629,1,180,4810,7615,
14,JALISCO,45,LA HUERTA,19,37,37,346,3025,53,215,166,3652,3235,85,57,117,31,0,4,10,4,6,115,2,1,3,20,1,2,3,43,0,1,1,2,1,8,16,0,0,1,3,12,12,5,11258,2,439,11699,19521,
