CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,1,0,VeMRE01,1,2958,401,97,133,112,2731,3733,103,375,10643,20,123,10786,13656,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,1,0,VMRE01,1,75,25,4,7,5,79,258,4,8,465,1,41,507,713,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,2,0,VMRE02,1,83,26,5,12,10,76,241,4,7,464,2,42,508,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,2,0,VeMRE02,1,491,66,17,42,57,381,761,16,25,1856,1,16,1873,1205,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,3,0,VMRE03,1,80,19,2,11,9,67,272,3,7,470,0,42,512,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,4,0,VMRE04,1,90,23,3,6,10,59,275,3,10,479,0,36,515,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,5,0,VMRE05,1,74,19,4,8,10,69,277,3,8,472,0,39,511,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,6,0,VMRE06,1,80,17,3,11,8,63,289,7,4,482,0,43,525,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,7,0,VMRE07,1,71,20,1,11,6,70,278,4,7,468,0,38,506,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,8,0,VMRE08,1,80,17,3,6,10,77,259,3,10,465,0,49,514,715,Acta casilla,,,
1,14,JALISCO,15,LA BARCA,18,LA BARCA,261,SRP,1,0,SRP01,0,66,55,4,15,4,90,146,9,7,396,0,26,422,0,Acta casilla,,,
1,14,JALISCO,19,ZAPOTLAN EL GRANDE,23,ZAPOTLAN EL GRANDE,362,SRP,2,0,SRP02,0,55,14,1,11,5,122,98,7,7,320,2,5,327,0,Acta casilla,,,
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,724,SRP,1,0,SRP01,0,1,9,0,0,0,0,0,0,0,10,0,3,13,0,Acta casilla,,,
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,1058,SRP,1,0,SRP01,0,26,5,0,0,0,32,17,2,2,84,0,0,84,0,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1672,SRP,1,0,SRP01,0,87,38,4,11,7,167,126,17,31,488,0,7,495,0,Acta casilla,,,
1,14,JALISCO,20,TONALA,72,EL SALTO,2024,SRP,2,0,SRP02,0,42,36,2,16,7,100,136,7,9,355,0,8,363,0,Acta casilla,,,
1,14,JALISCO,20,TONALA,72,EL SALTO,2029,SRP,1,0,SRP01,0,34,24,2,15,16,95,196,11,10,403,2,15,420,0,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,116,VILLA HIDALGO,2849,SRP,1,0,SRP01,0,22,2,0,2,1,17,23,1,1,69,0,1,70,0,Acta casilla,,,
1,14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3033,SRP,1,0,SRP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acta casilla,,,
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3183,SRP,1,0,SRP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acta casilla,,,
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3183,SRP,2,0,SRP02,0,3,1,0,0,0,3,1,0,1,9,0,0,9,0,Acta casilla,,,
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,978,SRP,1,0,SRP01,0,38,16,1,12,3,59,63,6,1,199,3,0,202,0,Acta casilla,,,
1,14,JALISCO,19,ZAPOTLAN EL GRANDE,61,MAZAMITLA,1817,SRP,1,0,SRP01,0,0,0,3,15,6,151,108,0,8,291,0,14,305,0,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1961,SRP,1,0,SRP01,0,2,23,0,32,1,27,58,0,3,146,0,6,152,0,Acta casilla,,,
1,14,JALISCO,20,TONALA,72,EL SALTO,2024,SRP,1,0,SRP01,0,33,13,0,5,5,81,64,4,8,213,0,8,221,0,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,95,TEQUILA,2397,SRP,1,0,SRP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acta casilla,,,
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3111,SRP,1,0,SRP01,0,25,7,0,0,0,38,9,1,3,83,0,6,89,0,Acta casilla,,,
1,14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,98,TLAJOMULCO DE ZUÑIGA,3595,SRP,1,0,SRP01,0,20,18,2,3,2,96,166,4,4,315,0,1,316,0,Acta casilla,,,
1,14,JALISCO,15,LA BARCA,8,ARANDAS,137,SRP,1,0,SRP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acta casilla,,,
1,14,JALISCO,19,ZAPOTLAN EL GRANDE,23,ZAPOTLAN EL GRANDE,362,SRP,1,0,SRP01,0,60,20,3,13,5,94,83,6,7,291,0,0,291,0,Acta casilla,,,
1,14,JALISCO,19,ZAPOTLAN EL GRANDE,23,ZAPOTLAN EL GRANDE,362,SRP,3,0,SRP03,0,40,13,4,6,6,52,50,4,7,182,1,2,185,0,Acta casilla,,,
1,14,JALISCO,19,ZAPOTLAN EL GRANDE,23,ZAPOTLAN EL GRANDE,362,SRP,4,0,SRP04,0,47,22,4,6,6,114,81,10,10,300,0,1,301,0,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,31,CHAPALA,461,SRP,1,0,SRP01,0,129,23,1,20,9,156,120,9,19,486,0,9,495,0,Acta casilla,,,
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,799,SRP,1,0,SRP01,0,33,13,0,0,0,63,40,0,0,149,0,0,149,0,Acta casilla,,,
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,1049,SRP,1,0,SRP01,0,33,17,2,10,4,75,72,11,6,230,0,8,238,0,Acta casilla,,,
1,14,JALISCO,9,GUADALAJARA,41,GUADALAJARA,1247,SRP,1,0,SRP01,0,33,23,3,1,2,111,69,7,6,255,0,6,261,0,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1736,SRP,2,0,SRP02,0,49,19,1,4,4,81,59,10,5,232,1,1,234,0,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,65,OCOTLAN,1871,SRP,1,0,SRP01,0,67,27,2,10,17,134,122,11,6,396,0,8,404,0,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1935,SRP,1,0,SRP01,0,15,10,4,50,9,40,35,5,2,170,0,14,184,0,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1973,SRP,1,0,SRP01,0,33,14,2,11,1,201,86,5,2,355,0,7,362,0,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,75,SAN JUAN DE LOS LAGOS,2093,SRP,1,0,SRP01,0,83,16,2,6,2,72,50,4,1,236,0,16,252,0,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,85,TALPA DE ALLENDE,2213,SRP,1,0,SRP01,0,2,23,0,32,1,27,58,3,0,146,0,6,152,0,Acta casilla,,,
1,14,JALISCO,18,AUTLAN DE NAVARRO,87,TAPALPA,2261,SRP,1,0,SRP01,0,71,38,4,5,6,153,110,8,11,406,0,19,425,0,Acta casilla,,,
1,14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,98,TLAJOMULCO DE ZUÑIGA,2467,SRP,1,0,SRP01,0,30,19,1,4,3,104,66,3,2,232,0,7,239,0,Acta casilla,,,
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2474,SRP,1,0,SRP01,0,42,16,3,13,6,74,85,6,5,250,0,7,257,0,Acta casilla,,,
1,14,JALISCO,7,TONALA,102,TONALA,2687,SRP,1,0,SRP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acta casilla,,,
1,14,JALISCO,7,TONALA,102,TONALA,2687,SRP,2,0,SRP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acta casilla,,,
1,14,JALISCO,20,TONALA,102,TONALA,2693,SRP,1,0,SRP01,0,31,24,4,10,4,100,101,9,12,295,1,22,318,0,Acta casilla,,,
1,14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,120,ZAPOPAN,3119,SRP,1,0,SRP01,0,21,8,1,1,1,34,8,0,1,75,0,1,76,0,Acta casilla,,,
1,14,JALISCO,3,TEPATITLAN DE MORELOS,124,ZAPOTLANEJO,3287,SRP,1,0,SRP01,0,57,48,3,13,6,128,112,8,11,386,9,2,397,0,Acta casilla,,,
1,14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,98,TLAJOMULCO DE ZUÑIGA,3610,SRP,1,0,SRP01,0,17,10,0,2,1,38,32,1,0,101,0,4,105,0,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,75,SAN JUAN DE LOS LAGOS,3667,SRP,1,0,SRP01,0,23,6,0,5,1,33,16,5,2,91,0,2,93,0,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,59,SRP,1,0,SRP01,0,130,68,10,40,6,182,193,0,0,629,0,0,629,0,Acta casilla,,,
1,14,JALISCO,18,AUTLAN DE NAVARRO,15,AUTLAN DE NAVARRO,197,SRP,1,0,SRP01,0,94,68,6,15,8,164,220,49,6,630,3,12,645,0,Acta casilla,,,
1,14,JALISCO,18,AUTLAN DE NAVARRO,22,CIHUATLAN,327,SRP,1,0,SRP01,0,37,25,0,14,0,94,107,17,12,306,0,11,317,0,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1736,SRP,1,0,SRP01,0,54,13,1,1,2,90,51,4,3,219,0,20,239,0,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1957,SRP,1,0,SRP01,0,2,23,0,32,1,27,58,0,3,146,6,0,152,0,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1957,SRP,2,0,SRP02,0,64,21,2,21,4,88,62,5,10,277,11,0,288,0,Acta casilla,,,
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2523,SRP,1,0,SRP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acta casilla,,,
1,14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3020,SRP,1,0,SRP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acta casilla,,,
1,14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3073,SRP,1,0,SRP01,0,33,7,1,4,7,70,32,4,5,163,0,0,163,0,Acta casilla,,,
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3111,SRP,2,0,SRP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acta casilla,,,
1,14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,120,ZAPOPAN,3119,SRP,2,0,SRP02,0,9,11,0,1,1,30,9,0,3,64,0,0,64,0,Acta casilla,,,
1,14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,3827,SRP,1,0,SRP01,0,27,7,2,5,3,56,52,2,1,155,0,5,160,0,Acta casilla,,,
