ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EN EL EXTRANJERO,0,0,10,4082,633,139,247,237,3672,6643,150,461,16264,24,469,16757,20555,
14,JALISCO,1,TEQUILA,2,0,2,130,68,10,40,6,182,193,0,0,629,0,0,629,0,
14,JALISCO,2,LAGOS DE MORENO,4,0,5,231,56,4,18,10,293,199,24,12,847,1,40,888,0,
14,JALISCO,3,TEPATITLAN DE MORELOS,1,0,1,57,48,3,13,6,128,112,8,11,386,9,2,397,0,
14,JALISCO,4,ZAPOPAN,1,0,1,33,7,1,4,7,70,32,4,5,163,0,0,163,0,
14,JALISCO,5,PUERTO VALLARTA,5,0,6,118,114,8,178,17,410,357,18,20,1240,17,33,1290,0,
14,JALISCO,6,ZAPOPAN,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,JALISCO,7,TONALA,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,JALISCO,8,GUADALAJARA,3,0,3,97,34,1,12,3,154,120,8,3,432,3,0,435,0,
14,JALISCO,9,GUADALAJARA,1,0,1,33,23,3,1,2,111,69,7,6,255,0,6,261,0,
14,JALISCO,10,ZAPOPAN,2,0,4,28,8,0,0,0,41,10,1,4,92,0,6,98,0,
14,JALISCO,11,GUADALAJARA,2,0,2,34,26,2,10,4,75,72,11,6,240,0,11,251,0,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,2,0,3,47,29,1,4,3,102,49,1,4,240,0,5,245,0,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,1,0,1,27,7,2,5,3,56,52,2,1,155,0,5,160,0,
14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,2,0,2,50,37,3,7,5,200,232,7,6,547,0,8,555,0,
14,JALISCO,15,LA BARCA,2,0,2,66,55,4,15,4,90,146,9,7,396,0,26,422,0,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,2,0,2,42,16,3,13,6,74,85,6,5,250,0,7,257,0,
14,JALISCO,17,JOCOTEPEC,3,0,3,283,88,7,41,33,457,368,37,56,1370,0,24,1394,0,
14,JALISCO,18,AUTLAN DE NAVARRO,3,0,3,202,131,10,34,14,411,437,74,29,1342,3,42,1387,0,
14,JALISCO,19,ZAPOTLAN EL GRANDE,2,0,5,202,69,15,51,28,533,420,27,39,1384,3,22,1409,0,
14,JALISCO,20,TONALA,3,0,4,140,97,8,46,32,376,497,31,39,1266,3,53,1322,0,
