CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,1,0,VeMRE01,1,1362,238,66,76,74,4416,2800,43,182,383,34,4,0,396,16,27,335,0,1,0,1,12,2,3,33,0,0,1,16,7,13,75,1,0,2,31,16,18,8,10692,17,77,10786,13656,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,1,0,VMRE01,1,43,16,4,4,6,119,215,0,0,12,0,0,0,25,3,4,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,498,1,8,507,713,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,2,0,VMRE02,1,54,15,3,6,4,117,205,2,5,10,0,0,0,24,1,1,39,1,0,0,0,1,2,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,497,3,8,508,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,2,0,VeMRE02,1,263,36,14,31,43,606,647,12,19,48,10,3,0,8,2,2,69,0,0,4,5,0,0,1,10,1,0,0,0,2,2,16,0,0,0,5,1,3,0,1863,1,9,1873,1205,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,3,0,VMRE03,1,40,9,1,7,8,119,236,2,4,12,0,0,0,15,9,1,31,0,0,0,0,2,1,0,4,0,0,0,0,1,1,5,0,0,0,0,0,1,0,509,0,4,513,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,4,0,VMRE04,1,56,16,2,5,7,99,237,2,5,9,0,0,0,22,3,5,31,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,1,1,2,0,0,0,510,0,3,513,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,5,0,VMRE05,1,46,14,4,7,9,101,228,2,3,7,0,1,1,30,0,0,39,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,0,0,1,0,0,0,0,505,0,7,512,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,6,0,VMRE06,1,50,10,3,11,5,109,236,6,1,8,1,0,1,29,1,2,38,0,0,0,0,1,0,1,3,0,0,0,3,2,0,4,0,0,0,0,0,2,0,527,0,1,528,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,7,0,VMRE07,1,47,8,0,9,2,111,240,0,4,11,0,0,0,19,1,0,38,0,0,0,0,1,0,0,2,0,0,0,0,1,0,5,0,0,0,2,0,4,0,505,0,1,506,711,Acta casilla,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,8,0,VMRE08,1,45,13,4,4,9,120,214,2,6,13,0,0,0,31,0,1,36,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,509,0,5,514,715,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1935,C,6,0,C06,0,13,9,3,73,7,120,109,4,4,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,355,0,5,360,729,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1935,C,7,0,C07,0,15,6,5,67,0,117,101,7,5,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,7,340,729,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1935,C,12,0,C12,0,11,5,0,49,5,110,110,4,7,4,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,312,1,10,323,729,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1935,C,16,0,C16,0,13,7,1,64,7,111,77,1,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,298,17,0,315,729,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1935,C,21,0,C21,0,17,6,3,53,3,124,107,4,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,335,0,7,342,729,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1937,B,1,0,B,0,11,5,2,61,2,75,95,1,6,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,269,0,10,279,538,Acta casilla,,,
