ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,MC,PAN_PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EN EL EXTRANJERO,0,0,10,5917,3050,7648,16615,22,123,16760,20555,
14,JALISCO,1,TEQUILA,254,580,581,78944,37139,83462,199545,152,5120,204817,333813,
14,JALISCO,2,LAGOS DE MORENO,211,547,548,66081,48590,57168,171839,162,5670,177671,315947,
14,JALISCO,3,TEPATITLAN DE MORELOS,214,588,589,76927,59173,53465,189565,152,5391,195108,354411,
14,JALISCO,4,ZAPOPAN,149,558,559,103033,25412,70787,199232,178,4107,203517,357579,
14,JALISCO,5,PUERTO VALLARTA,169,547,548,64027,14118,102328,180473,152,4230,184855,330750,
14,JALISCO,6,ZAPOPAN,143,490,491,94239,20120,51817,166176,145,2897,169218,312664,
14,JALISCO,7,TONALA,87,416,417,49786,20536,65901,136223,160,2915,139298,281206,
14,JALISCO,8,GUADALAJARA,371,711,712,143711,38748,72462,254921,601,4563,260085,393980,
14,JALISCO,9,GUADALAJARA,230,599,600,89042,27803,86840,203685,535,4639,208859,361431,
14,JALISCO,10,ZAPOPAN,163,561,562,147699,31688,53386,232773,1011,4216,238000,362245,
14,JALISCO,11,GUADALAJARA,311,673,674,99378,35866,88463,223707,540,4881,229128,385744,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,123,485,486,96315,22406,60645,179366,1405,3226,183997,312396,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,163,512,513,76473,24580,76155,177208,197,4098,181503,319624,
14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,90,388,389,43016,10118,54348,107482,197,2178,109857,255158,
14,JALISCO,15,LA BARCA,214,580,581,69674,54296,56021,179991,102,5398,185491,343355,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,132,501,502,69138,23378,77380,169896,120,3611,173627,328419,
14,JALISCO,17,JOCOTEPEC,165,504,505,62086,27229,84677,173992,368,4013,178373,312849,
14,JALISCO,18,AUTLAN DE NAVARRO,261,609,610,72681,38935,89933,201549,59,5852,207460,349088,
14,JALISCO,19,ZAPOTLAN EL GRANDE,278,630,631,75025,29125,90879,195029,387,4889,200305,351976,
14,JALISCO,20,TONALA,55,384,385,48737,17308,61879,127924,149,2814,130887,256973,
