ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EN EL EXTRANJERO,0,0,10,2204,569,277,574,626,5917,5787,241,420,16615,22,123,16760,20555,
14,JALISCO,1,TEQUILA,254,580,581,20428,14804,1907,6862,5587,78944,65488,3866,1659,199545,152,5120,204817,333813,
14,JALISCO,2,LAGOS DE MORENO,211,547,548,37840,8950,1800,6461,3707,66081,41503,3619,1878,171839,162,5670,177671,315947,
14,JALISCO,3,TEPATITLAN DE MORELOS,214,588,589,39952,17301,1920,7670,3547,76927,37876,3121,1251,189565,152,5391,195108,354411,
14,JALISCO,4,ZAPOPAN,149,558,559,12715,11060,1637,5417,3672,103033,52343,2707,6648,199232,178,4107,203517,357579,
14,JALISCO,5,PUERTO VALLARTA,169,547,548,7155,5931,1032,34405,4407,64027,55730,4097,3689,180473,152,4230,184855,330750,
14,JALISCO,6,ZAPOPAN,143,490,491,10989,7909,1222,3889,2734,94239,38505,1652,5037,166176,145,2897,169218,312664,
14,JALISCO,7,TONALA,87,416,417,8447,10661,1428,5072,3330,49786,52548,2346,2605,136223,160,2915,139298,281206,
14,JALISCO,8,GUADALAJARA,371,711,712,22377,14137,2234,5678,4375,143711,55222,3044,4143,254921,601,4563,260085,393980,
14,JALISCO,9,GUADALAJARA,230,599,600,13270,12548,1985,7374,5333,89042,67601,2866,3666,203685,535,4639,208859,361431,
14,JALISCO,10,ZAPOPAN,163,561,562,20259,9734,1695,4238,3254,147699,38185,1895,5814,232773,1011,4216,238000,362245,
14,JALISCO,11,GUADALAJARA,311,673,674,16831,16896,2139,7690,4858,99378,68628,3707,3580,223707,540,4881,229128,385744,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,123,485,486,13225,7556,1625,4709,3314,96315,47292,1888,3442,179366,1405,3226,183997,312396,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,163,512,513,12900,9871,1809,6088,4645,76473,59706,2327,3389,177208,197,4098,181503,319624,
14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,90,388,389,4848,4209,1061,3856,2879,43016,44264,1579,1770,107482,197,2178,109857,255158,
14,JALISCO,15,LA BARCA,214,580,581,29483,22804,2009,11809,3269,69674,31773,7686,1484,179991,102,5398,185491,343355,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,132,501,502,11816,9980,1582,5615,3892,69138,63013,2208,2652,169896,120,3611,173627,328419,
14,JALISCO,17,JOCOTEPEC,165,504,505,12378,13314,1537,9546,6663,62086,56854,4573,7041,173992,368,4013,178373,312849,
14,JALISCO,18,AUTLAN DE NAVARRO,261,609,610,11952,24671,2312,7665,5096,72681,65042,9690,2440,201549,59,5852,207460,349088,
14,JALISCO,19,ZAPOTLAN EL GRANDE,278,630,631,14019,13269,1837,11499,6782,75025,63001,7216,2381,195029,387,4889,200305,351976,
14,JALISCO,20,TONALA,55,384,385,6479,9700,1129,4037,3020,48737,50677,2207,1938,127924,149,2814,130887,256973,
