ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,ACAMBAY DE RUIZ CASTANEDA,32,94,95,8528,7721,0,1449,519,1356,10868,0,0,0,0,0,0,0,0,0,0,0,0,373,77,182,91,0,0,0,0,0,0,0,0,0,0,31164,187,1439,32790,50601,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN1.pdf
15,MEXICO,2,ACOLMAN,38,145,146,0,0,0,2697,1320,5370,27139,0,0,0,0,0,0,0,0,0,0,0,0,1396,100,304,396,20854,0,0,0,0,0,0,0,0,0,59576,43,1509,61128,94590,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN2.pdf
15,MEXICO,3,ACULCO,24,67,67,808,6962,196,1365,408,837,13200,101,17,93,1,2,1,64,7,2,6,5,0,374,78,192,65,0,0,0,0,0,0,0,0,0,0,24784,36,789,25609,37262,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN3.pdf
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,23,154,311,51,165,126,194,4059,57,2,8,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5132,2176,1047,8355,12655,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN4.pdf
15,MEXICO,5,ALMOLOYA DE JUAREZ,56,202,203,1919,29597,3104,14197,1126,14054,13676,1060,0,0,0,0,0,0,0,0,0,0,0,908,143,592,198,0,0,0,0,0,0,0,0,0,0,80574,62,3678,84314,128893,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN5.pdf
15,MEXICO,6,ALMOLOYA DEL RIO,5,14,14,470,1429,1012,807,30,266,431,2314,0,0,0,0,0,0,0,0,0,0,0,26,5,16,4,0,0,0,0,0,0,0,0,0,0,6810,7,256,7073,9565,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN6.pdf
15,MEXICO,7,AMANALCO,10,35,35,0,0,0,444,307,4000,2789,0,0,0,0,0,0,0,0,0,0,0,0,145,24,59,24,4892,0,0,0,0,0,0,0,0,0,12684,324,859,13867,19899,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN7.pdf
15,MEXICO,8,AMATEPEC,27,47,48,0,0,0,670,1498,311,7863,0,0,0,0,0,0,0,0,0,0,0,0,271,106,70,115,1231,0,0,0,0,0,0,0,0,0,12135,22,802,12959,20527,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN8.pdf
15,MEXICO,9,AMECAMECA,26,77,77,3289,11715,128,1500,158,4498,8210,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29811,32,847,30690,45830,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN9.pdf
15,MEXICO,10,APAXCO,14,39,40,0,0,0,3164,4610,715,3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,1449,0,0,0,0,0,0,0,0,14281,852,573,15706,24118,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN10.pdf
15,MEXICO,11,ATENCO,15,77,77,0,0,0,6498,3868,2369,10565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6114,0,0,0,0,0,0,0,0,0,29414,221,1553,31188,51970,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN11.pdf
15,MEXICO,12,ATIZAPAN,4,15,15,109,551,23,478,1557,164,3369,37,6,15,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6314,144,299,6757,9823,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN12.pdf
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,174,654,656,106341,22391,2840,10716,4241,16675,83091,2554,1198,3917,129,66,20,1215,188,56,46,11,35,6331,317,1541,952,0,0,0,0,0,0,0,0,0,0,264871,1306,6501,272668,422236,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN13.pdf
