ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PVEM_PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,ACAMBAY DE RUIZ CASTANEDA,32,94,95,8528,7721,0,,,1356,,0,,13559,,,,,,,,,,,31164,187,1439,32790,50601,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN1.pdf
15,MEXICO,2,ACOLMAN,38,145,146,,,,,,5370,,,,33352,20854,,,,,,,,,,59576,43,1509,61128,94590,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN2.pdf
15,MEXICO,3,ACULCO,24,67,67,,,,,,837,,,8265,15682,,,,,,,,,,,24784,36,789,25609,37262,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN3.pdf
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,23,,,,165,126,194,4059,,588,,,,,,,,,,,,5132,2176,1047,8355,12655,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN4.pdf
15,MEXICO,5,ALMOLOYA DE JUAREZ,56,202,203,1919,29597,3104,,,14054,,1060,,30840,,,,,,,,,,,80574,62,3678,84314,128893,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN5.pdf
15,MEXICO,6,ALMOLOYA DEL RIO,5,14,14,470,1429,1012,,,266,,2314,,1319,,,,,,,,,,,6810,7,256,7073,9565,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN6.pdf
15,MEXICO,7,AMANALCO,10,35,35,,,,,,4000,,,,3792,4892,,,,,,,,,,12684,324,859,13867,19899,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN7.pdf
15,MEXICO,8,AMATEPEC,27,47,48,,,,,,311,,,,10593,1231,,,,,,,,,,12135,22,802,12959,20527,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN8.pdf
15,MEXICO,9,AMECAMECA,26,77,77,3289,11715,128,1500,158,4498,8210,313,,,,,,,,,,,,,29811,32,847,30690,45830,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN9.pdf
15,MEXICO,10,APAXCO,14,39,40,,,,3164,4610,715,3331,,,,1012,1449,,,,,,,,,14281,852,573,15706,24118,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN10.pdf
15,MEXICO,11,ATENCO,15,77,77,,,,6498,3868,2369,10565,,,,6114,,,,,,,,,,29414,221,1553,31188,51970,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN11.pdf
15,MEXICO,12,ATIZAPAN,4,15,15,,,,478,1557,164,3369,,746,,,,,,,,,,,,6314,144,299,6757,9823,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN12.pdf
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,174,654,656,,,,,,16675,,,140997,107189,,,,,,,,,,,264861,1306,6501,272668,422236,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN13.pdf
15,MEXICO,14,ATLACOMULCO,41,137,137,,,,,,5745,,,21309,27347,,,,,,,,,,,54401,47,1459,55907,85268,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN14.pdf
15,MEXICO,15,ATLAUTLA,13,39,39,232,796,3562,6986,1583,234,1552,555,,,,,,,,,,,,,15500,13,722,16235,23911,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN15.pdf
15,MEXICO,16,AXAPUSCO,20,37,37,1552,3910,2885,,,165,,671,,5452,,,,,,,,,,,14635,308,759,15702,20322,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN16.pdf
15,MEXICO,17,AYAPANGO,5,12,12,44,815,1678,,,1459,,83,,1066,,,,,,,,,,,5145,3,115,5263,6833,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN17.pdf
15,MEXICO,18,CALIMAYA,16,72,73,,,,,,3310,,,14119,15394,,,,,,,,,,,32823,21,838,33682,47227,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN18.pdf
15,MEXICO,19,CAPULHUAC,12,44,44,,,,,,4513,,,4669,5536,,,,,,,,,,,14718,49,841,15608,28816,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN19.pdf
15,MEXICO,20,COACALCO DE BERRIOZABAL,110,367,368,,,,,,13996,,,72651,67913,,,,,,,,,,,154560,175,3594,158329,234077,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN20.pdf
15,MEXICO,21,COATEPEC HARINAS,19,52,53,,,,,,977,,,8898,6842,,,,,,,,,,,16717,11,1013,17741,29975,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN21.pdf
15,MEXICO,22,COCOTITLAN,6,20,20,,,,1023,1338,2219,1882,,,,2722,,,,,,,,,,9184,4,361,9549,12887,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN22.pdf
15,MEXICO,23,COYOTEPEC,12,61,62,,,,,,2927,,,,11556,9419,,,,,,,,,,23902,635,885,25422,41541,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN23.pdf
15,MEXICO,24,CUAUTITLAN,42,165,166,,,,,,4404,,,31932,34708,,,,,,,,,,,71044,49,1315,72408,108370,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN24.pdf
15,MEXICO,25,CUAUTITLAN IZCALLI,262,706,708,,,,,,21048,,,120304,144637,,,,,,,,,,,285989,716,6871,293576,431935,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN25.pdf
15,MEXICO,26,CHALCO,77,438,439,,,,37384,4103,11153,82745,,,,22241,,,,,,,,,,157626,153,9428,167207,289760,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN26.pdf
15,MEXICO,27,CHAPA DE MOTA,14,41,41,,,,,,1201,,,7862,8757,,,,,,,,,,,17820,37,497,18354,24056,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN27.pdf
15,MEXICO,28,CHAPULTEPEC,2,14,14,,,,,,960,,,2379,3035,,,,,,,,,,,6374,27,223,6624,9678,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN28.pdf
15,MEXICO,29,CHIAUTLA,12,39,39,,,,,,8292,,,1541,6960,,,,,,,,,,,16793,14,449,17256,24263,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN29.pdf
15,MEXICO,30,CHICOLOAPAN,71,236,236,,,,,,6395,,,,49396,31125,,,,,,,,,,86916,106,2251,89273,146641,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN30.pdf
15,MEXICO,31,CHICONCUAC,8,33,34,2448,970,1290,1347,3568,407,2961,1049,,,,,,,,,,,,,14040,837,499,15376,22282,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN31.pdf
15,MEXICO,32,CHIMALHUACAN,176,770,771,7016,81075,5879,,,16728,,2352,,146071,,,,,,,,,,,259121,448,10198,269767,513126,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN32.pdf
15,MEXICO,33,DONATO GUERRA,16,44,44,,,,3622,3369,288,5888,,,,5597,,,,,,,,,,18764,3,1095,19862,27361,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN33.pdf
15,MEXICO,34,ECATEPEC DE MORELOS,754,2114,2119,,,,68347,62479,80305,347232,,,,194923,,,,,,,,,,753286,1375,46467,801128,1293604,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN34.pdf
15,MEXICO,35,ECATZINGO,4,13,13,,,,2661,0,92,533,,2449,,,,,,,,,,,,5735,4,206,5945,7904,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN35.pdf
15,MEXICO,36,HUEHUETOCA,64,190,191,,,,,,5468,,,16621,25218,,,11360,,,,,,,,58667,6645,2388,67700,116992,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN36.pdf
15,MEXICO,37,HUEYPOXTLA,16,52,52,263,5890,181,6763,979,3075,6534,382,,,,,,,,,,,,,24067,13,1004,25084,34763,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN37.pdf
15,MEXICO,38,HUIXQUILUCAN,92,340,341,77326,0,5127,7887,3255,10157,41895,964,,,,,,,,,,,,,146611,164,6903,153678,219842,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN38.pdf
15,MEXICO,39,ISIDRO FABELA,5,18,18,684,936,817,,,726,,970,,1631,,,,947,,,,,,,6711,0,211,6922,9323,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN39.pdf
15,MEXICO,40,IXTAPALUCA,235,618,619,,,,43828,7460,18726,83026,,,,58885,,,,,,,,,,211925,210,11752,223887,377797,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN40.pdf
15,MEXICO,41,IXTAPAN DE LA SAL,19,51,51,,,,,,2004,,,7540,8292,,,,,,,,,,,17836,16,719,18571,29202,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN41.pdf
15,MEXICO,42,IXTAPAN DEL ORO,5,9,9,33,149,884,,,26,,153,,3083,,,,,,,,,,,4328,12,141,4481,5627,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN42.pdf
15,MEXICO,43,IXTLAHUACA,51,190,190,,,,2827,2752,5338,39381,,30852,,,,,,,,,,,,81150,49,3818,85017,121828,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN43.pdf
15,MEXICO,44,XALATLACO,7,33,33,,,,820,3314,916,5097,,,,1784,,,,,,,,,,11931,20,495,12446,20718,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN44.pdf
15,MEXICO,45,JALTENCO,14,35,36,,,,432,2962,1946,7148,,,,1682,,,,,,,,,,14170,12,541,14723,21116,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN45.pdf
15,MEXICO,46,JILOTEPEC,47,130,130,,,,,,1798,,,27622,22785,,,,,,,,,,,52205,40,1210,53455,74888,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN46.pdf
