ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,ACAMBAY DE RUIZ CASTANEDA,32,94,95,8528,7721,0,1703,726,1356,11130,0,0,0,0,0,0,0,0,0,0,31164,187,1439,32790,50601,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN1.pdf
15,MEXICO,2,ACOLMAN,38,145,146,4379,8342,2293,3364,2033,5370,27955,5840,0,0,0,0,0,0,0,0,0,59576,43,1509,61128,94590,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN2.pdf
15,MEXICO,3,ACULCO,24,67,67,881,7038,238,1625,603,837,13454,108,0,0,0,0,0,0,0,0,0,24784,36,789,25609,37262,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN3.pdf
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,23,161,317,53,165,126,194,4059,57,0,0,0,0,0,0,0,0,0,5132,2176,1047,8355,12655,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN4.pdf
15,MEXICO,5,ALMOLOYA DE JUAREZ,56,202,203,1919,29597,3104,14868,1598,14054,14374,1060,0,0,0,0,0,0,0,0,0,80574,62,3678,84314,128893,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN5.pdf
15,MEXICO,6,ALMOLOYA DEL RIO,5,14,14,470,1429,1012,827,42,266,450,2314,0,0,0,0,0,0,0,0,0,6810,7,256,7073,9565,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN6.pdf
15,MEXICO,7,AMANALCO,10,35,35,1027,1957,538,533,379,4000,2880,1370,0,0,0,0,0,0,0,0,0,12684,324,859,13867,19899,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN7.pdf
15,MEXICO,8,AMATEPEC,27,47,48,258,493,135,848,1698,311,8047,345,0,0,0,0,0,0,0,0,0,12135,22,802,12959,20527,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN8.pdf
15,MEXICO,9,AMECAMECA,26,77,77,3289,11715,128,1500,158,4498,8210,313,0,0,0,0,0,0,0,0,0,29811,32,847,30690,45830,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN9.pdf
15,MEXICO,10,APAXCO,14,39,40,212,405,111,3164,4610,715,3331,284,1449,0,0,0,0,0,0,0,0,14281,852,573,15706,24118,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN10.pdf
