ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PVEM_PT_MORENA,CC_PAN_PRI_PRD_NAEM,CC_PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,0,VOTO EN EL EXTRANJERO,0,0,6,6495,1085,246,191,262,636,4883,68,,,,,13866,31,295,14192,15951,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO0.pdf
15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,77,438,439,,,,26192,5150,11783,85257,,27824,,,,156206,145,10065,166416,289760,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO1.pdf
15,MEXICO,2,TOLUCA DE LERDO,111,424,426,,,,,,18415,,,64251,92970,,,175636,195,4516,180347,273839,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO2.pdf
15,MEXICO,3,CHIMALHUACAN,105,453,454,4821,42243,3478,,,10650,,1827,,92804,,,155823,188,6038,162049,301694,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO3.pdf
15,MEXICO,4,LERMA DE VILLADA,105,398,400,,,,,,18461,,,62963,92391,,,173815,205,5103,179123,254927,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO4.pdf
15,MEXICO,5,CHIMALHUACAN,115,443,443,,,,,,12543,,,52015,88476,,,153034,201,4986,158221,285204,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO5.pdf
15,MEXICO,6,ECATEPEC DE MORELOS,156,482,483,,,,14096,14710,21663,83968,,,,41398,,175835,313,10695,186843,302928,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO6.pdf
15,MEXICO,7,TENANCINGO DE DEGOLLADO,122,385,386,,,,,,29856,,,36400,,,75095,141351,200,6865,148416,239187,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO7.pdf
15,MEXICO,8,ECATEPEC DE MORELOS,187,473,474,,,,,,20895,,,,108558,50307,,179760,217,5435,185412,284238,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO8.pdf
15,MEXICO,9,TEJUPILCO DE HIDALGO,242,513,515,,,,,,13957,,,58693,88202,,,160852,248,8297,169397,264335,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO9.pdf
15,MEXICO,10,VALLE DE BRAVO,178,472,473,8402,40589,25908,,,10393,,1558,,90351,,,177201,117,9083,186401,270048,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO10.pdf
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,131,423,424,,,,,,22221,,,,101973,39616,,163810,185,4529,168524,268003,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO11.pdf
15,MEXICO,12,TEOLOYUCAN,127,460,461,,,,,,28176,,,47664,,,100499,176339,572,7360,184271,297241,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO12.pdf
15,MEXICO,13,ATLACOMULCO DE FABELA ,169,500,501,,,,,,16510,,,71038,,,95708,183256,377,7693,191326,297376,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO13.pdf
15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ ,184,516,518,,,,,,12830,,,77585,,,106696,197111,274,7517,204902,289241,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO14.pdf
15,MEXICO,15,IXTLAHUACA DE RAYON ,131,457,457,,,,,,19479,,,68626,,,96512,184617,342,7541,192500,283384,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO15.pdf
