ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CC_PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,0,VOTO EN EL EXTRANJERO,0,0,6,6495,1085,246,191,262,636,4883,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13866,31,295,14192,15951,
15,MEXICO,1,ACAMBAY DE RUIZ CASTAÑEDA,32,94,96,3674,7127,290,0,0,2027,0,425,112,74,6,1,9,70,25,7,4,4,0,0,0,0,0,0,17190,31045,19,1551,32615,50602,
15,MEXICO,2,ACOLMAN,38,145,146,6159,12731,745,2082,1306,6208,25591,794,171,520,12,16,8,155,23,4,38,5,11,1434,80,294,230,0,0,58617,56,1807,60480,94591,
15,MEXICO,3,ACULCO,24,67,67,1151,6263,294,0,0,1458,0,261,17,95,1,3,2,58,11,1,10,5,0,0,0,0,0,0,14964,24594,21,977,25592,37262,
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,25,342,967,70,261,164,559,4952,89,3,23,0,0,0,5,0,0,1,1,0,42,13,31,17,0,0,7540,83,696,8319,12659,
15,MEXICO,5,ALMOLOYA DE JUAREZ,56,202,203,3166,22726,1753,10378,1775,14235,23865,1114,53,426,14,3,5,204,22,5,52,12,5,1075,157,546,159,0,0,81750,44,3266,85060,128893,
15,MEXICO,6,ALMOLOYA DEL RIO,5,14,15,259,1248,272,0,0,691,0,765,2,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3498,6746,27,292,7065,9567,
15,MEXICO,7,AMANALCO,10,35,36,326,2799,1911,511,308,2449,4308,177,0,0,0,0,0,0,0,0,0,0,0,131,16,50,24,0,0,13010,27,865,13902,19902,
15,MEXICO,8,AMATEPEC,27,47,47,225,1799,269,545,826,356,7427,298,6,34,4,0,0,15,4,0,7,2,0,244,102,67,93,0,0,12323,15,640,12978,20526,
15,MEXICO,9,AMECAMECA,26,77,77,1774,6428,320,1963,628,3068,13899,546,14,51,3,0,1,11,4,1,5,3,0,228,31,108,57,0,0,29143,34,985,30162,45830,
15,MEXICO,10,APAXCO,14,39,40,0,0,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702,10043,14840,10,761,15611,24119,
15,MEXICO,11,ATENCO,15,77,77,1801,4603,395,3305,1800,2516,13732,366,92,157,4,5,0,48,6,3,7,0,0,498,44,177,138,0,0,29697,47,1058,30802,51970,
15,MEXICO,12,ATIZAPAN,4,15,15,241,1175,79,0,0,518,0,119,3,24,0,0,0,5,2,0,3,1,1,0,0,0,0,0,4244,6415,28,316,6759,9823,
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,174,654,660,90440,24050,3207,10236,5163,19208,97648,3029,697,3731,95,37,21,1088,144,48,59,9,79,6938,409,1481,1032,0,0,268849,380,6708,275937,422243,
15,MEXICO,14,ATLACOMULCO,41,137,138,2601,18537,479,0,0,5166,0,585,72,383,21,1,9,161,6,3,20,8,2,0,0,0,0,0,26406,54460,59,1553,56072,85269,
15,MEXICO,15,ATLAUTLA,13,39,39,407,1552,832,2538,988,915,7829,277,2,27,0,0,0,6,1,0,1,1,0,136,29,105,37,0,0,15683,5,492,16180,23911,
15,MEXICO,16,AXAPUSCO,20,37,38,924,3625,943,425,1412,664,6529,373,4,23,3,1,1,12,5,0,12,1,1,197,41,31,103,0,0,15330,14,533,15877,20325,
15,MEXICO,17,AYAPANGO,5,12,12,109,722,486,255,159,990,2199,62,1,8,0,0,0,1,0,1,3,0,0,32,1,9,10,0,0,5048,1,214,5263,6833,
15,MEXICO,18,CALIMAYA,16,72,72,8109,4126,375,0,0,3318,0,475,56,282,12,2,3,99,14,4,10,0,1,0,0,0,0,0,15751,32632,25,975,33622,47226,
15,MEXICO,19,CAPULHUAC,12,44,44,703,3433,346,0,0,2217,0,270,29,105,2,2,5,18,9,1,8,3,0,0,0,0,0,0,7766,14917,16,621,15554,28816,
15,MEXICO,20,COACALCO DE BERRIOZABAL,110,367,368,0,0,0,7937,3708,18015,65846,0,0,0,0,0,0,0,0,0,0,0,0,3764,237,687,566,53936,0,154696,191,3553,158440,234078,
15,MEXICO,21,COATEPEC HARINAS,19,52,52,1092,5495,145,683,1696,1130,5819,153,32,96,6,3,0,69,4,3,11,4,0,194,40,47,109,0,0,16831,14,913,17758,29974,
15,MEXICO,22,COCOTITLAN,6,20,20,448,903,365,791,641,1265,4460,106,5,38,0,0,1,6,3,0,2,0,0,83,10,19,21,0,0,9167,3,387,9557,12887,
15,MEXICO,23,COYOTEPEC,12,61,62,3941,1971,574,0,0,2666,0,505,36,84,2,6,0,34,4,2,2,0,1,0,0,0,0,0,14496,24324,35,1041,25400,41543,
15,MEXICO,24,CUAUTITLAN,42,165,166,0,0,0,3516,1663,6798,32974,0,0,0,0,0,0,0,0,0,0,0,0,1435,76,291,229,23999,0,70981,87,1561,72629,108370,
15,MEXICO,25,CUAUTITLAN IZCALLI,262,706,707,74115,27917,3347,9931,5609,29052,115352,4030,1366,3704,86,57,14,1186,133,50,43,8,24,8143,376,1618,1049,0,0,287210,623,7402,295235,431930,
15,MEXICO,26,CHALCO,77,438,439,8265,15282,1537,26192,5150,11783,85257,1581,216,708,9,8,2,180,17,5,13,0,1,0,0,0,0,0,0,156206,145,10065,166416,289760,
15,MEXICO,27,CHAPA DE MOTA,14,41,41,4462,1937,157,0,0,1260,0,180,20,49,7,6,0,73,9,6,7,3,2,0,0,0,0,0,9530,17708,21,641,18370,24056,
15,MEXICO,28,CHAPULTEPEC,2,14,15,391,1429,55,0,0,708,0,78,20,42,1,1,0,12,2,0,1,0,0,0,0,0,0,0,3510,6250,9,200,6459,9684,
15,MEXICO,29,CHIAUTLA,12,39,40,0,0,0,719,402,3672,8103,0,0,0,0,0,0,0,0,0,0,0,0,311,13,53,48,3272,0,16593,60,484,17137,24266,
15,MEXICO,30,CHICOLOAPAN,71,236,236,4341,22909,1047,3099,1874,7801,39694,1322,175,749,21,11,22,161,17,5,45,14,22,2137,173,543,403,0,0,86585,117,2871,89573,146641,
15,MEXICO,31,CHICONCUAC,8,33,33,0,0,0,1297,1498,1565,6437,0,0,0,0,0,0,0,0,0,0,0,0,135,11,34,43,3839,0,14859,30,495,15384,22280,
15,MEXICO,32,CHIMALHUACAN,176,770,771,8251,66372,5474,9871,6241,18237,129740,2756,72,764,10,10,11,204,25,6,63,11,1,8383,634,1987,1379,0,0,260502,311,9443,270256,513126,
15,MEXICO,33,DONATO GUERRA,16,44,44,245,1256,7600,2045,1304,385,5480,119,0,0,0,0,0,0,0,0,0,0,0,69,31,68,44,0,0,18646,0,1322,19968,27361,
15,MEXICO,34,ECATEPEC DE MORELOS,754,2114,2121,33774,61472,5902,53689,47415,83663,358567,4724,774,3935,70,28,45,888,139,21,127,32,23,15794,1289,3950,3357,91705,0,771383,1107,29794,802284,1293605,
15,MEXICO,35,ECATZINGO,4,13,13,232,1728,19,1669,84,239,1670,34,1,25,0,1,1,5,0,0,0,0,0,23,6,32,6,0,0,5775,0,170,5945,7904,
15,MEXICO,36,HUEHUETOCA,64,190,190,10029,3572,667,0,0,8019,0,1763,204,366,17,8,5,95,21,8,6,3,21,0,0,0,0,0,39289,64093,441,3225,67759,116991,
15,MEXICO,37,HUEYPOXTLA,16,52,52,0,0,0,0,0,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5507,16385,24190,21,989,25200,34763,
15,MEXICO,38,HUIXQUILUCAN,92,340,342,63852,10213,2362,6767,2864,10744,45645,1182,102,1561,28,42,2,527,80,11,48,7,27,2371,192,623,430,0,0,149680,105,3331,153116,219844,
15,MEXICO,39,ISIDRO FABELA,5,18,20,608,1359,320,774,151,743,2326,364,2,29,3,1,2,12,1,1,4,1,1,75,9,33,10,0,0,6829,4,179,7012,9326,
15,MEXICO,40,IXTAPALUCA,235,618,619,2668,7329,488,27832,6278,21693,97633,682,565,307,5,3,0,72,25,1,43,0,0,4765,502,1779,756,43825,0,217251,234,6905,224390,377797,
15,MEXICO,41,IXTAPAN DE LA SAL,19,51,51,1617,5083,294,756,424,1999,7209,247,32,158,4,0,0,58,10,2,7,3,0,244,32,61,48,0,0,18288,8,907,19203,29202,
15,MEXICO,42,IXTAPAN DEL ORO,5,9,9,45,293,959,82,585,38,2103,83,0,0,0,0,0,0,0,0,0,0,0,54,33,9,48,0,0,4332,5,196,4533,5627,
15,MEXICO,43,IXTLAHUACA,51,190,190,2233,24649,681,0,0,8141,0,774,78,356,19,7,6,162,8,12,26,21,6,0,0,0,0,0,44608,81787,198,2897,84882,121828,
15,MEXICO,44,XALATLACO,7,33,33,464,2168,156,0,0,1332,0,290,4,30,1,1,0,12,0,1,3,1,4,0,0,0,0,0,7402,11867,16,561,12447,20718,
15,MEXICO,45,JALTENCO,14,35,37,986,1767,129,463,1032,2056,7142,245,13,77,6,0,1,13,2,1,0,3,0,195,24,63,41,0,0,14259,10,458,14727,21123,
15,MEXICO,46,JILOTEPEC,47,130,130,2049,16413,419,0,0,3059,0,670,67,230,16,9,5,108,6,1,22,4,6,0,0,0,0,0,29041,52125,52,1617,53794,74888,
