ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,0,VOTO EN EL EXTRANJERO,0,0,6,6495,1085,246,191,262,636,4883,68,13866,31,295,14192,15951,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO0.pdf
15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,77,438,442,8720,15731,1854,26241,5157,11833,85544,1648,156728,145,10092,166965,289760,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO1_RP.pdf
15,MEXICO,2,TOLUCA DE LERDO,111,424,429,23272,37188,2435,10843,6188,18521,76379,1839,176665,195,4578,181438,273839,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO2_RP.pdf
15,MEXICO,3,CHIMALHUACAN,105,453,455,4836,42315,3486,8378,5796,10650,78807,1829,156097,188,6038,162323,301694,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO3_RP.pdf
15,MEXICO,4,LERMA DE VILLADA,105,398,401,14945,43611,2130,18089,7378,18488,67038,2422,174101,205,5106,179412,254927,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO4_RP.pdf
15,MEXICO,5,CHIMALHUACAN,115,443,444,6969,40162,2964,7702,5390,12543,75398,1932,153060,201,4986,158247,285204,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO5_RP.pdf
15,MEXICO,6,ECATEPEC DE MORELOS,156,482,484,2903,19498,16593,14108,14721,21690,84043,2488,176044,313,10703,187060,302928,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO6_RP.pdf
15,MEXICO,7,TENANCINGO DE DEGOLLADO,122,385,387,7101,21241,5007,15088,15088,29972,45268,3225,141990,200,6890,149080,239187,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO7_RP.pdf
15,MEXICO,8,ECATEPEC DE MORELOS,187,473,475,3527,23689,20160,15377,11608,20923,81765,3023,180072,217,5452,185741,284238,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO8_RP.pdf
15,MEXICO,9,TEJUPILCO DE HIDALGO,242,513,517,7073,42998,6812,9417,7444,14100,71885,2315,162044,248,8351,170643,264335,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO9_RP.pdf
15,MEXICO,10,VALLE DE BRAVO,178,472,476,8550,40800,25933,10641,7001,10472,73130,1566,178093,117,9157,187367,270048,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO10_RP.pdf
