CIRCUNSCRIPCION,ID_ESTADO ,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS ,,,DIP_LOC_MR,MORENA,1,JOSE MIGUEL GUTIERREZ MORALES,1,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D01.pdf,MORENA
5,15,MEXICO,2,TOLUCA DE LERDO,,,DIP_LOC_MR,PVEM_PT_MORENA,1,ANA YURIXI LEYVA PIÑON,2,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D02.pdf,MORENA
5,15,MEXICO,3,CHIMALHUACAN,,,DIP_LOC_MR,PVEM_PT_MORENA,1,VLADIMIR HERNANDEZ VILLEGAS,1,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D03.pdf,MORENA
5,15,MEXICO,4,LERMA DE VILLADA,,,DIP_LOC_MR,PVEM_PT_MORENA,1,GABRIEL KALID  MOHAMED BAEZ,1,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D04.pdf,PT
5,15,MEXICO,5,CHIMALHUACAN,,,DIP_LOC_MR,PVEM_PT_MORENA,1,EDGAR SAMUEL RIOS  MORENO,1,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D05.pdf,MORENA
5,15,MEXICO,6,ECATEPEC DE MORELOS,,,DIP_LOC_MR,MORENA,1,OCTAVIO  MARTINEZ  VARGAS ,1,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D06.pdf,MORENA
5,15,MEXICO,7,TENANCINGO DE DEGOLLADO,,,DIP_LOC_MR,PVEM_PT_MORENA_CC,1,HECTOR RAUL GARCIA GONZALEZ,1,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D07.pdf,PVEM
5,15,MEXICO,8,ECATEPEC DE MORELOS,,,DIP_LOC_MR,PVEM_PT_MORENA,1,EDMUNDO LUIS VALDEÑA BASTIDA,1,Candidaturas afromexicanas,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D08.pdf,MORENA
5,15,MEXICO,9,TEJUPILCO DE HIDALGO,,,DIP_LOC_MR,PVEM_PT_MORENA,1,GLORIA VANESSA LINARES ZETINA,2,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D09.pdf,PVEM
5,15,MEXICO,10,VALLE DE BRAVO,,,DIP_LOC_MR,PVEM_PT_MORENA,1,JAVIER CRUZ JARAMILLO,1,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D10.pdf,MORENA
5,15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,,,DIP_LOC_MR,PVEM_PT_MORENA,1,ELENA GARCIA  MARTINEZ,2,,https://www.ieem.org.mx/proceso2024/DISTRITALES/C_MR_D11.pdf,MORENA
