ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PT_PVEM_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PRD_PESM,C_PT_PVEM,C_PT_MORENA,C_PT_PESM,C_PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,ACUITZIO,14,21,21,0,0,127,0,0,27,0,337,2272,0,343,0,0,0,0,0,0,1916,0,941,0,0,0,0,0,0,0,5963,2,282,6247,9507,
16,MICHOACAN,2,AGUILILLA,11,20,20,0,0,0,0,2558,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1069,0,0,3827,1,337,4165,11009,
16,MICHOACAN,3,ALVARO OBREGON,12,30,30,0,0,0,2018,411,2424,856,2132,112,0,0,0,0,0,0,0,0,0,2518,0,0,0,0,0,0,0,0,10471,0,438,10909,17690,
16,MICHOACAN,4,ANGAMACUTIRO,13,25,26,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,4420,3593,0,0,0,0,0,0,0,0,8047,0,216,8263,13064,
16,MICHOACAN,5,ANGANGUEO,6,13,13,0,0,0,0,0,1166,0,0,7,0,0,0,0,0,0,0,0,2741,0,987,0,0,125,0,0,0,0,5026,0,240,5266,8327,
16,MICHOACAN,6,APATZINGAN,78,172,173,0,0,0,0,0,10858,0,306,0,282,119,0,0,0,0,0,0,18431,8643,0,0,0,0,0,0,0,0,38639,14,1464,40117,95323,
16,MICHOACAN,7,APORO,4,6,6,0,0,0,0,0,805,0,0,14,0,704,0,0,0,0,0,0,163,0,0,0,0,423,0,0,0,0,2109,0,89,2198,3021,
16,MICHOACAN,8,AQUILA,11,30,30,0,0,0,122,9683,0,424,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,10779,12,752,11543,17259,
16,MICHOACAN,9,ARIO,21,48,48,0,0,395,0,0,4814,0,0,0,131,33,0,0,0,0,0,0,5890,0,5387,0,0,0,0,0,0,0,16650,4,696,17350,29061,
16,MICHOACAN,10,ARTEAGA,14,35,35,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,5189,0,952,0,0,334,0,0,0,0,6667,15,581,7263,16367,
16,MICHOACAN,11,BRISEÑAS,6,12,12,362,0,0,15,0,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,1143,4245,1,129,4375,6648,
16,MICHOACAN,12,BUENAVISTA,22,55,56,436,3547,0,0,0,0,0,0,0,70,2379,0,0,0,0,0,0,4246,0,0,0,0,1711,0,0,0,0,12389,2,579,12970,33148,
16,MICHOACAN,13,CARACUARO,12,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,78,0,0,3422,0,0,0,0,4229,1,328,4558,7621,
16,MICHOACAN,14,COAHUAYANA,12,23,23,0,0,0,0,0,160,0,617,1702,0,108,0,0,0,0,0,0,1754,1970,0,0,0,0,0,0,0,0,6311,0,219,6530,12101,
16,MICHOACAN,15,COALCOMAN DE VAZQUEZ PALLARES,16,30,30,0,0,0,0,0,3254,0,0,0,0,0,0,0,0,0,0,0,901,0,514,0,0,3139,0,0,0,0,7808,2,373,8183,15176,
16,MICHOACAN,16,COENEO,29,43,44,0,0,3706,0,0,1815,0,0,0,0,0,0,0,0,0,0,0,4576,0,133,0,0,0,0,0,0,0,10230,0,441,10671,20164,
16,MICHOACAN,17,CONTEPEC,13,40,40,0,0,0,0,0,0,0,195,274,0,78,0,0,0,0,0,0,6596,6496,0,0,0,0,0,0,0,0,13639,3,669,14311,24899,
16,MICHOACAN,18,COPANDARO,6,13,13,0,0,0,0,0,1606,0,0,0,0,0,0,0,0,0,0,0,1329,0,0,0,1445,0,0,0,0,0,4380,1,177,4558,7882,
16,MICHOACAN,19,COTIJA,18,34,34,0,0,1734,0,0,1888,0,0,0,0,20,0,0,0,0,0,0,1493,0,3115,0,0,0,0,0,0,0,8250,0,391,8641,17716,
16,MICHOACAN,20,CUITZEO,16,44,44,3240,0,0,0,0,122,0,441,33,860,493,0,0,0,0,0,0,3901,0,0,0,2795,0,0,0,0,0,11885,3,518,12406,24807,
16,MICHOACAN,21,CHARAPAN,3,8,8,0,256,909,0,0,0,0,829,611,456,23,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3984,0,287,4271,5698,
16,MICHOACAN,22,CHARO,15,31,31,0,0,0,0,0,3196,0,0,85,0,31,2741,0,0,0,0,0,2365,2649,0,0,0,0,0,0,0,0,11067,10,432,11509,18141,
16,MICHOACAN,23,CHAVINDA,11,21,21,357,0,0,35,47,1538,1292,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,0,0,0,0,0,4621,0,202,4823,10344,
16,MICHOACAN,24,CHERAN,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271,
16,MICHOACAN,25,CHILCHOTA,15,42,42,40,1990,2654,0,0,2960,0,383,758,0,168,0,0,0,0,0,0,6575,0,0,0,0,0,0,0,0,0,15528,1,574,16103,26162,
16,MICHOACAN,26,CHINICUILA,8,11,12,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,14,1109,189,0,0,0,0,0,0,0,0,2243,3,88,2334,3858,
16,MICHOACAN,27,CHUCANDIRO,6,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,1937,0,0,0,0,0,0,0,0,2740,1,111,2852,5168,
16,MICHOACAN,28,CHURINTZIO,8,13,13,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,460,0,0,0,0,0,3062,0,70,3132,6672,
16,MICHOACAN,29,CHURUMUCO,13,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,5079,0,0,0,0,0,0,0,0,6149,0,292,6441,10135,
16,MICHOACAN,30,ECUANDUREO,13,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,3587,0,0,0,0,0,0,0,0,5867,3,232,6102,11984,
16,MICHOACAN,31,EPITACIO HUERTA,11,21,21,2848,1071,0,819,342,171,903,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,7112,1,283,7396,12128,
16,MICHOACAN,32,ERONGARICUARO,9,20,20,0,0,0,0,0,0,3111,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,3245,0,207,0,0,0,7651,0,482,8133,10316,
16,MICHOACAN,33,GABRIEL ZAMORA,13,30,30,172,0,0,0,0,370,0,175,835,0,0,0,0,0,0,0,0,8214,0,0,0,1768,0,0,0,0,0,11534,0,373,11907,16927,
