ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,LA PIEDAD,141,293,299,21207,6905,3655,4259,3414,5893,27833,3704,812,608,503,0,0,2008,301,358,537,1546,431,92,54,84120,26,3086,87232,166704,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_01_LA%20PIEDAD.pdf
16,MICHOACAN,2,PURUANDIRO,173,336,340,3697,10765,9040,4463,6375,12547,28074,1726,6092,1038,1051,0,0,2246,438,392,536,1390,214,109,188,90381,14,5448,95843,181982,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_02_PURUANDIRO.pdf
16,MICHOACAN,3,MARAVATIO,106,268,269,5136,12809,9646,3725,6124,6736,26804,1275,667,339,1508,0,0,2870,511,418,657,1420,421,99,231,81396,12,4980,86388,158043,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_03_MARAVATIO.pdf
16,MICHOACAN,4,JIQUILPAN,158,326,329,19445,5781,4441,4137,8550,9754,33452,1571,583,186,698,0,0,2930,337,490,778,1609,477,99,75,95393,18,3515,98926,172848,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_04_JIQUILPAN.pdf
16,MICHOACAN,5,PARACHO,88,207,209,2946,7051,9555,3824,4175,4801,26737,3329,3202,2703,2035,0,0,1164,227,319,425,543,131,82,107,73356,30,4476,77862,115598,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_05_PARACHO.pdf
16,MICHOACAN,6,ZAMORA,97,267,268,24234,3730,1371,3787,2698,6111,20193,,3015,290,304,0,0,2133,224,380,375,0,0,900,0,69745,55,2666,72466,158640,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_06_ZAMORA.pdf
16,MICHOACAN,7,ZACAPU,128,297,299,9376,8303,7623,4901,5291,4917,27528,2424,3543,1134,1337,0,0,2077,352,346,460,787,339,175,40,80953,15,4614,85582,171485,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_07_ZACAPU.pdf
16,MICHOACAN,8,TARIMBARO,99,254,256,8786,11821,3963,16607,3861,8568,15551,3064,1252,973,1409,0,0,1897,452,571,237,1672,213,89,102,81088,27,4223,85338,148733,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_08_TARIMBARO.pdf
16,MICHOACAN,9,LOS REYES,120,278,280,22694,7546,8086,1795,5397,6084,18433,615,192,147,256,0,0,1572,241,307,435,0,2408,0,0,76208,45,3778,80031,154762,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_09_LOS%20REYES.pdf
16,MICHOACAN,10,MORELIA,98,285,285,20475,10202,2614,3531,6515,5574,29792,2506,1290,815,1123,0,0,2694,333,455,853,0,0,1417,0,90189,61,4651,94901,171119,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_10_MORELIA.pdf
16,MICHOACAN,11,MORELIA,114,283,284,29794,8142,2501,2554,4320,7692,27126,1523,1169,1341,1586,0,0,1884,234,371,632,0,0,1477,0,92346,75,4467,96888,171473,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_11_MORELIA.pdf
16,MICHOACAN,12,HIDALGO,130,286,289,11304,11515,7017,11040,5232,13574,18117,2397,570,704,1257,0,0,2258,692,453,454,2799,380,406,120,90289,58,5170,95517,163062,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_12_HIDALGO.pdf
16,MICHOACAN,13,ZITACUARO,98,252,253,6412,10012,4796,6644,7300,9650,20719,4269,1079,1479,415,0,0,1870,456,838,442,2189,316,119,154,79159,38,5183,84380,151348,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_13_ZITACUARO.pdf
16,MICHOACAN,14,URUAPAN,86,245,247,4957,3789,3414,2537,2822,4149,19082,918,30,661,565,0,30963,1085,159,214,265,689,95,41,40,76475,65,3776,80316,145704,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_14_URUAPAN.pdf
16,MICHOACAN,15,PATZCUARO,97,263,264,5495,7658,6150,5763,5681,10222,19538,8317,1194,1811,1600,0,0,2031,379,333,407,1001,181,93,112,77966,71,5530,83567,156364,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_15_PATZCUARO.pdf
16,MICHOACAN,16,MORELIA,77,255,256,18041,9036,2959,2804,4530,6665,27009,2312,869,1790,2102,0,0,2063,208,341,694,0,0,1031,0,82454,84,3965,86503,160481,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_16_MORELIA.pdf
16,MICHOACAN,17,MORELIA,100,284,285,28579,24390,2096,2431,3558,5945,24628,1373,943,1154,1010,0,0,1800,244,380,473,0,0,1112,0,100116,57,4656,104829,168499,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_17_MORELIA.pdf
16,MICHOACAN,18,HUETAMO,177,285,288,2165,9289,19969,3575,6623,3470,24027,2111,559,158,1352,0,0,1725,311,472,452,1569,182,189,202,78400,11,4603,83014,142362,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_18_HUETAMO.pdf
16,MICHOACAN,19,TACAMBARO,136,269,270,12149,9949,2032,13554,6907,8668,13702,1129,1531,632,589,0,0,2948,767,578,381,1555,869,120,66,78126,17,4701,82844,146534,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_19_TACAMBARO.pdf
16,MICHOACAN,20,URUAPAN,75,216,217,4724,1831,592,2181,1398,2499,10042,231,265,358,365,46134,0,968,126,228,227,463,128,24,19,72803,37,3149,75989,134805,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_20_URUAPAN.pdf
16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,107,236,238,4546,6664,4802,2108,15598,4587,13767,2315,3140,271,935,0,0,1206,253,230,487,613,112,77,40,61751,51,3099,64901,132545,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_21_COALCOMAN.pdf
16,MICHOACAN,22,MUGICA,122,257,258,3966,7678,2147,21227,4072,2543,28040,632,1121,365,336,0,0,3287,417,728,320,0,0,178,0,77057,6,4179,81242,137027,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_22_MUGICA.pdf
16,MICHOACAN,23,APATZINGAN,109,247,248,6617,4274,3696,2363,2890,8417,23740,1353,204,313,277,0,0,1924,249,329,341,1003,356,47,47,58440,17,2632,61089,139646,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_23_APATZINGAN.pdf
16,MICHOACAN,24,LAZARO CARDENAS,70,241,242,6123,4135,3022,5767,4610,5067,35206,1137,829,426,838,0,0,0,0,0,0,759,111,54,32,68116,18,4190,72324,146214,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DIP_DMR_24_LAZARO%20CARDENAS.pdf
