ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,LA PIEDAD,141,293,299,21207,6905,3655,5258,4501,5893,28951,3704,812,608,503,81997,26,3086,85109,166704,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_01_LA%20PIEDAD.pdf
16,MICHOACAN,2,PURUANDIRO,173,336,340,3697,10765,9040,5627,7610,12547,29287,1726,6092,1038,1051,88480,14,5448,93942,181982,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_02_PURUANDIRO.pdf
16,MICHOACAN,3,MARAVATIO,106,268,269,5136,12809,9646,5146,7664,6736,28299,1275,667,339,1508,79225,12,4980,84217,158043,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_03_MARAVATIO.pdf
16,MICHOACAN,4,JIQUILPAN,158,326,329,19445,5781,4441,5527,10084,9754,35063,1571,583,186,698,93133,18,3515,96666,172848,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_04_JIQUILPAN.pdf
16,MICHOACAN,5,PARACHO,88,207,209,2946,7051,9555,4484,4889,4801,27498,3329,3202,2703,2035,72493,30,4476,76999,115598,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_05_PARACHO.pdf
16,MICHOACAN,6,ZAMORA,97,267,268,24234,3730,1371,4800,3708,6111,21282,0,3015,290,304,68845,55,2666,71566,158640,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_06_ZAMORA.pdf
16,MICHOACAN,7,ZACAPU,128,297,299,9376,8303,7623,5942,6389,4917,28624,2424,3543,1134,1337,79612,15,4614,84241,171485,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_07_ZACAPU.pdf
16,MICHOACAN,8,TARIMBARO,99,254,256,8786,11821,3963,17752,4837,8568,16587,3064,1252,973,1409,79012,27,4223,83262,148733,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_08_TARIMBARO.pdf
16,MICHOACAN,9,LOS REYES,120,278,280,22694,7546,8086,2592,6259,6084,19329,615,192,147,256,73800,45,3778,77623,154762,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_09_LOS%20REYES.pdf
16,MICHOACAN,10,MORELIA,98,285,285,20475,10202,2614,4822,8006,5574,31345,2506,1290,815,1123,88772,61,4651,93484,171119,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_MR/AC_DMR_10_MORELIA.pdf
