CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,411,2,2,271,40,49,17,16,24,183,2,3,0,0,0,0,1,0,0,1,2,0,1,2,612,0,21,633,1213
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,412,2,2,243,34,63,9,10,18,157,4,1,2,0,0,0,17,0,0,1,6,0,0,7,572,0,8,580,1033
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,413,2,2,214,25,52,9,12,15,164,4,10,2,2,0,0,9,0,0,1,0,2,2,0,523,0,31,554,973
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,414,3,3,154,6,60,17,12,14,225,1,1,1,2,0,0,22,2,1,2,4,0,0,0,524,0,18,542,1069
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,416,1,1,101,3,18,8,4,3,72,0,0,3,1,0,0,3,1,4,0,1,0,0,1,223,0,13,236,728
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,417,1,1,95,5,27,5,7,8,112,1,1,0,3,0,0,5,1,1,2,1,0,0,1,275,0,8,283,678
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,418,1,1,41,4,33,3,7,3,86,1,0,0,0,0,0,13,0,0,0,1,0,0,0,192,0,3,195,621
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,419,1,1,46,4,8,3,1,3,29,1,2,0,0,0,0,0,0,0,0,2,0,0,1,100,0,3,103,357
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,0,0,1,3,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,1
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,433,2,2,209,47,3,29,12,28,151,0,1,3,1,0,0,14,1,3,2,18,5,0,0,527,1,24,552,973
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,434,2,2,138,16,3,28,13,10,118,0,1,0,2,0,0,15,1,1,3,15,1,1,1,367,0,32,399,759
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,435,2,2,139,24,7,51,11,13,137,2,1,1,2,0,0,18,0,1,1,19,0,1,0,428,0,33,461,830
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,436,3,3,310,63,14,77,22,29,240,5,3,3,3,0,0,35,7,10,5,23,5,4,0,858,0,49,907,1540
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,437,2,2,40,5,1,13,8,7,53,0,0,1,3,0,0,8,1,1,0,1,0,0,0,142,1,0,143,820
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,438,2,2,108,18,7,48,26,28,209,2,1,1,1,0,0,20,6,6,4,12,0,0,1,498,0,26,524,1019
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,439,3,3,358,93,9,55,41,35,198,2,0,1,0,0,0,34,9,5,4,51,11,11,0,917,0,77,994,2007
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,440,2,2,224,11,9,17,9,18,155,2,2,0,1,0,0,14,3,3,1,8,3,3,0,483,0,27,510,1063
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,441,1,1,85,16,5,18,16,8,99,2,0,3,1,0,0,12,1,0,4,8,0,1,0,279,0,14,293,685
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,442,1,1,49,27,1,24,12,14,120,1,0,0,2,0,0,17,4,0,3,6,3,0,0,283,0,17,300,559
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,443,1,1,107,19,5,10,11,13,60,0,0,0,1,0,0,3,0,2,4,9,4,0,0,248,0,16,264,571
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,444,2,2,121,21,5,10,10,18,54,2,1,2,0,0,0,4,2,1,1,10,4,1,0,267,0,13,280,582
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,445,1,1,63,8,6,34,19,2,64,1,1,0,1,0,0,2,1,1,4,5,1,0,0,213,0,16,229,575
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,673,3,3,82,199,249,31,17,29,155,6,2,1,2,0,0,121,2,6,0,6,16,2,1,927,4,51,982,1543
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,674,2,2,52,173,128,30,17,17,185,4,1,1,3,0,0,10,2,4,2,5,21,4,1,660,2,30,692,1149
