ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,AMACUZAC,10,23,23,64,58,11,1188,3333,51,801,246,118,67,1012,29,0,3,0,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,6988,0,463,7451,13071,
17,MORELOS,2,ATLATLAHUCAN,14,34,34,4625,328,79,4822,253,722,190,1865,98,60,10,207,172,148,34,5,1,63,32,24,5,3,1,0,126,15,12,3,6,43,19,8,3,8,1,,,,13991,5,388,14384,20395,
17,MORELOS,3,AXOCHIAPAN,19,45,45,1111,239,96,72,2764,8904,18,1831,40,4,1727,120,67,27,5,1,0,6,5,3,0,1,0,0,,,,,,,,,,,,,,,17041,0,564,17605,27631,
17,MORELOS,4,AYALA,43,113,113,9546,1654,911,641,284,924,1710,11632,2541,621,2242,718,644,476,95,30,11,213,82,40,39,5,9,296,754,104,46,47,54,144,149,43,74,31,14,,,,36824,0,1293,38117,67404,
17,MORELOS,5,COATLAN DEL RIO,11,18,18,20,24,5,279,1080,65,295,318,1793,2,5,28,6,5,0,0,0,3,1,0,0,1,0,3,,,,,,,,,,,,1915,,,5848,0,173,6021,8361,
17,MORELOS,6,CUAUTLA,91,250,250,14614,5703,3362,5129,8848,8430,4545,22304,1108,1562,2199,1872,1072,1132,137,46,21,291,150,41,66,26,19,436,,,,,,,,,,,,,,,83113,53,4298,87464,150124,
17,MORELOS,7,CUERNAVACA,210,552,553,58444,12204,4034,7246,5445,20205,3042,64977,992,1822,2373,2388,1832,3012,154,67,32,783,233,79,53,24,23,475,1716,266,139,86,34,363,179,109,25,27,12,,,,192895,160,8080,201135,326838,
17,MORELOS,8,EMILIANO ZAPATA,25,108,108,9300,920,284,12990,4068,2350,632,6979,333,1188,1128,263,388,353,44,15,4,102,33,18,7,3,5,0,604,33,49,45,20,90,45,66,15,23,11,,,,42408,9,1080,43497,71856,
17,MORELOS,9,HUITZILAC,11,29,29,567,2070,99,689,97,2528,1118,2987,729,12,405,50,337,42,0,0,0,0,0,0,0,0,0,412,,,,,,,,,,,,,,,12142,2,431,12575,17055,
17,MORELOS,10,JANTETELCO,8,23,23,45,23,5,3388,2600,145,8,3307,15,216,171,5,5,2,1,0,0,0,0,0,0,0,0,14,,,,,,,,,,,,,,,9950,3,180,10133,13907,
