CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,0,0,1,7,3,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0
4,17,MORELOS,6,JIUTEPEC,11,JIUTEPEC,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
4,17,MORELOS,11,JOJUTLA,25,TLAQUILTENANGO,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
4,17,MORELOS,12,YAUTEPEC,29,YAUTEPEC,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
4,17,MORELOS,11,JOJUTLA,31,ZACATEPEC,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
4,17,MORELOS,11,JOJUTLA,12,JOJUTLA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,1,3,3,8,6,0,105,415,2,109,24,13,12,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,0,43,841,1529
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,2,2,2,3,6,0,76,230,3,54,15,17,5,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,26,547,1079
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,3,2,2,6,5,0,130,271,4,47,0,20,18,182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,70,755,1123
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,4,3,3,12,10,1,188,392,2,51,14,15,13,215,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,57,973,1552
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,5,1,1,5,2,0,29,233,1,82,18,1,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,22,411,655
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,6,3,3,12,11,3,124,431,14,156,56,10,3,131,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,65,1028,1759
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,7,2,2,3,5,2,152,173,9,79,44,20,6,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,29,582,1115
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,8,2,2,3,5,2,155,311,13,60,35,6,8,87,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,28,726,1280
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,9,3,3,8,5,2,138,509,0,95,15,8,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,0,57,874,1579
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,10,2,2,4,3,1,91,368,3,68,25,8,0,72,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,66,714,1400
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,12,4,4,676,29,13,770,45,122,13,185,5,1,0,36,32,24,6,4,1,6,4,4,3,0,1,0,16,0,1,0,0,3,3,0,0,3,0,0,0,0,2006,0,34,2040,2849
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,13,3,3,558,37,6,550,33,102,6,148,3,2,0,25,22,18,3,0,0,6,1,1,0,1,0,0,11,0,1,0,0,1,1,0,0,0,0,0,0,0,1536,1,18,1555,2015
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,14,2,2,451,21,8,399,17,43,5,80,10,2,0,12,10,10,7,0,0,4,4,3,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,1093,1,20,1114,1480
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,15,5,5,560,36,11,563,26,100,94,166,4,2,0,42,29,14,5,0,0,10,4,4,1,0,0,0,39,2,2,2,1,20,5,0,0,1,0,0,0,0,1743,0,63,1806,2647
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,16,2,2,81,1,3,243,8,28,4,143,7,28,2,11,1,7,1,0,0,2,2,4,0,0,0,0,9,7,0,0,4,6,2,2,0,1,0,0,0,0,607,0,9,616,887
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,17,3,3,384,26,2,416,18,50,11,280,5,4,0,32,11,8,4,0,0,6,3,2,0,0,0,0,8,0,2,0,0,2,3,1,0,1,0,0,0,0,1279,0,49,1328,1808
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,18,2,2,388,27,1,223,16,43,12,151,0,2,2,19,16,15,1,1,0,9,3,4,0,1,0,0,10,0,1,1,0,5,0,1,1,0,0,0,0,0,953,0,31,984,1400
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,20,1,1,199,25,5,114,7,14,6,87,15,4,0,3,4,6,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,497,1,8,506,726
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,21,1,1,208,24,6,68,2,16,7,49,10,1,0,0,5,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,1,13,420,587
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,22,2,2,276,34,3,78,1,20,14,67,13,1,1,2,0,14,1,0,0,3,1,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,535,1,3,539,813
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,23,1,1,161,20,6,46,3,8,2,46,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,7,313,412
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,24,3,3,107,11,7,9,197,615,1,119,4,0,123,10,5,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,45,1261,2028
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,25,2,2,64,14,5,0,137,354,1,43,0,0,75,5,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,18,723,1053
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,26,4,4,144,22,5,2,277,896,4,131,3,0,317,10,20,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837,0,62,1899,2989
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,27,2,2,57,17,6,4,134,451,1,45,1,0,78,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,28,831,1263
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,28,2,2,63,13,6,1,143,358,0,69,6,1,83,3,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,26,782,1183
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,29,4,4,88,14,3,2,252,746,0,141,3,0,215,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477,0,52,1529,2473
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,30,3,3,76,8,4,4,178,516,0,61,0,0,99,10,3,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,43,1011,1558
