ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,CUERNAVACA,120,275,279,32590,6716,1796,2824,3061,11698,1147,27496,525,801,1632,1355,810,1525,72,23,8,415,85,22,56,3,7,0,615,75,42,33,9,115,57,37,6,9,13,95678,94,4015,99787,157792,
17,MORELOS,2,CUERNAVACA,89,266,273,28938,6208,1934,5227,2690,9524,1032,32197,446,739,559,1489,984,1462,73,29,10,357,106,42,47,12,7,0,721,87,61,41,13,153,103,36,33,6,9,95375,49,4614,100038,161611,
17,MORELOS,3,TLAYACAPAN,62,162,164,4576,2658,963,4095,6897,8974,5183,20708,3642,701,1722,833,301,179,22,4,5,54,23,6,9,3,6,473,0,0,0,0,0,0,0,0,0,0,0,62037,18,3667,65722,96038,
17,MORELOS,4,TETELA DEL VOLCAN,74,186,188,3258,2288,867,16439,16769,9096,782,18972,892,742,2092,758,146,209,15,7,14,69,33,4,13,4,4,221,0,0,0,0,0,0,0,0,0,0,0,73694,3,3151,76848,111047,
17,MORELOS,5,TEMIXCO,60,186,189,7352,4625,1578,2399,4557,8347,1323,24875,259,1853,331,1644,545,318,44,9,10,132,42,14,25,52,3,0,0,0,0,0,0,0,0,0,0,0,0,60337,6,2915,63258,112947,
17,MORELOS,6,JIUTEPEC,60,204,207,12589,4043,2361,9674,4305,6908,2558,24329,442,361,1100,2024,564,706,57,11,15,210,71,25,29,11,5,178,0,0,0,0,0,0,0,0,0,0,0,72576,30,3549,76155,129097,
17,MORELOS,7,CUAUTLA,92,252,256,8671,3774,1504,2267,13909,8651,2554,30835,4291,1103,3035,982,322,655,21,7,8,163,51,8,35,6,3,469,0,0,0,0,0,0,0,0,0,0,0,83324,26,4936,88286,151072,
17,MORELOS,8,XOCHITEPEC,61,180,183,2533,5334,736,1515,17852,9753,558,15343,546,239,1850,837,315,301,26,10,4,100,24,3,27,22,13,521,335,32,38,13,4,83,62,24,5,3,3,59064,5,2334,61403,109173,
17,MORELOS,9,EMILIANO ZAPATA,51,176,179,11029,1941,1105,16777,6492,3412,1491,15332,879,1280,1464,523,463,426,41,16,1,130,43,20,18,7,2,146,716,107,50,22,23,182,51,71,26,25,13,64324,23,2616,66963,111447,
17,MORELOS,10,YECAPIXTLA,75,209,211,20143,2396,1372,2569,1048,3861,1359,23631,4396,1743,3471,1126,852,913,133,40,16,314,133,57,34,50,12,345,0,0,0,0,0,0,0,0,0,0,0,70014,10,3406,73430,126513,
17,MORELOS,11,JOJUTLA,123,267,273,6210,4588,4378,3222,6341,5967,3690,42521,753,1404,3624,4794,427,497,31,20,8,161,56,18,31,16,40,293,0,0,0,0,0,0,0,0,0,0,0,89090,18,4100,93208,151850,
17,MORELOS,12,YAUTEPEC,72,209,212,5658,2927,1419,3703,4288,3825,16715,25883,856,415,300,1172,323,427,17,9,8,89,32,15,19,10,13,0,0,0,0,0,0,0,0,0,0,0,0,68123,13,3641,71777,128346,
