ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,AMACUZAC,11,24,24,292,354,185,627,1110,559,491,2949,62,85,558,63,26,23,1,0,0,10,0,2,0,0,0,21,,,,,,,,,,,,7418,0,555,7973,13796,
17,MORELOS,2,ATLATLAHUCAN,14,34,35,2990,398,148,1855,1033,861,787,4670,236,85,105,171,57,80,5,2,1,29,9,3,1,0,0,7,,,,,,,,,,,,13533,5,811,14349,20395,
17,MORELOS,3,AXOCHIAPAN,20,47,48,568,186,59,5278,3970,2916,54,3606,46,41,583,89,15,26,1,0,0,9,2,1,0,0,0,35,,,,,,,,,,,,17485,0,768,18253,28452,
17,MORELOS,4,AYALA,43,113,114,6761,1287,687,1164,382,1966,743,12357,3614,168,3188,485,320,520,51,12,6,121,47,22,21,40,11,301,0,0,0,0,0,0,0,0,0,0,0,34274,1,1847,36122,67404,
17,MORELOS,5,COATLAN DEL RIO,11,18,18,71,74,40,109,1857,1059,60,661,152,11,330,39,6,5,0,0,0,2,0,0,0,0,7,50,6,0,0,0,0,8,4,0,0,0,0,4551,0,200,4751,8361,
17,MORELOS,6,CUAUTLA,92,252,256,8671,3774,1504,2267,13909,8651,2554,30835,4291,1103,3035,982,322,655,21,7,8,163,51,8,35,6,3,469,0,0,0,0,0,0,0,0,0,0,0,83324,26,4936,88286,151072,
17,MORELOS,7,CUERNAVACA,211,553,564,61759,13085,3783,8192,5988,21682,2360,61302,985,1580,2220,2877,1813,3000,145,52,18,779,192,64,105,15,14,0,1336,162,103,74,22,268,160,73,39,15,22,194284,145,8850,203279,327066,
17,MORELOS,8,EMILIANO ZAPATA,25,108,110,9209,1275,373,9842,4989,2667,454,7633,233,657,1247,290,377,345,39,10,1,104,39,17,11,3,0,118,297,34,17,14,5,68,15,43,6,6,5,40443,22,1575,42040,71856,
17,MORELOS,9,HUITZILAC,11,29,29,832,1324,242,937,782,1968,416,3564,436,58,280,157,92,62,13,0,0,25,6,2,3,1,1,90,0,0,0,0,0,0,0,0,0,0,0,11291,2,837,12130,17055,
17,MORELOS,10,JANTETELCO,8,23,23,320,169,57,2112,2304,617,78,3093,24,156,278,64,9,11,1,0,0,6,1,0,0,0,0,26,,,,,,,,,,,,9326,0,359,9685,13907,
17,MORELOS,11,JIUTEPEC,77,271,274,14695,5046,2819,10633,4853,8578,7520,35322,638,409,1246,2650,674,902,66,15,20,240,86,29,36,14,8,178,0,0,0,0,0,0,0,0,0,0,0,96677,38,4675,101390,174370,
17,MORELOS,12,JOJUTLA,36,85,89,2636,1640,1988,1040,2521,1418,1016,13256,199,470,315,1509,161,198,13,9,1,81,22,1,4,3,13,48,0,0,0,0,0,0,0,0,0,0,0,28562,4,1197,29763,49803,
17,MORELOS,13,JONACATEPEC,10,19,19,279,133,62,2411,1495,533,47,2207,57,37,94,27,3,16,1,0,0,3,2,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7424,1,297,7722,10683,
17,MORELOS,14,MAZATEPEC,7,15,15,124,221,64,80,1855,1593,151,988,140,101,455,55,6,11,2,0,0,4,0,0,2,1,0,64,8,0,0,0,0,4,9,1,1,0,0,5940,0,183,6123,8414,
17,MORELOS,15,MIACATLAN,9,24,24,238,311,60,207,267,1699,325,4856,38,78,34,110,10,6,1,0,0,2,3,0,2,1,0,,,,,,,,,,,,,8248,0,319,8567,12704,
17,MORELOS,16,OCUITUCO,10,24,24,3061,283,169,162,78,674,142,2891,339,1320,67,146,106,88,17,6,5,27,19,1,2,3,0,19,,,,,,,,,,,,9625,0,275,9900,14275,
17,MORELOS,17,PUENTE DE IXTLA,25,53,53,804,748,314,424,599,1877,1018,9740,87,104,2375,292,23,45,0,1,2,18,6,0,4,0,10,171,0,0,0,0,0,0,0,0,0,0,0,18662,2,952,19616,31910,
17,MORELOS,18,TEMIXCO,49,150,153,6883,4153,1465,2051,4053,6188,817,18410,207,1735,268,1501,516,299,43,9,10,123,38,14,21,51,3,0,0,0,0,0,0,0,0,0,0,0,0,48858,4,2375,51237,92580,
17,MORELOS,19,TEPALCINGO,16,39,40,213,137,109,1433,5135,1853,497,3158,95,243,809,65,5,12,0,0,0,3,1,0,1,0,0,50,,,,,,,,,,,,13819,0,617,14436,21473,
17,MORELOS,20,TEPOZTLAN,20,57,58,1014,569,317,1003,2336,4707,665,5747,1458,398,1096,332,113,36,3,2,4,12,8,2,6,1,2,338,0,0,0,0,0,0,0,0,0,0,0,20169,8,1417,21594,33512,
17,MORELOS,21,TETECALA,6,14,14,62,75,19,49,1856,1227,15,815,12,6,149,43,1,3,0,2,0,1,0,0,0,2,0,106,4,1,2,0,0,0,2,1,2,0,0,4455,0,117,4572,6517,
17,MORELOS,22,TETELA DEL VOLCAN,4,16,16,1189,662,369,662,768,1546,24,1240,610,91,51,333,53,74,6,5,13,22,8,1,0,1,3,40,,,,,,,,,,,,7771,0,310,8081,10756,
17,MORELOS,23,TLALNEPANTLA,4,9,9,143,128,73,118,424,123,616,1044,468,16,119,94,11,2,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3386,1,114,3501,5607,
17,MORELOS,24,TLALTIZAPAN DE ZAPATA,26,68,69,1820,666,732,6935,1503,745,1037,7699,646,623,217,233,86,81,2,6,0,26,4,3,7,4,2,28,419,73,33,8,18,114,36,28,20,19,8,23881,1,1041,24923,39591,
17,MORELOS,25,TLAQUILTENANGO,25,52,53,1465,973,1487,346,410,560,285,6931,94,93,116,2462,191,165,15,10,5,34,27,13,13,13,15,9,0,0,0,0,0,0,0,0,0,0,0,15732,4,638,16374,26079,
17,MORELOS,26,TLAYACAPAN,9,25,25,347,230,139,328,1328,1411,550,4815,910,84,117,77,26,25,3,0,0,1,3,0,0,0,3,14,,,,,,,,,,,,10411,0,445,10856,15264,
17,MORELOS,27,TOTOLAPAN,7,16,16,122,113,94,323,1070,132,2204,1737,189,80,39,39,23,3,0,0,0,0,3,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,6195,2,266,6463,8976,
17,MORELOS,28,XOCHITEPEC,24,89,92,1994,4396,436,942,9167,3769,237,7790,191,91,484,560,262,235,18,7,2,80,10,2,21,14,6,182,224,28,21,11,3,50,36,9,2,2,2,31284,3,1288,32575,57024,
17,MORELOS,29,YAUTEPEC,55,142,145,3552,1924,961,2744,3740,2155,11753,14890,660,367,154,546,213,231,8,5,3,59,17,11,12,7,10,0,0,0,0,0,0,0,0,0,0,0,0,44022,5,2515,46542,83073,
17,MORELOS,30,YECAPIXTLA,19,64,65,9449,722,466,774,512,993,419,7514,388,235,182,458,405,276,63,22,5,150,61,32,10,7,1,23,0,0,0,0,0,0,0,0,0,0,0,23167,9,1061,24237,40063,
17,MORELOS,31,ZACATEPEC,26,53,54,1013,873,404,785,1701,1553,880,9645,311,652,260,468,26,66,2,0,0,18,1,2,10,0,2,44,0,0,0,0,0,0,0,0,0,0,0,18716,8,758,19482,30262,
17,MORELOS,32,ZACUALPAN DE AMILPAS,6,13,13,194,133,50,1085,1308,655,21,1975,22,132,160,46,4,9,1,0,0,2,1,2,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,5836,1,310,6147,7896,
17,MORELOS,33,TEMOAC,6,19,19,168,687,68,3329,1442,836,42,1713,32,33,93,66,18,18,1,0,1,6,0,0,4,0,0,22,,,,,,,,,,,,8579,0,356,8935,12066,
