CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,0,0,1,5,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,17,MORELOS,5,TEMIXCO,18,TEMIXCO,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,7,0
4,17,MORELOS,6,JIUTEPEC,11,JIUTEPEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,17,MORELOS,7,CUAUTLA,6,CUAUTLA,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
4,17,MORELOS,8,XOCHITEPEC,28,XOCHITEPEC,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,17,MORELOS,9,EMILIANO ZAPATA,8,EMILIANO ZAPATA,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,7,0
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
4,17,MORELOS,11,JOJUTLA,12,JOJUTLA,0,0,1,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0
4,17,MORELOS,12,YAUTEPEC,29,YAUTEPEC,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,1,3,3,28,38,31,138,41,69,68,282,6,4,65,13,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,790,0,75,865,1529
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,2,2,2,17,21,16,36,76,36,39,222,4,8,49,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,531,0,31,562,1079
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,3,2,2,55,57,19,37,61,56,51,232,15,8,77,7,3,1,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,688,0,80,768,1123
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,4,3,3,58,47,15,70,126,82,48,338,2,9,111,5,10,10,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,939,0,68,1007,1552
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,5,1,1,13,9,7,22,68,28,36,181,1,14,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,19,417,655
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,6,3,3,24,34,24,74,167,62,62,454,8,19,41,16,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,989,0,60,1049,1759
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,7,2,2,20,30,14,49,60,49,40,247,9,3,34,8,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,567,0,29,596,1115
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,8,2,2,24,38,24,43,77,52,29,324,5,5,47,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,63,746,1280
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,9,3,3,22,43,9,79,170,63,64,294,6,8,45,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,808,0,70,878,1579
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,10,2,2,23,25,20,53,162,44,38,212,3,6,45,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,35,674,1400
4,17,MORELOS,11,JOJUTLA,1,AMACUZAC,11,1,1,8,12,6,26,102,18,16,163,3,1,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,25,411,725
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,12,4,4,245,25,13,277,269,126,143,737,49,8,15,25,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936,0,79,2015,2849
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,13,3,3,163,31,13,191,184,100,151,582,21,13,18,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484,0,72,1556,2015
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,14,2,2,133,18,10,150,123,59,84,409,18,4,4,14,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,2,61,1096,1480
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,15,5,5,215,31,8,284,124,96,189,588,35,8,15,40,12,5,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1659,1,153,1813,2647
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,16,2,2,64,12,4,113,42,45,18,242,3,16,4,13,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,22,604,887
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,17,3,3,140,22,11,188,130,53,46,614,14,5,3,10,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,85,1329,1808
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,18,2,2,190,32,6,94,55,49,46,385,18,7,8,15,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,0,74,984,1400
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,20,1,1,226,30,6,48,18,33,15,87,9,1,2,2,3,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,18,506,726
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,21,1,1,256,29,8,11,1,23,12,46,4,3,1,0,5,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1,10,419,587
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,22,2,2,309,45,10,23,3,32,19,59,8,0,0,0,2,19,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,533,1,7,541,813
4,17,MORELOS,3,TLAYACAPAN,2,ATLATLAHUCAN,23,1,1,175,19,9,7,8,16,9,52,2,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,7,312,412
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,24,3,3,39,9,2,406,253,217,4,235,2,1,39,6,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1219,0,64,1283,2028
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,25,2,2,37,7,0,251,187,83,4,100,0,0,27,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,23,725,1053
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,26,4,4,54,17,4,715,326,269,4,295,6,4,93,13,8,8,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1825,0,86,1911,2989
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,27,2,2,14,12,4,268,186,173,3,100,0,2,21,4,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,794,0,35,829,1263
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,28,2,2,35,4,1,255,184,96,1,129,4,1,33,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,750,0,30,780,1183
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,29,4,4,57,24,1,474,327,244,11,234,3,2,80,5,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1470,0,56,1526,2473
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,30,3,3,46,8,1,354,249,136,1,137,1,4,25,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,969,0,42,1011,1558
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,31,3,3,71,16,7,412,277,272,1,239,2,1,34,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1343,0,70,1413,2144
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,32,2,2,22,4,4,195,175,154,0,146,1,4,25,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,738,0,29,767,1270
