ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNAM,PES,MAS,PROGRESA,RSPM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,CUERNAVACA,120,275,279,33347,7473,2552,2824,3061,11698,27749,1400,777,1054,1632,2111,95678,94,4015,99787,157792,
17,MORELOS,2,CUERNAVACA,89,266,273,29721,6990,2716,5227,2690,9524,32513,1348,761,1055,559,2271,95375,49,4614,100038,161611,
17,MORELOS,3,TLAYACAPAN,62,162,164,4729,2811,1116,4095,6897,9211,20708,5183,3642,701,1958,986,62037,18,3667,65722,96038,
17,MORELOS,4,TETELA DEL VOLCAN,74,186,188,3388,2418,996,16439,16769,9207,18972,782,892,742,2202,887,73694,3,3151,76848,111047,
17,MORELOS,5,TEMIXCO,60,186,189,7651,4924,1876,2399,4557,8347,24875,1323,259,1853,331,1942,60337,6,2915,63258,112947,
17,MORELOS,6,JIUTEPEC,60,204,207,13015,4469,2787,9674,4305,6997,24329,2558,442,361,1189,2450,72576,30,3549,76155,129097,
17,MORELOS,7,CUAUTLA,92,252,256,8991,4094,1824,2267,13909,8886,30835,2554,4291,1103,3269,1301,83324,26,4936,88286,151072,
17,MORELOS,8,XOCHITEPEC,61,180,183,2744,5546,947,1515,17852,10014,15494,709,696,389,2110,1048,59064,5,2334,61403,109173,
17,MORELOS,9,EMILIANO ZAPATA,51,176,179,11321,2233,1397,16777,6492,3485,15654,1813,1200,1601,1537,814,64324,23,2616,66963,111447,
17,MORELOS,10,YECAPIXTLA,75,209,211,20782,3035,2010,2569,1048,4034,23631,1359,4396,1743,3643,1764,70014,10,3406,73430,126513,
17,MORELOS,11,JOJUTLA,123,267,273,6537,4914,4704,3222,6341,6114,42521,3690,753,1404,3770,5120,89090,18,4100,93208,151850,
17,MORELOS,12,YAUTEPEC,72,209,212,5899,3168,1659,3703,4288,3825,25883,16715,856,415,300,1412,68123,13,3641,71777,128346,
