ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN_PRI_PRD_RSPM,PVEM_PT_PNAM_MORENA_PES_MAS,MC_MP,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,0,VOTO EN EL EXTRANJERO,0,0,1,1218,1810,211,3239,4,38,3281,3960,
17,MORELOS,0,VOTO ANTICIPADO,0,0,5,21,26,6,53,0,1,54,0,
17,MORELOS,1,CUERNAVACA,120,275,275,42269,38939,17410,98618,126,2181,100925,157792,
17,MORELOS,2,CUERNAVACA,89,267,267,36315,41808,18623,96746,68,2254,99068,162308,
17,MORELOS,3,TLAYACAPAN,62,162,162,19069,30644,14313,64026,26,2388,66440,96038,
17,MORELOS,4,TETELA DEL VOLCAN,75,189,189,20076,39998,14918,74992,13,2631,77636,113100,
17,MORELOS,5,TEMIXCO,60,186,186,19431,31071,9978,60480,17,1542,62039,112947,
17,MORELOS,6,JIUTEPEC,60,204,204,25413,37066,15091,77570,48,1801,79419,129097,
17,MORELOS,7,CUAUTLA,92,252,252,24033,40131,20266,84430,31,2728,87189,151072,
17,MORELOS,8,XOCHITEPEC,61,180,180,17467,32900,7802,58169,22,1753,59944,109173,
17,MORELOS,9,EMILIANO ZAPATA,52,177,177,20745,35567,10165,66477,24,1924,68425,111943,
17,MORELOS,10,YECAPIXTLA,75,209,209,21407,37216,13331,71954,55,2337,74346,126513,
17,MORELOS,11,JOJUTLA,123,267,267,24958,50806,12065,87829,61,2396,90286,151276,
17,MORELOS,12,YAUTEPEC,72,209,209,18802,37738,14034,70574,26,2342,72942,128346,
