ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNAM,PES,MAS,PROGRESA,RSPM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,0,VOTO EN EL EXTRANJERO,0,0,1,918,170,107,121,160,156,1411,44,39,35,55,23,3239,4,38,3281,3960,
17,MORELOS,0,VOTO ANTICIPADO,0,0,5,14,5,2,1,0,1,25,0,0,0,5,0,53,0,1,54,0,
17,MORELOS,1,CUERNAVACA,120,275,275,30326,7768,2907,3068,3466,14759,29633,1171,712,889,2651,1268,98618,126,2181,100925,157792,
17,MORELOS,2,CUERNAVACA,89,267,267,25611,6630,2453,3244,3419,15732,31673,1291,985,1196,2891,1621,96746,68,2254,99068,162308,
17,MORELOS,3,TLAYACAPAN,62,162,162,9727,5339,2285,3656,4289,11461,19524,1241,1285,649,2852,1718,64026,26,2388,66440,96038,
17,MORELOS,4,TETELA DEL VOLCAN,75,189,189,9928,5293,2831,5116,6233,11776,25482,1425,957,785,3142,2024,74992,13,2631,77636,113100,
17,MORELOS,5,TEMIXCO,60,186,186,9624,5588,2152,2200,3478,8528,23072,1005,662,654,1450,2067,60480,17,1542,62039,112947,
17,MORELOS,6,JIUTEPEC,60,204,204,15247,5228,2469,4059,2885,12589,27297,1202,847,776,2502,2469,77570,48,1801,79419,129097,
17,MORELOS,7,CUAUTLA,92,252,252,13203,6238,3173,3521,4352,15396,29529,1372,899,458,4870,1419,84430,31,2728,87189,151072,
17,MORELOS,8,XOCHITEPEC,61,180,180,6134,7527,2079,2092,5043,6378,22810,1131,1125,699,1424,1727,58169,22,1753,59944,109173,
17,MORELOS,9,EMILIANO ZAPATA,52,177,177,13532,3796,2282,9437,3495,7808,19840,1075,608,1112,2357,1135,66477,24,1924,68425,111943,
17,MORELOS,10,YECAPIXTLA,75,209,209,15097,3212,1943,3111,3023,9133,26494,1635,1725,1228,4198,1155,71954,55,2337,74346,126513,
17,MORELOS,11,JOJUTLA,123,267,267,10044,6594,4215,3254,5627,8598,38047,1480,854,1544,3467,4105,87829,61,2396,90286,151276,
17,MORELOS,12,YAUTEPEC,72,209,209,9952,4822,2353,3236,4347,11180,25284,3142,1180,549,2854,1675,70574,26,2342,72942,128346,
