CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,15,COMPOSTELA,5,COMPOSTELA,0,A,13,0,VA13,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,7,8,Grupo de recuento,,,
1,18,NAYARIT,5,SAN BLAS,12,SAN BLAS,0,A,3,0,VA03,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,13,SAN PEDRO LAGUNILLAS,0,A,11,0,VA11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Grupo de recuento,,,
1,18,NAYARIT,4,SANTIAGO IXCUINTLA,15,SANTIAGO IXCUINTLA,0,A,2,0,VA02,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,9,Acta casilla,,,
1,18,NAYARIT,6,TEPIC,17,TEPIC,0,A,5,0,VA05,0,3,4,0,0,2,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,1,28,33,Acta casilla,,,
1,18,NAYARIT,14,XALISCO,19,XALISCO,0,A,12,0,VA12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,Acta casilla,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,B,1,0,B,0,13,86,6,8,12,20,123,61,0,0,1,3,7,2,0,2,1,6,1,0,1,0,1,0,3,0,0,357,0,9,366,533,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,B,1,0,B,0,13,83,12,23,14,38,100,53,0,0,3,1,8,4,0,1,6,6,0,0,0,1,2,0,0,0,0,368,0,21,389,646,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,B,1,0,B,0,12,65,24,14,7,49,78,71,0,0,6,6,11,1,0,0,7,9,9,0,0,2,2,1,0,0,0,374,0,11,385,747,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,C,1,0,C01,0,18,68,20,18,8,34,83,80,0,0,4,2,12,1,2,0,12,7,0,0,4,3,1,0,1,0,3,381,0,0,381,747,Grupo de recuento,,,
