ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PVEM_PT_MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,48,63,63,0,0,1895,0,4174,0,0,247,0,4025,6749,17090,22,448,17560,27824,
18,NAYARIT,2,AHUACATLAN,17,26,26,0,0,2294,0,0,0,0,0,0,1753,3784,7831,1,175,8007,12879,
18,NAYARIT,3,AMATLAN DE CAÑAS,21,25,25,0,0,1941,0,0,0,0,1876,0,965,1733,6515,0,202,6717,10068,
18,NAYARIT,4,BAHIA DE BANDERAS,56,214,214,0,0,2422,0,1350,0,0,426,0,19803,38883,62884,56,1541,64481,139756,
18,NAYARIT,5,COMPOSTELA,73,123,124,0,0,3095,0,1781,0,0,433,0,7101,17429,29839,2,1009,30850,63932,
18,NAYARIT,6,HUAJICORI,19,24,24,0,0,2251,0,0,0,0,0,0,479,3111,5841,0,112,5953,8752,
18,NAYARIT,7,IXTLAN DEL RIO,24,43,43,0,0,320,0,312,0,0,88,0,5050,7674,13444,4,314,13762,23432,
18,NAYARIT,8,JALA,18,30,30,0,0,497,0,230,0,0,0,0,5002,4053,9782,0,312,10094,14745,
18,NAYARIT,9,DEL NAYAR,26,62,62,4829,831,3664,2829,172,0,0,469,0,4281,0,17075,29,1316,18420,30831,
18,NAYARIT,10,ROSAMORADA,43,60,60,0,0,891,0,837,0,0,1138,0,8025,6009,16900,0,564,17464,27113,
18,NAYARIT,11,RUIZ,27,42,42,0,0,829,0,4815,0,0,0,0,1381,4183,11208,2,386,11596,18935,
18,NAYARIT,12,SAN BLAS,47,68,69,0,0,758,0,0,5700,448,39,0,8265,4175,19385,3,806,20194,32010,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,13,17,18,0,0,143,0,46,0,0,1383,0,1101,1694,4367,0,123,4490,7119,
18,NAYARIT,14,SANTA MARIA DEL ORO,23,39,39,0,0,1159,0,3473,0,0,208,0,2783,4580,12203,0,560,12763,20045,
18,NAYARIT,15,SANTIAGO IXCUINTLA,111,160,161,0,0,16360,0,462,0,0,501,0,2252,20866,40441,12,1392,41845,74745,
18,NAYARIT,16,TECUALA,50,62,62,0,0,804,0,191,0,0,5942,0,4145,7527,18609,3,540,19152,29342,
18,NAYARIT,17,TEPIC,311,606,607,0,0,48272,0,10279,0,0,9467,0,38512,67135,173665,126,5013,178804,328636,
18,NAYARIT,18,TUXPAN,34,50,50,0,0,1259,0,4640,0,0,198,0,2794,6749,15640,0,320,15960,23767,
18,NAYARIT,19,XALISCO,25,81,82,0,0,6267,0,2625,0,0,563,0,4963,11171,25589,11,715,26315,48178,
18,NAYARIT,20,LA YESCA,11,21,21,0,0,1872,0,0,0,0,0,0,964,2596,5432,0,140,5572,8595,
