ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN,MLN,RSPN,FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,48,63,63,817,2641,567,1123,795,1895,4609,2087,2087,247,222,17090,22,448,17560,27824,
18,NAYARIT,2,AHUACATLAN,17,26,26,975,634,144,683,497,2294,2475,0,0,0,129,7831,1,175,8007,12879,
18,NAYARIT,3,AMATLAN DE CAÑAS,21,25,25,610,212,143,1123,129,1941,437,0,0,1876,44,6515,0,202,6717,10068,
18,NAYARIT,4,BAHIA DE BANDERAS,56,214,214,15934,2524,1345,4196,3774,2422,29788,675,675,426,1125,62884,56,1541,64481,139756,
18,NAYARIT,5,COMPOSTELA,73,123,124,4324,1880,897,2847,1629,3095,12420,891,890,433,533,29839,2,1009,30850,63932,
18,NAYARIT,6,HUAJICORI,19,24,24,41,385,53,368,252,2251,2302,0,0,0,189,5841,0,112,5953,8752,
18,NAYARIT,7,IXTLAN DEL RIO,24,43,43,4336,492,222,828,2142,320,4513,156,156,88,191,13444,4,314,13762,23432,
18,NAYARIT,8,JALA,18,30,30,3930,809,263,1257,322,497,2328,115,115,0,146,9782,0,312,10094,14745,
18,NAYARIT,9,DEL NAYAR,26,62,62,719,3387,175,4829,831,3664,2829,86,86,469,0,17075,29,1316,18420,30831,
18,NAYARIT,10,ROSAMORADA,43,60,60,1688,5204,1133,584,2071,891,3209,418,419,1138,145,16900,0,564,17464,27113,
18,NAYARIT,11,RUIZ,27,42,42,750,450,181,736,371,829,2929,2407,2408,0,147,11208,2,386,11596,18935,
18,NAYARIT,12,SAN BLAS,47,68,69,6786,1006,473,526,364,758,3118,5700,448,39,167,19385,3,806,20194,32010,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,13,17,18,555,437,109,190,142,143,1333,23,23,1383,29,4367,0,123,4490,7119,
18,NAYARIT,14,SANTA MARIA DEL ORO,23,39,39,851,958,974,622,450,1159,3323,1737,1736,208,185,12203,0,560,12763,20045,
18,NAYARIT,15,SANTIAGO IXCUINTLA,111,160,161,657,701,894,3236,2125,16360,15011,231,231,501,494,40441,12,1392,41845,74745,
18,NAYARIT,16,TECUALA,50,62,62,703,2992,450,1891,594,804,4724,96,95,5942,318,18609,3,540,19152,29342,
18,NAYARIT,17,TEPIC,311,606,607,18514,15331,4667,9980,6017,48272,48923,5139,5140,9467,2215,173665,126,5013,178804,328636,
18,NAYARIT,18,TUXPAN,34,50,50,827,1534,433,2187,560,1259,3786,2320,2320,198,216,15640,0,320,15960,23767,
18,NAYARIT,19,XALISCO,25,81,82,3338,1289,336,1676,877,6267,8414,1312,1313,563,204,25589,11,715,26315,48178,
18,NAYARIT,20,LA YESCA,11,21,21,678,197,89,323,258,1872,1901,0,0,0,114,5432,0,140,5572,8595,
