CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,15,COMPOSTELA,5,COMPOSTELA,0,0,1,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,7,8
1,18,NAYARIT,5,SAN BLAS,12,SAN BLAS,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5
1,18,NAYARIT,13,IXTLAN DEL RIO,13,SAN PEDRO LAGUNILLAS,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,18,NAYARIT,4,SANTIAGO IXCUINTLA,15,SANTIAGO IXCUINTLA,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,9
1,18,NAYARIT,6,TEPIC,17,TEPIC,0,0,1,3,4,0,0,2,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,1,28,33
1,18,NAYARIT,14,XALISCO,19,XALISCO,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,1,1,13,86,6,8,12,20,123,61,0,0,1,3,7,2,0,2,1,6,1,0,1,0,1,0,3,0,0,357,0,9,366,533
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,1,1,13,83,12,23,14,38,100,53,0,0,3,1,8,4,0,1,6,6,0,0,0,1,2,0,0,0,0,368,0,21,389,646
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,3,3,48,212,60,39,34,117,246,238,0,0,12,12,29,4,3,1,22,19,9,1,4,7,3,1,4,0,3,1128,0,16,1144,2241
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,4,1,1,22,107,10,29,17,18,80,119,0,0,7,3,10,0,1,0,4,0,0,1,0,2,2,0,0,0,1,433,1,8,442,704
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,2,2,28,79,31,22,20,47,160,149,0,0,2,7,6,0,1,0,11,6,0,1,1,0,5,0,3,0,0,579,0,13,592,1029
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,6,1,1,6,49,10,14,5,28,77,79,0,0,1,1,6,0,0,0,3,2,0,0,0,1,2,0,3,0,0,287,0,7,294,434
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,7,1,1,25,68,10,18,3,20,79,76,0,0,3,1,10,1,0,0,5,1,0,2,2,1,2,0,2,0,0,329,1,5,335,473
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,2,2,20,86,8,26,14,31,164,162,0,0,5,2,4,0,1,2,11,7,0,0,1,0,4,1,1,1,3,554,0,14,568,876
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,2,2,33,197,18,52,24,67,239,189,0,0,19,5,27,2,2,1,17,10,1,2,2,0,4,1,2,0,1,915,2,25,942,1499
