ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PVEM_PT_MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,87,115,115,0,0,6371,0,3249,0,0,803,0,4029,14428,28880,1,1254,30135,47101,
18,NAYARIT,2,TECUALA,85,111,111,0,0,5507,0,574,0,0,2083,0,9612,16057,33833,7,1304,35144,53631,
18,NAYARIT,3,JESUS MARIA,53,104,104,0,0,5717,0,3166,0,0,827,0,5800,12555,28065,71,1809,29945,49766,
18,NAYARIT,4,SANTIAGO IXCUINTLA,91,130,131,0,0,4939,0,0,1854,1475,3322,0,3860,20106,35556,14,1461,37031,62336,
18,NAYARIT,5,SAN BLAS,89,131,132,0,0,6139,0,4550,0,0,0,0,6393,16554,33636,63,1785,35484,60480,
18,NAYARIT,6,TEPIC,43,90,91,0,0,5495,0,1948,0,0,933,0,6573,12592,27541,33,937,28511,51245,
18,NAYARIT,7,TEPIC,35,76,77,0,0,2726,0,1490,0,0,1204,0,2606,10877,18903,10,694,19607,42056,
18,NAYARIT,8,TEPIC,61,111,112,0,0,5393,0,2309,0,0,969,0,5080,16803,30554,21,1199,31774,60253,
18,NAYARIT,9,TEPIC,48,100,101,0,0,5204,0,1493,0,0,2811,0,6355,12474,28337,32,867,29236,50811,
18,NAYARIT,10,TEPIC,64,112,113,0,0,4933,0,2374,0,0,943,0,12274,15110,35634,27,1065,36726,60406,
18,NAYARIT,11,TEPIC,55,102,103,0,0,6022,0,2747,0,0,1677,0,3930,14488,28864,37,1055,29956,55203,
18,NAYARIT,12,SANTA MARIA DEL ORO,57,105,105,0,0,3191,0,1796,0,0,382,0,6628,18913,30910,68,1882,32860,52047,
18,NAYARIT,13,IXTLAN DEL RIO,75,111,112,0,0,4699,0,2847,0,0,2002,0,6097,15816,31461,17,1443,32921,53498,
18,NAYARIT,14,XALISCO,25,81,82,4832,713,3364,7873,1010,0,0,505,0,6861,0,25158,16,1298,26472,48178,
18,NAYARIT,15,COMPOSTELA,73,123,124,0,0,5018,0,1045,0,0,907,0,4433,18150,29553,3,1338,30894,63932,
18,NAYARIT,16,BUCERIAS,17,74,74,0,0,1378,0,779,0,0,0,0,6206,13645,22008,17,808,22833,48294,
18,NAYARIT,17,SAN VICENTE,21,63,63,0,0,1764,0,0,0,415,0,0,5314,9598,17091,50,804,17945,41819,
18,NAYARIT,18,SAN JOSE DEL VALLE,18,77,77,0,0,0,0,2467,0,0,0,0,6614,12662,21743,5,710,22458,49643,
