ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN,MLN,RSPN,FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,87,115,115,827,2795,407,2173,2153,6371,9603,1625,1624,803,499,28880,1,1254,30135,47101,
18,NAYARIT,2,TECUALA,85,111,111,2018,6322,1272,2551,1907,5507,11119,288,286,2083,480,33833,7,1304,35144,53631,
18,NAYARIT,3,JESUS MARIA,53,104,104,1683,3733,384,4606,1162,5717,6522,1583,1583,827,265,28065,71,1809,29945,49766,
18,NAYARIT,4,SANTIAGO IXCUINTLA,91,130,131,1322,1547,991,3459,1758,4939,14435,1854,1475,3322,454,35556,14,1461,37031,62336,
18,NAYARIT,5,SAN BLAS,89,131,132,4470,1385,538,2246,1474,6139,12426,2276,2274,0,408,33636,63,1785,35484,60480,
18,NAYARIT,6,TEPIC,43,90,91,3319,2562,692,2077,951,5495,9250,974,974,933,314,27541,33,937,28511,51245,
18,NAYARIT,7,TEPIC,35,76,77,1188,979,439,2042,914,2726,7615,745,745,1204,306,18903,10,694,19607,42056,
18,NAYARIT,8,TEPIC,61,111,112,2298,2279,503,2575,1355,5393,12350,1155,1154,969,523,30554,21,1199,31774,60253,
18,NAYARIT,9,TEPIC,48,100,101,3598,2265,492,1951,1208,5204,8967,747,746,2811,348,28337,32,867,29236,50811,
18,NAYARIT,10,TEPIC,64,112,113,6050,5135,1089,2138,1561,4933,10886,1187,1187,943,525,35634,27,1065,36726,60406,
18,NAYARIT,11,TEPIC,55,102,103,1833,1701,396,2191,2167,6022,9709,1374,1373,1677,421,28864,37,1055,29956,55203,
18,NAYARIT,12,SANTA MARIA DEL ORO,57,105,105,4278,1665,685,4041,2086,3191,11838,897,899,382,948,30910,68,1882,32860,52047,
18,NAYARIT,13,IXTLAN DEL RIO,75,111,112,4285,1459,353,2741,3383,4699,9280,1423,1424,2002,412,31461,17,1443,32921,53498,
18,NAYARIT,14,XALISCO,25,81,82,4711,1581,569,4832,713,3364,7873,505,505,505,0,25158,16,1298,26472,48178,
18,NAYARIT,15,COMPOSTELA,73,123,124,2324,1631,478,2892,1568,5018,13255,522,523,907,435,29553,3,1338,30894,63932,
18,NAYARIT,16,BUCERIAS,17,74,74,4697,1089,420,1367,1166,1378,10786,390,389,0,326,22008,17,808,22833,48294,
18,NAYARIT,17,SAN VICENTE,21,63,63,3936,856,522,1423,780,1764,7209,0,415,0,186,17091,50,804,17945,41819,
18,NAYARIT,18,SAN JOSE DEL VALLE,18,77,77,5393,833,388,1191,1044,0,10160,1233,1234,0,267,21743,5,710,22458,49643,
