CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,4,SANTIAGO IXCUINTLA,15,SANTIAGO IXCUINTLA,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4
1,18,NAYARIT,5,SAN BLAS,12,SAN BLAS,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5
1,18,NAYARIT,6,TEPIC,17,TEPIC,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
1,18,NAYARIT,7,TEPIC,17,TEPIC,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,18,NAYARIT,8,TEPIC,17,TEPIC,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
1,18,NAYARIT,9,TEPIC,17,TEPIC,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,4
1,18,NAYARIT,10,TEPIC,17,TEPIC,0,0,1,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,10,14
1,18,NAYARIT,11,TEPIC,17,TEPIC,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
1,18,NAYARIT,13,IXTLAN DEL RIO,13,SAN PEDRO LAGUNILLAS,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,18,NAYARIT,14,XALISCO,19,XALISCO,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
1,18,NAYARIT,15,COMPOSTELA,5,COMPOSTELA,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,7,8
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,1,1,5,38,2,12,18,51,129,74,0,0,5,1,1,0,0,0,0,6,2,0,0,0,1,0,2,0,1,348,0,18,366,533
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,1,1,6,45,6,27,13,80,120,42,0,0,11,3,2,0,0,0,2,3,0,0,0,1,3,0,0,0,1,365,0,24,389,646
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,3,3,23,97,26,54,60,260,296,184,0,0,35,16,5,2,1,0,17,20,0,2,0,5,2,1,5,0,0,1111,0,21,1132,2241
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,4,1,1,4,22,4,44,22,92,102,114,0,0,10,4,1,1,0,0,2,2,0,0,0,1,1,0,0,0,0,426,0,16,442,704
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,2,2,9,29,21,24,24,168,158,105,0,0,6,3,3,0,1,0,3,5,0,1,0,0,2,0,6,0,0,568,0,22,590,1029
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,6,1,1,6,13,5,14,7,96,79,55,0,0,4,0,2,0,0,0,2,5,0,0,0,1,1,0,0,0,0,290,0,4,294,434
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,7,1,1,6,25,3,11,7,90,80,93,0,0,4,1,2,0,0,0,1,2,0,1,0,1,1,0,1,0,0,329,0,6,335,473
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,2,2,8,33,1,34,25,112,152,152,0,0,11,2,0,1,0,0,4,9,0,1,0,0,5,0,0,0,0,550,0,18,568,876
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,2,2,11,66,8,45,26,209,260,195,0,0,45,6,4,0,0,0,7,15,0,0,2,0,2,0,3,0,0,904,0,30,934,1499
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,2,2,7,35,5,42,15,177,139,165,0,0,20,3,2,2,0,0,2,8,0,0,0,1,3,2,2,0,0,630,0,16,646,1065
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,11,1,1,13,18,2,7,3,57,47,45,0,0,5,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,204,0,6,210,324
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,12,1,1,10,20,1,10,8,195,84,50,0,0,10,0,3,0,0,0,1,3,0,1,0,0,2,0,0,0,0,398,0,7,405,599
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,1,1,10,16,3,11,6,169,70,60,0,0,7,1,0,0,0,0,5,5,0,0,0,1,2,0,3,0,2,371,0,9,380,582
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,14,1,1,16,16,0,5,1,54,32,25,0,0,12,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,166,0,6,172,250
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,15,1,1,3,29,1,22,3,77,79,57,0,0,5,4,2,1,0,0,2,4,0,0,0,0,2,0,0,0,0,291,0,9,300,426
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,2,2,12,27,24,34,22,175,186,116,0,0,17,6,2,0,0,0,7,15,0,0,0,1,2,0,2,0,0,648,0,13,661,1043
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,2,2,5,17,18,37,19,116,123,119,0,0,19,3,5,0,0,0,3,9,2,2,0,0,5,0,2,0,1,505,0,17,522,880
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,2,2,9,25,10,45,22,152,130,137,0,0,14,5,3,0,0,0,5,2,0,0,2,0,2,0,2,0,0,565,0,20,585,939
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,19,1,1,0,1,0,4,4,13,28,11,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,69,0,8,77,112
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,20,1,1,0,11,5,20,3,29,22,42,0,0,17,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,152,0,11,163,254
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,21,1,1,15,20,5,12,13,58,60,24,0,0,55,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,270,0,13,283,396
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,22,1,1,2,5,4,5,12,42,39,40,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,156,0,11,167,228
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,1,1,7,10,0,12,27,115,97,31,0,0,11,3,0,0,0,0,0,5,0,0,0,3,4,0,1,0,0,326,0,21,347,550
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,2,2,12,56,5,24,49,128,111,96,0,0,26,3,2,0,0,0,1,3,0,0,0,0,2,0,2,0,3,523,0,35,558,816
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,25,1,1,1,7,2,14,5,9,12,6,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,2,64,112
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,26,1,1,2,9,3,7,13,27,41,7,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,114,0,7,121,198
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,27,1,1,6,25,6,30,101,16,96,21,0,0,18,18,0,0,0,0,3,1,0,2,0,3,0,0,2,0,0,348,0,12,360,634
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,28,1,1,5,22,4,12,28,52,77,14,0,0,9,3,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,233,0,11,244,351
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,29,1,1,0,8,1,5,5,42,10,8,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,87,0,3,90,140
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,30,1,1,0,13,1,21,11,21,35,5,0,0,6,1,0,0,0,0,2,3,0,0,0,2,1,0,1,0,0,123,0,10,133,253
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,31,1,1,3,11,1,15,5,52,64,53,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,8,218,301
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,32,1,1,0,48,0,29,10,30,62,50,0,0,0,4,1,0,0,0,0,2,0,0,0,2,0,0,2,0,0,240,0,11,251,346
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,2,2,22,32,4,29,10,81,183,104,0,0,9,1,5,1,0,0,5,7,0,0,0,1,3,0,4,0,0,501,0,17,518,829
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,34,1,1,3,13,1,4,7,35,77,39,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,189,0,11,200,332
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,35,1,1,3,2,0,1,8,25,21,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,4,69,101
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,1,1,7,19,5,39,19,88,153,51,0,0,13,4,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,404,0,39,443,706
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,37,1,1,3,7,1,11,5,36,70,10,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,164,0,17,181,278
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,2,2,30,27,7,31,18,254,204,64,0,0,8,4,3,1,0,0,3,7,0,0,0,4,3,0,2,0,0,670,0,27,697,998
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,2,2,7,9,1,21,19,219,182,33,0,0,5,2,2,0,0,0,0,6,2,0,2,1,3,0,5,0,0,519,0,14,533,815
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,40,2,2,9,33,6,47,14,66,192,76,0,0,8,5,1,0,0,0,3,2,0,0,2,2,5,0,1,0,0,472,0,22,494,767
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,41,1,1,2,29,3,24,7,41,84,29,0,0,4,3,1,0,0,0,1,3,0,0,0,0,2,0,0,0,0,233,0,7,240,361
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,43,1,1,12,25,7,32,19,69,201,28,0,0,5,4,1,0,0,0,1,7,0,0,0,2,2,0,2,0,0,417,0,15,432,697
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,44,1,1,0,4,1,12,8,12,45,7,0,0,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100,0,4,104,148
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,45,1,1,0,7,0,10,14,30,71,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,145,0,4,149,223
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,2,2,36,9,8,47,15,78,262,35,0,0,3,2,1,1,0,1,7,6,1,1,0,1,1,1,0,0,0,516,0,31,547,830
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,47,1,1,22,64,0,69,13,58,123,26,0,0,2,0,5,0,0,0,2,5,0,1,0,2,2,0,1,0,0,395,0,22,417,672
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,48,1,1,2,5,2,16,12,23,96,6,0,0,1,6,1,0,0,0,2,1,0,0,0,1,3,0,0,0,0,177,0,4,181,294
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,49,2,2,44,14,6,35,49,171,96,33,0,0,2,0,3,2,0,0,3,7,0,0,1,2,0,0,0,0,1,469,0,13,482,792
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,50,2,2,47,15,1,43,25,233,136,24,0,0,5,3,5,0,0,0,12,8,0,0,0,1,2,0,2,0,0,562,1,25,588,951
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,51,1,1,37,23,1,42,31,180,94,25,0,0,1,3,1,1,1,0,1,15,1,0,1,1,0,1,0,0,0,460,0,19,479,726
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,52,2,2,37,22,3,73,56,337,168,32,0,0,4,6,6,1,0,0,8,20,2,1,0,5,1,0,3,1,2,788,0,22,810,1279
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,53,2,2,48,32,5,37,40,265,157,41,0,0,2,7,5,2,0,0,5,7,0,1,2,0,1,0,0,0,0,657,0,18,675,1018
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,54,2,2,43,37,2,37,43,287,178,36,0,0,4,6,9,4,0,0,12,10,2,1,3,0,1,0,4,0,0,719,0,21,740,1221
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,55,1,1,8,7,1,9,13,48,95,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,1,4,195,307
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,56,1,1,11,12,1,16,20,81,179,20,0,0,3,4,2,0,0,0,2,7,0,0,0,1,1,0,2,0,0,362,0,17,379,610
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,57,2,2,33,41,1,16,41,60,248,7,0,0,2,14,5,4,0,0,6,12,1,2,0,1,3,1,7,0,0,505,0,22,527,883
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,58,1,1,0,0,0,0,0,46,193,8,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,12,280,530
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,59,2,2,63,74,6,42,20,101,389,112,0,0,6,18,2,0,0,0,2,7,1,2,1,0,1,0,3,1,2,853,0,43,896,1472
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,60,1,1,75,13,0,13,29,197,82,8,0,0,4,5,1,2,0,0,2,5,1,0,0,1,3,0,2,0,1,444,0,26,470,713
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,61,2,2,50,18,3,59,60,140,175,20,0,0,1,9,4,3,0,0,20,3,0,0,1,4,3,0,2,0,1,576,0,35,611,886
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,62,1,1,13,8,2,9,12,41,49,8,0,0,1,1,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,150,0,7,157,255
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,63,1,1,9,2,2,19,9,37,86,21,0,0,1,1,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,195,0,11,206,387
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,64,1,1,7,13,0,29,4,24,60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,6,145,213
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,65,2,2,25,20,1,32,12,43,170,1,0,0,2,1,3,4,0,1,1,7,0,0,0,0,3,0,1,0,0,327,0,14,341,636
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,66,1,1,39,12,2,55,8,115,35,24,0,0,40,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,341,0,15,356,514
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,67,2,2,61,19,1,63,27,187,87,60,0,0,55,5,4,0,0,0,1,2,0,0,0,1,5,0,1,0,0,579,1,26,606,886
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,68,2,2,87,8,28,29,68,68,58,72,0,0,48,5,2,0,0,1,2,4,0,0,0,1,0,0,0,1,0,482,2,31,515,833
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,69,1,1,43,17,0,18,7,65,25,50,0,0,47,2,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,281,0,20,301,501
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,70,1,1,10,4,2,11,2,34,22,22,0,0,29,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,141,0,8,149,232
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,71,1,1,7,5,9,25,8,11,23,13,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,118,0,8,126,187
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,72,1,1,10,5,4,16,1,4,17,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,5,75,106
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,74,1,1,16,23,6,20,15,69,52,11,0,0,51,5,6,1,0,1,2,1,0,1,0,0,1,0,1,0,0,282,0,17,299,461
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,75,1,1,37,10,7,63,25,47,75,32,0,0,52,3,2,0,0,0,0,1,0,0,0,2,0,0,2,0,1,359,0,36,395,600
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,76,1,1,2,3,0,24,2,8,17,6,0,0,14,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,83,0,1,84,143
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,77,1,1,10,13,2,26,23,63,58,8,0,0,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,24,332,482
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,78,2,2,19,22,2,31,29,61,110,14,0,0,172,7,2,0,0,0,5,4,0,2,0,0,2,0,1,0,0,483,0,38,521,754
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,79,2,2,24,13,28,156,40,82,110,39,0,0,90,12,2,0,0,0,8,4,0,0,0,2,0,0,0,0,0,610,0,27,637,1033
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,80,1,1,23,5,3,74,17,56,67,18,0,0,81,2,2,0,0,0,0,3,0,0,0,0,2,0,1,0,1,355,0,22,377,578
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,81,1,1,15,4,2,27,5,15,46,8,0,0,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,6,156,225
