CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,4,SANTIAGO IXCUINTLA,15,SANTIAGO IXCUINTLA,0,A,1,0,VA01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,Cotejo,,,
1,18,NAYARIT,5,SAN BLAS,12,SAN BLAS,0,A,3,0,VA03,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,Cotejo,,,
1,18,NAYARIT,6,TEPIC,17,TEPIC,0,A,4,0,VA04,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,Cotejo,,,
1,18,NAYARIT,7,TEPIC,17,TEPIC,0,A,6,0,VA06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Cotejo,,,
1,18,NAYARIT,8,TEPIC,17,TEPIC,0,A,7,0,VA07,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,Cotejo,,,
1,18,NAYARIT,9,TEPIC,17,TEPIC,0,A,8,0,VA08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,4,Cotejo,,,
1,18,NAYARIT,10,TEPIC,17,TEPIC,0,A,9,0,VA09,0,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,10,14,Cotejo,,,
1,18,NAYARIT,11,TEPIC,17,TEPIC,0,A,10,0,VA10,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6,Cotejo,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,13,SAN PEDRO LAGUNILLAS,0,A,11,0,VA11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Cotejo,,,
1,18,NAYARIT,14,XALISCO,19,XALISCO,0,A,12,0,VA12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,Cotejo,,,
1,18,NAYARIT,15,COMPOSTELA,5,COMPOSTELA,0,A,13,0,VA13,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,7,8,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,B,1,0,B,0,5,38,2,12,18,51,129,74,0,0,5,1,1,0,0,0,0,6,2,0,0,0,1,0,2,0,1,348,0,18,366,533,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,B,1,0,B,0,6,45,6,27,13,80,120,42,0,0,11,3,2,0,0,0,2,3,0,0,0,1,3,0,0,0,1,365,0,24,389,646,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,B,1,0,B,0,9,30,8,20,13,87,101,53,0,0,18,4,1,1,1,0,4,10,0,1,0,0,0,1,1,0,0,363,0,13,376,747,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,C,1,0,C01,0,5,36,9,14,17,83,93,80,0,0,9,2,2,1,0,0,11,5,0,1,0,4,2,0,3,0,0,377,0,1,378,747,Recuento_Total,,,
