CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,SEXO_CANDIDATO,RUTA_CONSTANCIA,PARTIDO
1,18,NAYARIT,1,ACAPONETA,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,SALVADOR CASTAÑEDA RANGEL,1,,MORENA
1,18,NAYARIT,2,TECUALA,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,RICARDO PARRA TIZNADO,1,,MORENA
1,18,NAYARIT,3,JESUS MARIA DEL NAYAR,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,MARIA BELEN MUÑOZ BARAJAS,2,,MORENA
1,18,NAYARIT,4,SANTIAGO IXCUINTLA,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,MARISOL CONTRERAS PEREZ,2,,MORENA
1,18,NAYARIT,5,SAN BLAS,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,JUANA NATALY TIZCAREÑO LARA,2,,FMXN
1,18,NAYARIT,6,TEPIC,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,JESSICA ABILENE TORRES FREGOSO,2,,MORENA
1,18,NAYARIT,7,TEPIC,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,GEORGINA GUADALUPE LOPEZ ARIAS,2,,PVEM
1,18,NAYARIT,8,TEPIC,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,HILDA ZULEMA MONTOYA GARCIA,2,,FMXN
1,18,NAYARIT,9,TEPIC,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,MARIA MAGDALENA GARCIA ROBLES,2,,MORENA
1,18,NAYARIT,10,TEPIC,,,,,DIP_LOC_MR,PVEM_PT_MORENA_FXMN,1,LUIS ENRIQUE MIRAMONTES VAZQUEZ,1,,MORENA
