ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,1,ACAPONETA 01,2,5,5,35,112,59,59,70,603,386,65,0,0,174,22,15,1,4,0,15,22,0,1,4,5,8,0,10,1,3,1674,0,52,1726,3270,
18,NAYARIT,1,ACAPONETA,2,ACAPONETA 02,6,9,9,91,183,352,135,64,265,456,398,0,0,293,33,41,5,4,1,20,30,0,2,3,5,9,1,4,1,0,2396,0,44,2440,3862,
18,NAYARIT,1,ACAPONETA,3,ACAPONETA 03,5,6,6,64,322,57,266,59,609,499,309,0,0,54,20,19,3,1,2,21,21,2,1,1,7,12,0,3,1,1,2354,0,77,2431,3921,
18,NAYARIT,1,ACAPONETA,4,ACAPONETA 04,9,11,11,150,97,34,86,147,644,600,379,0,0,552,20,15,4,2,0,5,23,0,2,2,16,10,0,8,0,1,2797,0,114,2911,4404,
18,NAYARIT,1,ACAPONETA,5,ACAPONETA 05,12,13,13,47,415,51,118,239,277,326,396,0,0,313,18,15,4,2,2,12,16,0,0,1,5,12,2,5,1,0,2277,0,105,2382,3665,
18,NAYARIT,1,ACAPONETA,6,ACAPONETA 06,6,8,8,64,212,20,202,72,462,596,732,0,0,60,28,15,4,1,0,32,30,0,0,1,4,15,1,6,0,1,2558,1,62,2621,4029,
18,NAYARIT,1,ACAPONETA,7,ACAPONETA 07,8,11,11,115,332,44,268,129,264,1202,313,0,0,15,35,24,2,1,2,32,42,5,6,3,13,16,2,11,0,3,2879,0,81,2960,4673,
18,NAYARIT,2,AHUACATLAN,1,AHUACATLAN 01,4,6,6,223,134,29,117,53,531,419,0,0,0,0,8,40,9,2,2,27,31,2,2,4,2,5,0,8,0,3,1651,0,41,1692,2814,
18,NAYARIT,2,AHUACATLAN,2,AHUACATLAN 02,3,5,5,345,121,52,85,50,626,275,0,0,0,0,11,42,13,5,1,23,19,3,4,4,4,4,0,9,1,6,1703,0,63,1766,2617,
18,NAYARIT,2,AHUACATLAN,3,AHUACATLAN 03,3,5,5,134,161,15,94,42,212,570,0,0,0,0,15,14,9,5,1,16,18,1,5,2,1,6,2,3,1,10,1337,0,45,1382,2321,
18,NAYARIT,2,AHUACATLAN,4,AHUACATLAN 04,3,5,5,169,100,69,271,47,668,282,0,0,0,0,14,21,5,0,4,15,32,1,1,3,1,4,1,10,1,2,1721,1,47,1769,2797,
18,NAYARIT,2,AHUACATLAN,5,AHUACATLAN 05,4,5,5,76,64,19,65,85,353,546,0,0,0,0,14,53,5,0,0,21,20,0,0,2,3,5,0,9,1,3,1344,0,41,1385,2330,
18,NAYARIT,3,AMATLAN DE CAÑAS,1,AMATLAN DE CAÑAS 01,4,4,4,181,65,26,182,14,352,85,0,0,0,370,12,20,5,2,2,1,4,1,0,1,4,7,0,1,0,0,1335,0,32,1367,2014,
18,NAYARIT,3,AMATLAN DE CAÑAS,2,AMATLAN DE CAÑAS 02,6,6,6,171,79,26,386,66,299,106,0,0,0,144,10,24,4,6,0,4,7,1,1,1,1,5,0,1,0,0,1342,0,52,1394,2055,
18,NAYARIT,3,AMATLAN DE CAÑAS,3,AMATLAN DE CAÑAS 03,5,6,6,120,46,71,341,39,170,135,0,0,0,295,7,18,2,5,0,10,7,0,1,2,5,4,1,0,0,0,1279,0,31,1310,2069,
18,NAYARIT,3,AMATLAN DE CAÑAS,4,AMATLAN DE CAÑAS 04,3,4,4,134,127,71,67,20,236,81,0,0,0,310,8,19,7,0,2,9,2,1,0,2,0,4,0,0,0,1,1101,0,47,1148,1697,
18,NAYARIT,3,AMATLAN DE CAÑAS,5,AMATLAN DE CAÑAS 05,3,5,5,270,50,25,169,18,623,125,0,0,0,85,5,23,3,4,0,8,8,3,0,0,0,7,0,2,0,0,1428,0,46,1474,2233,
18,NAYARIT,4,BAHIA DE BANDERAS,1,BAHIA DE BANDERAS 01,6,24,24,2185,377,113,282,233,1172,2499,529,0,0,0,41,147,29,10,5,91,91,3,4,14,7,15,5,26,0,7,7885,11,209,8105,16205,
18,NAYARIT,4,BAHIA DE BANDERAS,2,BAHIA DE BANDERAS 02,14,35,35,2813,321,178,265,292,1042,3881,849,0,0,0,74,235,39,19,2,75,146,7,16,8,24,37,4,57,2,5,10391,7,281,10679,19266,
