ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN,MLN,RSPN,FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,1,ACAPONETA 01,2,5,5,42,118,66,76,91,603,412,32,33,174,27,1674,0,52,1726,3270,
18,NAYARIT,1,ACAPONETA,2,ACAPONETA 02,6,9,9,108,200,369,159,85,265,480,199,199,293,39,2396,0,44,2440,3862,
18,NAYARIT,1,ACAPONETA,3,ACAPONETA 03,5,6,6,72,332,64,289,77,609,523,154,155,54,25,2354,0,77,2431,3921,
18,NAYARIT,1,ACAPONETA,4,ACAPONETA 04,9,11,11,158,104,40,108,169,644,622,190,189,552,21,2797,0,114,2911,4404,
18,NAYARIT,1,ACAPONETA,5,ACAPONETA 05,12,13,13,55,423,58,135,253,277,345,198,198,313,22,2277,0,105,2382,3665,
18,NAYARIT,1,ACAPONETA,6,ACAPONETA 06,6,8,8,72,219,25,230,95,462,627,366,366,60,36,2558,1,62,2621,4029,
18,NAYARIT,1,ACAPONETA,7,ACAPONETA 07,8,11,11,125,342,53,310,165,264,1243,157,156,15,49,2879,0,81,2960,4673,
18,NAYARIT,2,AHUACATLAN,1,AHUACATLAN 01,4,6,6,243,152,44,139,77,531,449,0,0,0,16,1651,0,41,1692,2814,
18,NAYARIT,2,AHUACATLAN,2,AHUACATLAN 02,3,5,5,369,142,68,103,71,626,302,0,0,0,22,1703,0,63,1766,2617,
18,NAYARIT,2,AHUACATLAN,3,AHUACATLAN 03,3,5,5,146,172,21,112,55,212,593,0,0,0,26,1337,0,45,1382,2321,
18,NAYARIT,2,AHUACATLAN,4,AHUACATLAN 04,3,5,5,179,111,78,291,68,668,307,0,0,0,19,1721,1,47,1769,2797,
18,NAYARIT,2,AHUACATLAN,5,AHUACATLAN 05,4,5,5,97,84,36,79,105,353,570,0,0,0,20,1344,0,41,1385,2330,
18,NAYARIT,3,AMATLAN DE CAÑAS,1,AMATLAN DE CAÑAS 01,4,4,4,192,75,34,192,17,352,91,0,0,370,12,1335,0,32,1367,2014,
18,NAYARIT,3,AMATLAN DE CAÑAS,2,AMATLAN DE CAÑAS 02,6,6,6,184,89,37,396,69,299,113,0,0,144,11,1342,0,52,1394,2055,
18,NAYARIT,3,AMATLAN DE CAÑAS,3,AMATLAN DE CAÑAS 03,5,6,6,130,53,79,354,46,170,143,0,0,295,9,1279,0,31,1310,2069,
18,NAYARIT,3,AMATLAN DE CAÑAS,4,AMATLAN DE CAÑAS 04,3,4,4,145,137,78,73,23,236,89,0,0,310,10,1101,0,47,1148,1697,
18,NAYARIT,3,AMATLAN DE CAÑAS,5,AMATLAN DE CAÑAS 05,3,5,5,282,59,34,179,24,623,134,0,0,85,8,1428,0,46,1474,2233,
18,NAYARIT,4,BAHIA DE BANDERAS,1,BAHIA DE BANDERAS 01,6,24,24,2254,443,169,351,308,1172,2585,264,265,0,74,7885,11,209,8105,16205,
18,NAYARIT,4,BAHIA DE BANDERAS,2,BAHIA DE BANDERAS 02,14,35,35,2922,419,266,371,407,1042,4009,424,425,0,106,10391,7,281,10679,19266,
18,NAYARIT,4,BAHIA DE BANDERAS,3,BAHIA DE BANDERAS 03,2,26,26,1564,200,100,721,310,698,3529,99,100,0,89,7410,13,288,7711,18670,
18,NAYARIT,4,BAHIA DE BANDERAS,4,BAHIA DE BANDERAS 04,5,21,21,1252,337,129,379,292,540,2854,208,209,78,70,6348,7,283,6638,14234,
18,NAYARIT,4,BAHIA DE BANDERAS,5,BAHIA DE BANDERAS 05,8,22,22,902,157,110,599,295,456,2525,74,74,0,86,5278,8,241,5527,14283,
18,NAYARIT,4,BAHIA DE BANDERAS,6,BAHIA DE BANDERAS 06,8,29,29,1889,555,258,465,395,854,3736,0,0,0,98,8250,10,284,8544,17509,
18,NAYARIT,4,BAHIA DE BANDERAS,7,BAHIA DE BANDERAS 07,4,24,24,1294,364,428,349,460,703,3160,0,0,0,81,6839,2,256,7097,16639,
18,NAYARIT,4,BAHIA DE BANDERAS,8,BAHIA DE BANDERAS 08,7,17,17,714,168,110,331,211,448,2418,172,171,98,73,4914,5,148,5067,11243,
18,NAYARIT,4,BAHIA DE BANDERAS,9,BAHIA DE BANDERAS 09,2,16,16,1341,151,109,248,214,156,2011,69,68,0,35,4402,0,96,4498,11707,
18,NAYARIT,5,COMPOSTELA,1,COMPOSTELA 01,6,12,13,1059,439,215,219,80,260,715,133,133,299,33,3585,2,122,3709,7241,
18,NAYARIT,5,COMPOSTELA,2,COMPOSTELA 02,7,13,14,493,294,96,326,104,593,735,174,175,839,47,3876,1,126,4003,7646,
18,NAYARIT,5,COMPOSTELA,3,COMPOSTELA 03,12,19,19,409,298,92,482,161,915,1414,122,122,72,65,4152,1,147,4300,8200,
18,NAYARIT,5,COMPOSTELA,4,COMPOSTELA 04,10,13,13,74,83,33,517,75,508,605,33,33,1550,22,3533,0,158,3691,7145,
18,NAYARIT,5,COMPOSTELA,5,COMPOSTELA 05,9,14,14,179,141,39,270,282,213,1567,0,0,130,37,2858,1,110,2969,6861,
18,NAYARIT,5,COMPOSTELA,6,COMPOSTELA 06,8,13,14,234,110,233,227,220,326,1390,40,0,158,41,2979,0,123,3102,6897,
18,NAYARIT,5,COMPOSTELA,7,COMPOSTELA 07,5,10,10,324,137,63,132,92,841,846,0,0,13,21,2469,0,86,2555,6220,
18,NAYARIT,5,COMPOSTELA,8,COMPOSTELA 08,6,14,14,338,143,56,248,182,625,1303,157,157,27,40,3276,1,126,3403,6962,
18,NAYARIT,5,COMPOSTELA,9,COMPOSTELA 09,10,15,16,193,131,41,274,140,568,1468,12,13,19,38,2897,0,117,3014,6760,
18,NAYARIT,6,HUAJICORI,1,HUAJICORI 01,2,4,4,23,145,43,88,53,331,494,0,0,0,123,1300,0,29,1329,1878,
18,NAYARIT,6,HUAJICORI,2,HUAJICORI 02,3,4,4,43,351,61,192,37,257,295,0,0,0,19,1255,0,34,1289,1771,
18,NAYARIT,6,HUAJICORI,3,HUAJICORI 03,6,6,6,22,182,47,44,33,358,300,0,0,0,17,1003,0,26,1029,1508,
18,NAYARIT,6,HUAJICORI,4,HUAJICORI 04,2,4,4,23,163,30,37,39,258,234,0,0,0,28,812,0,47,859,1662,
18,NAYARIT,6,HUAJICORI,5,HUAJICORI 05,6,6,6,12,48,12,76,45,602,589,0,0,0,30,1414,0,33,1447,1933,
18,NAYARIT,7,IXTLAN DEL RIO,1,IXTLAN DEL RIO 01,2,5,5,635,103,55,88,383,204,483,46,46,48,24,2115,0,53,2168,3382,
18,NAYARIT,7,IXTLAN DEL RIO,2,IXTLAN DEL RIO 02,4,6,6,570,103,51,56,226,361,424,100,99,38,12,2040,1,31,2072,3310,
18,NAYARIT,7,IXTLAN DEL RIO,3,IXTLAN DEL RIO 03,4,6,6,692,90,42,72,228,195,465,32,31,19,15,1881,0,55,1936,3464,
18,NAYARIT,7,IXTLAN DEL RIO,4,IXTLAN DEL RIO 04,4,6,6,606,81,44,66,202,72,505,80,80,0,27,1763,1,75,1839,3255,
18,NAYARIT,7,IXTLAN DEL RIO,5,IXTLAN DEL RIO 05,2,6,6,567,66,24,84,202,119,660,64,64,0,27,1877,3,48,1928,3203,
18,NAYARIT,7,IXTLAN DEL RIO,6,IXTLAN DEL RIO 06,6,9,9,700,98,47,183,167,145,481,21,21,0,15,1878,0,74,1952,3550,
18,NAYARIT,7,IXTLAN DEL RIO,7,IXTLAN DEL RIO 07,2,5,5,509,40,33,74,239,232,462,56,55,0,18,1718,1,74,1793,3268,
18,NAYARIT,8,JALA,1,JALA 01,4,6,6,285,150,12,152,46,171,375,407,406,7,20,2031,0,78,2109,3234,
18,NAYARIT,8,JALA,2,JALA 02,5,7,7,441,171,29,156,46,127,444,100,100,5,14,1633,0,61,1694,2492,
18,NAYARIT,8,JALA,3,JALA 03,4,6,6,317,67,6,167,91,963,341,108,108,6,10,2184,0,67,2251,3284,
18,NAYARIT,8,JALA,4,JALA 04,2,5,5,636,69,31,252,30,341,268,82,81,42,30,1862,0,98,1960,2770,
18,NAYARIT,8,JALA,5,JALA 05,3,6,6,518,105,25,331,81,269,565,29,28,5,40,1996,0,73,2069,2965,
18,NAYARIT,9,DEL NAYAR,1,DEL NAYAR 01,5,10,10,180,247,20,1079,109,104,452,43,44,37,0,2315,7,330,2652,4590,
18,NAYARIT,9,DEL NAYAR,2,DEL NAYAR 02,5,12,12,84,570,29,1150,209,428,769,179,179,48,0,3645,29,110,3784,5960,
18,NAYARIT,9,DEL NAYAR,3,DEL NAYAR 03,3,7,7,66,398,16,398,58,559,278,17,18,78,0,1886,13,159,2058,3813,
18,NAYARIT,9,DEL NAYAR,4,DEL NAYAR 04,4,7,7,91,420,19,501,77,531,223,5,4,66,0,1937,3,136,2076,3499,
18,NAYARIT,9,DEL NAYAR,5,DEL NAYAR 05,3,9,9,275,232,34,912,97,483,411,0,0,138,0,2582,2,285,2869,4708,
18,NAYARIT,9,DEL NAYAR,6,DEL NAYAR 06,3,9,9,28,883,36,302,119,993,193,4,4,15,0,2577,0,146,2723,4745,
18,NAYARIT,9,DEL NAYAR,7,DEL NAYAR 07,3,8,8,47,431,21,199,88,726,140,22,21,354,0,2049,1,86,2136,3516,
18,NAYARIT,10,ROSAMORADA,1,ROSAMORADA 01,7,11,11,468,981,194,142,306,172,273,68,69,41,13,2727,1,69,2797,4171,
18,NAYARIT,10,ROSAMORADA,2,ROSAMORADA 02,5,8,8,198,316,44,91,178,419,343,198,199,91,25,2102,0,74,2176,3444,
18,NAYARIT,10,ROSAMORADA,3,ROSAMORADA 03,7,8,8,106,374,200,47,215,1174,426,0,0,357,13,2912,0,101,3013,4564,
18,NAYARIT,10,ROSAMORADA,4,ROSAMORADA 04,6,7,7,133,757,71,91,184,445,621,0,0,95,11,2408,0,72,2480,3581,
18,NAYARIT,10,ROSAMORADA,5,ROSAMORADA 05,4,7,7,83,122,243,123,332,445,555,73,72,341,36,2425,0,72,2497,3833,
18,NAYARIT,10,ROSAMORADA,6,ROSAMORADA 06,7,8,8,219,322,46,88,130,29,469,193,193,350,56,2095,0,69,2164,3537,
18,NAYARIT,10,ROSAMORADA,7,ROSAMORADA 07,7,11,11,94,439,36,163,520,58,788,27,27,102,48,2302,0,110,2412,3983,
18,NAYARIT,11,RUIZ,1,RUIZ 01,4,6,6,78,44,125,62,49,280,333,188,187,266,19,1631,0,66,1697,2672,
18,NAYARIT,11,RUIZ,2,RUIZ 02,6,9,9,193,178,20,154,25,126,201,335,335,87,20,1674,0,113,1787,3149,
18,NAYARIT,11,RUIZ,3,RUIZ 03,4,6,6,47,23,4,45,25,245,295,217,217,540,22,1680,0,43,1723,2593,
18,NAYARIT,11,RUIZ,4,RUIZ 04,2,5,5,33,17,42,46,38,373,390,194,193,71,8,1405,0,46,1451,2426,
18,NAYARIT,11,RUIZ,5,RUIZ 05,6,6,6,37,47,32,105,61,571,442,168,169,0,40,1672,0,69,1741,2890,
18,NAYARIT,11,RUIZ,6,RUIZ 06,2,4,4,56,33,11,360,28,527,268,89,89,0,19,1480,0,40,1520,2523,
18,NAYARIT,11,RUIZ,7,RUIZ 07,3,6,6,263,138,44,90,31,432,288,82,82,125,12,1587,0,63,1650,2682,
18,NAYARIT,12,SAN BLAS,1,SAN BLAS 01,6,10,10,504,140,33,132,77,461,561,970,15,30,37,2960,0,109,3069,5095,
18,NAYARIT,12,SAN BLAS,2,SAN BLAS 02,7,9,10,360,42,31,88,306,734,341,500,76,0,41,2519,0,121,2640,4364,
18,NAYARIT,12,SAN BLAS,3,SAN BLAS 03,9,10,11,1095,202,94,122,61,216,763,197,111,0,24,2885,1,125,3011,4795,
18,NAYARIT,12,SAN BLAS,4,SAN BLAS 04,4,10,10,1277,234,103,92,38,232,367,517,45,0,9,2914,1,97,3012,4668,
18,NAYARIT,12,SAN BLAS,5,SAN BLAS 05,7,9,10,1222,188,76,92,45,305,441,316,29,0,16,2730,0,89,2819,4161,
18,NAYARIT,12,SAN BLAS,6,SAN BLAS 06,9,12,13,569,166,69,171,148,420,765,548,38,0,31,2925,0,127,3052,4893,
18,NAYARIT,12,SAN BLAS,7,SAN BLAS 07,5,8,8,531,80,27,486,70,76,416,567,123,1,27,2404,0,115,2519,4034,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,1,SAN PEDRO LAGUNILLAS 01,3,4,4,153,106,39,84,16,28,169,0,0,224,5,824,0,30,854,1339,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,2,SAN PEDRO LAGUNILLAS 02,1,3,3,90,81,21,83,57,16,296,5,4,183,37,873,0,23,896,1436,
