ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN,MLN,RSPN,FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,48,63,63,632,1738,675,1307,935,3124,4252,1296,1296,1461,219,16935,1,535,17471,27824,
18,NAYARIT,2,AHUACATLAN,17,26,26,1034,661,247,724,376,2390,2221,0,0,0,103,7756,1,237,7994,12879,
18,NAYARIT,3,AMATLAN DE CAÑAS,21,25,25,933,413,262,1194,179,1680,570,0,0,1204,50,6485,0,208,6693,10068,
18,NAYARIT,4,BAHIA DE BANDERAS,56,214,215,14132,2794,1679,3814,2892,6069,26827,1361,1363,406,712,62049,63,2086,64198,139756,
18,NAYARIT,5,COMPOSTELA,73,123,129,3309,1776,870,2710,1338,4858,10062,699,661,3109,344,29736,6,1119,30861,63932,
18,NAYARIT,6,HUAJICORI,19,24,24,123,889,193,439,205,1806,1912,0,0,0,217,5784,0,169,5953,8752,
18,NAYARIT,7,IXTLAN DEL RIO,24,43,44,4279,581,296,623,1647,1328,3480,399,396,140,138,13307,6,410,13723,23432,
18,NAYARIT,8,JALA,18,30,30,2197,562,103,1058,294,1871,1993,726,723,65,114,9706,0,377,10083,14745,
18,NAYARIT,9,DEL NAYAR,26,62,62,771,3181,175,4541,757,3824,2466,277,276,736,0,17004,55,1252,18311,30831,
18,NAYARIT,10,ROSAMORADA,43,60,60,1301,3311,834,745,1865,2742,3475,565,565,1377,202,16982,1,567,17550,27113,
18,NAYARIT,11,RUIZ,27,42,42,707,480,278,862,257,2554,2217,1273,1272,1097,140,11137,0,440,11577,18935,
18,NAYARIT,12,SAN BLAS,47,68,73,5558,1052,433,1183,745,2444,3654,3615,437,31,185,19337,2,783,20122,32010,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,13,17,18,635,437,133,318,213,141,1224,5,32,1122,87,4347,0,140,4487,7119,
18,NAYARIT,14,SANTA MARIA DEL ORO,23,39,39,825,838,482,915,642,1713,3127,1500,1502,436,242,12222,26,568,12816,20045,
18,NAYARIT,15,SANTIAGO IXCUINTLA,111,160,165,1853,1490,2216,3178,2240,12995,14469,679,677,420,382,40599,20,1480,42099,74745,
18,NAYARIT,16,TECUALA,50,62,62,738,2226,456,1975,895,4380,4527,259,256,2604,300,18616,7,584,19207,29342,
18,NAYARIT,17,TEPIC,311,606,619,17735,13856,3560,14806,7958,31421,60055,5188,5188,9344,2770,171881,175,5997,178053,328636,
18,NAYARIT,18,TUXPAN,34,50,50,970,1335,575,1670,512,2407,3483,1204,1203,1823,183,15365,0,427,15792,23767,
18,NAYARIT,19,XALISCO,25,81,84,3467,1477,579,2361,1104,5069,7967,1177,1179,749,301,25430,28,846,26304,48178,
18,NAYARIT,20,LA YESCA,11,21,21,551,195,57,324,318,2307,1598,0,0,7,97,5454,0,196,5650,8595,
