CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,19,NUEVO LEON,26,CADEREYTA JIMENEZ,4,ALLENDE,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
2,19,NUEVO LEON,21,CIENEGA DE FLORES,5,ANAHUAC,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
2,19,NUEVO LEON,16,APODACA,6,APODACA,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2,19,NUEVO LEON,7,APODACA,6,APODACA,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2,19,NUEVO LEON,5,APODACA,6,APODACA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,5
2,19,NUEVO LEON,4,SALINAS VICTORIA,10,CARMEN,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2,19,NUEVO LEON,21,CIENEGA DE FLORES,12,CIENEGA DE FLORES,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,19,NUEVO LEON,12,GARCIA,18,GARCIA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2
2,19,NUEVO LEON,20,GARCIA,18,GARCIA,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5
