CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,0,A,1,0,VA01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1432,B,1,0,B,0,7,68,4,12,17,58,63,12,0,0,1,0,3,1,0,0,0,246,0,26,272,569,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1432,C,1,0,C01,0,10,73,2,22,23,49,51,6,1,0,0,0,4,0,0,0,0,241,0,23,264,568,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1432,C,2,0,C02,0,11,64,2,17,13,57,51,7,2,0,0,1,1,0,0,2,0,228,0,31,259,568,GRUPO DE RECUENTO,ANULADA,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1433,B,1,0,B,0,8,66,2,10,38,61,55,7,1,1,0,1,2,1,0,0,0,253,1,32,286,578,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1433,C,1,0,C01,0,5,69,2,11,38,56,47,5,0,0,0,1,0,2,0,0,0,236,0,26,262,577,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1433,C,2,0,C02,0,9,48,0,12,37,72,58,7,1,0,0,0,2,0,0,0,0,246,0,29,275,577,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1434,B,1,0,B,0,12,66,1,29,13,67,73,15,2,3,1,1,5,0,0,0,0,288,0,23,311,667,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1434,C,1,0,C01,0,11,56,2,20,18,66,65,8,2,0,1,0,6,0,0,0,0,255,0,27,282,667,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1434,C,2,0,C02,0,5,63,1,31,19,63,73,12,2,3,0,0,3,2,0,0,0,277,0,31,308,667,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1435,B,1,0,B,0,8,85,0,37,23,68,26,9,3,1,0,0,3,2,0,0,0,265,0,20,285,577,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1435,C,1,0,C01,0,7,71,6,25,18,50,44,13,1,2,0,1,5,0,0,1,0,244,0,18,262,577,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1435,C,2,0,C02,0,8,71,5,20,20,68,59,4,1,0,0,2,2,0,0,0,0,260,0,21,281,577,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1435,C,3,0,C03,0,9,65,3,22,14,69,50,6,0,1,1,0,2,2,0,0,0,244,0,22,266,576,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1436,B,1,0,B,0,7,90,3,6,29,59,67,11,3,0,0,1,2,2,0,2,0,282,0,31,313,675,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1436,C,1,0,C01,0,10,72,3,34,18,55,57,13,2,0,0,0,5,1,0,0,0,270,0,26,296,675,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1436,C,2,0,C02,0,13,72,2,26,18,65,68,23,2,0,0,0,0,2,1,0,0,292,1,32,325,674,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1437,B,1,0,B,0,15,58,4,13,10,51,36,23,1,0,0,1,2,0,1,0,0,215,0,21,236,512,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1437,C,1,0,C01,0,18,67,6,13,5,66,69,14,3,2,1,1,4,2,0,1,0,272,0,16,288,511,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1437,C,2,0,C02,0,15,74,1,19,12,64,43,17,0,1,1,0,2,0,1,0,0,250,0,17,267,511,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1438,B,1,0,B,0,21,76,5,20,16,68,74,17,3,3,0,0,3,2,0,0,0,308,0,33,341,671,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1438,C,1,0,C01,0,18,117,6,27,18,68,63,15,2,2,0,0,5,4,0,0,0,345,0,23,368,671,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1438,C,2,0,C02,0,15,92,1,24,28,70,75,18,2,2,3,1,4,3,0,1,0,339,0,20,359,670,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1439,B,1,0,B,0,14,74,4,25,23,40,49,8,2,1,0,1,2,2,0,1,0,246,0,19,265,594,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1439,C,1,0,C01,0,16,93,8,23,7,59,61,12,1,2,1,0,2,0,0,0,0,285,0,17,302,594,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1439,C,2,0,C02,0,8,91,1,20,14,62,62,11,2,0,1,0,1,1,0,0,0,274,0,23,297,593,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1440,B,1,0,B,0,18,68,3,25,24,78,72,17,3,2,0,0,2,1,0,0,0,313,0,26,339,708,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1440,C,1,0,C01,0,18,76,3,22,31,79,69,9,1,2,1,0,1,3,0,0,0,315,0,20,335,708,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1440,C,2,0,C02,0,19,91,1,21,21,79,80,12,12,1,0,2,0,2,0,0,0,341,0,16,357,708,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1441,B,1,0,B,0,13,76,3,25,38,68,63,15,0,1,0,2,2,3,0,0,0,309,0,20,329,733,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1441,C,1,0,C01,0,21,90,6,19,20,65,59,14,4,2,0,2,1,2,0,0,0,305,0,16,321,733,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1441,C,2,0,C02,0,19,90,2,20,43,70,58,17,2,2,0,1,4,2,0,1,0,331,1,24,356,733,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1442,B,1,0,B,0,21,77,3,0,21,74,80,16,1,3,0,0,3,0,0,2,0,301,0,18,319,731,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1442,C,1,0,C01,0,14,82,4,16,16,81,87,16,0,0,0,6,8,2,0,0,0,332,0,7,339,731,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1442,C,2,0,C02,0,0,0,0,17,13,75,70,20,1,3,0,1,110,0,0,0,0,310,0,30,340,731,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1443,B,1,0,B,0,9,76,3,20,16,53,47,13,2,2,0,2,3,3,0,0,0,249,0,14,263,583,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1443,C,1,0,C01,0,9,78,2,36,15,56,47,14,0,2,0,0,3,3,0,0,0,265,0,23,288,583,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1443,C,2,0,C02,0,7,59,3,34,14,50,50,12,0,2,1,1,0,2,0,0,0,235,0,20,255,583,GRUPO DE RECUENTO,ANULADA,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1443,C,3,0,C03,0,17,73,2,39,15,37,66,11,2,1,0,1,3,1,0,0,0,268,0,18,286,583,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1444,B,1,0,B,0,7,91,4,50,20,110,43,10,0,1,0,1,4,1,0,1,0,343,0,23,366,723,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1444,C,1,0,C01,0,10,69,0,49,19,95,58,15,3,3,0,0,3,3,0,0,0,327,0,24,351,723,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1444,C,2,0,C02,0,5,80,3,40,24,97,52,6,2,3,0,1,4,3,0,0,0,320,0,40,360,722,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1445,B,1,0,B,0,12,51,2,28,30,98,74,18,4,2,1,3,1,1,0,0,0,325,0,28,353,629,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1445,C,1,0,C01,0,18,47,5,29,23,87,68,26,1,2,0,0,2,1,0,0,0,309,0,31,340,629,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1446,B,1,0,B,0,17,82,4,29,22,81,57,8,1,0,1,2,2,0,0,0,0,306,0,32,338,680,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1446,C,1,0,C01,0,21,87,3,26,17,80,71,17,5,1,0,2,2,3,0,0,0,335,0,26,361,679,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1446,C,2,0,C02,0,18,77,2,24,19,65,76,15,2,0,0,1,2,1,0,0,0,302,0,21,323,679,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1447,B,1,0,B,0,11,84,1,15,24,41,50,8,0,6,0,1,4,2,0,0,0,247,0,16,263,587,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1447,C,1,0,C01,0,11,67,1,20,19,58,53,11,0,0,1,2,4,1,0,0,0,248,0,13,261,587,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1447,C,2,0,C02,0,13,96,2,24,21,54,49,18,7,2,1,0,7,1,0,0,0,295,0,34,329,586,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,B,1,0,B,0,34,98,4,18,12,89,67,26,0,1,0,1,9,3,0,1,0,363,0,14,377,725,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,C,1,0,C01,0,28,117,2,29,23,85,71,15,4,1,0,0,3,1,0,0,0,379,0,14,393,724,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,C,2,0,C02,0,35,97,5,26,19,94,65,22,1,4,0,0,5,2,0,0,0,375,0,15,390,724,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,C,3,0,C03,0,28,80,5,17,19,88,69,27,4,4,1,3,5,3,0,0,0,353,0,15,368,724,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,C,4,0,C04,0,27,100,3,11,16,74,69,22,3,4,0,2,0,0,0,0,0,331,0,23,354,724,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,C,5,0,C05,0,26,88,2,16,20,82,78,36,0,2,3,1,2,0,0,0,0,356,0,11,367,724,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,C,6,0,C06,0,23,95,6,17,15,105,74,39,1,0,0,1,2,5,0,0,0,383,0,10,393,724,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,C,7,0,C07,0,31,89,6,17,14,85,70,26,2,1,2,0,4,1,0,0,0,348,0,11,359,724,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1449,B,1,0,B,0,18,82,7,25,27,66,84,19,3,1,3,0,1,0,0,0,0,336,0,20,356,689,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1449,C,1,0,C01,0,23,86,1,29,30,67,47,20,3,1,0,0,1,2,0,0,0,310,0,20,330,689,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1449,C,2,0,C02,0,20,66,2,23,31,65,64,30,2,0,0,0,1,1,0,0,0,305,0,15,320,689,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1449,C,3,0,C03,0,25,78,9,30,12,50,71,38,1,1,0,0,5,0,0,0,0,320,0,20,340,689,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1449,C,4,0,C04,0,16,90,3,30,17,59,57,19,4,2,2,2,9,0,2,3,0,315,0,14,329,688,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1450,B,1,0,B,0,16,76,7,34,39,50,76,16,0,1,0,0,3,0,0,0,0,318,0,17,335,676,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1450,C,1,0,C01,0,12,93,3,25,31,50,58,15,1,1,0,1,7,2,0,0,0,299,0,20,319,676,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1450,C,2,0,C02,0,19,81,2,28,24,49,66,16,0,3,0,1,5,1,0,0,0,295,0,17,312,675,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1451,B,1,0,B,0,12,35,1,28,42,66,122,0,0,0,0,0,0,0,0,0,0,306,0,14,320,685,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1451,C,1,0,C01,0,12,75,1,21,40,72,62,15,3,1,0,2,4,2,0,0,0,310,0,22,332,684,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1451,C,2,0,C02,0,12,63,2,17,36,59,78,20,7,1,1,0,4,1,0,0,0,301,0,25,326,684,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1452,B,1,0,B,0,12,65,6,27,17,76,56,13,3,2,1,0,4,0,0,0,0,282,0,15,297,684,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1452,C,1,0,C01,0,16,82,1,21,20,81,58,17,2,3,1,0,1,2,0,0,0,305,0,20,325,684,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1452,C,2,0,C02,0,23,71,2,32,26,84,57,16,1,0,0,3,2,2,0,0,0,319,0,18,337,683,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1453,B,1,0,B,0,23,73,5,7,17,81,75,28,7,1,1,13,4,2,0,0,0,337,0,24,361,635,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1453,C,1,0,C01,0,36,86,5,24,15,94,57,20,3,1,2,10,3,3,0,0,0,359,1,20,380,635,GRUPO DE RECUENTO,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1453,C,2,0,C02,0,22,67,6,15,18,108,68,18,2,2,1,9,8,2,0,0,0,346,0,9,355,634,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1453,S,1,0,S01,1,1,8,1,0,4,3,5,1,0,1,0,1,0,0,0,0,0,25,0,1,26,0,ACTA CASILLA,,,
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1454,B,1,0,B,0,19,54,4,9,20,96,64,17,2,4,0,3,1,1,0,1,0,295,0,11,306,576,GRUPO DE RECUENTO,,,
