ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,MONTERREY,67,265,266,6684,20233,956,5821,4489,20275,16281,4760,652,417,162,270,1155,354,22,39,0,82570,27,4270,86867,177073,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,2,MONTERREY,125,340,342,12623,17140,490,4449,12965,27080,23238,5897,1433,1525,330,349,1274,486,26,37,0,109342,30,5827,115199,205422,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,3,MONTERREY,105,298,299,50095,19342,732,1880,1725,29190,13599,4372,974,784,211,389,2995,812,36,26,401,127563,76,2485,130124,182258,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,4,SALINAS VICTORIA,58,216,218,5265,1603,366,5131,3422,29397,12172,1282,0,978,214,297,186,88,9,3,493,60906,24,2413,63343,138069,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,5,APODACA,102,259,260,11720,23495,592,2317,1409,19197,18722,1156,418,366,199,218,1601,298,16,30,0,81754,35,2256,84045,147996,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,6,MONTERREY,334,436,438,23759,21379,683,3023,2361,34485,23745,6177,1304,795,361,423,1994,667,25,27,0,121208,36,4454,125698,213595,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,7,APODACA,110,272,273,8197,29750,675,2510,2054,16940,22032,1234,541,659,168,179,1798,347,19,46,0,87149,23,2905,90077,166023,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,8,MONTERREY,103,303,304,41994,20287,772,2010,1268,26099,12985,3425,520,613,203,326,2634,805,53,30,0,114024,49,3172,117245,185015,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,113,288,289,32444,5594,424,3290,2479,30968,23008,1628,532,570,210,209,920,309,17,17,0,102619,20,4146,106785,175778,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,129,309,310,45885,6875,511,2620,2264,34779,19983,1876,461,477,304,316,1441,395,33,11,0,118231,33,3350,121614,184596,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,11,PESQUERIA,123,270,271,15760,4997,253,7248,3210,29110,13688,614,0,274,266,85,354,238,18,9,302,76426,29,3327,79782,157424,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,12,GARCIA,62,211,212,1476,1268,264,10504,1410,12762,23370,1531,307,2672,184,73,81,27,1,3,0,55933,14,1937,57884,132911,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,13,GUADALUPE,80,282,283,10538,9484,387,3912,2612,28667,28628,4303,406,477,303,707,804,269,11,19,887,92414,47,4096,96557,183060,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,14,GUADALUPE,86,286,288,13122,8329,453,3494,2712,32438,27206,2625,376,741,282,246,838,247,16,16,780,93921,35,3930,97886,176447,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,15,GUADALUPE,144,328,329,27515,12728,562,4675,2147,36177,27232,2424,587,953,242,651,1727,572,22,15,1007,119236,144,3774,123154,193694,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,16,APODACA,101,283,284,11589,25387,650,2790,2647,23425,23483,1521,505,481,249,282,1625,356,19,35,0,95044,32,3229,98305,170169,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,17,GRAL. ESCOBEDO,72,278,279,12642,5803,480,4128,4597,25907,29357,1955,631,914,301,781,864,235,18,15,930,89558,58,3846,93462,179292,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,93,292,294,60776,6656,558,2649,2133,21075,14385,1631,292,568,226,168,1456,522,41,15,0,113151,28,3134,116313,181767,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,19,SANTA CATARINA,76,259,260,30748,3450,433,2238,1752,33261,17416,969,290,501,583,166,1084,327,39,12,390,93659,39,2938,96636,166987,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,20,GARCIA,82,197,198,8294,3129,219,7166,1914,15742,17044,2292,449,645,256,129,483,110,8,3,0,57883,27,1416,59326,115026,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,21,CIENEGA DE FLORES,127,298,301,20839,4337,365,7625,2996,26850,16394,1528,526,258,293,113,721,421,41,15,538,83860,13,3163,87036,169929,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,22,JUAREZ,80,245,245,2493,13273,298,2052,1424,25716,17323,1164,443,373,206,121,610,199,11,26,386,66118,16,2484,68618,148278,https://www.ieepcnl.mx/info/procesos/2024/actas/
